Start Training:
Iter: 4800, Loss: 3.77445e-06, Loss_0: 4.44083e-07, Loss_b: 2.96856e-08, Loss_f: 3.30068e-06
Iter: 4900, Loss: 1.51410e-05, Loss_0: 1.87759e-06, Loss_b: 8.62483e-07, Loss_f: 1.24009e-05
Iter: 5000, Loss: 9.42053e-05, Loss_0: 1.37027e-05, Loss_b: 5.46537e-06, Loss_f: 7.50373e-05
Iter: 5100, Loss: 5.73514e-05, Loss_0: 4.37566e-06, Loss_b: 7.12497e-06, Loss_f: 4.58508e-05
Iter: 5200, Loss: 6.25077e-03, Loss_0: 1.12971e-04, Loss_b: 5.14282e-04, Loss_f: 5.62352e-03
Iter: 5300, Loss: 1.67745e-04, Loss_0: 8.82423e-05, Loss_b: 5.99497e-07, Loss_f: 7.89031e-05
Iter: 5400, Loss: 2.23204e-05, Loss_0: 6.10047e-06, Loss_b: 8.29263e-08, Loss_f: 1.61370e-05
Iter: 5500, Loss: 1.14167e-05, Loss_0: 1.82398e-06, Loss_b: 6.23463e-08, Loss_f: 9.53040e-06
Iter: 5600, Loss: 8.39637e-06, Loss_0: 9.78163e-07, Loss_b: 5.62081e-08, Loss_f: 7.36200e-06
Iter: 5700, Loss: 7.02674e-06, Loss_0: 6.64033e-07, Loss_b: 5.02827e-08, Loss_f: 6.31243e-06
Iter: 5800, Loss: 6.20952e-06, Loss_0: 5.09957e-07, Loss_b: 4.48251e-08, Loss_f: 5.65474e-06
Iter: 5900, Loss: 5.64700e-06, Loss_0: 4.25022e-07, Loss_b: 4.00539e-08, Loss_f: 5.18192e-06
Iter: 6000, Loss: 5.22626e-06, Loss_0: 3.74553e-07, Loss_b: 3.59542e-08, Loss_f: 4.81575e-06
Iter: 6100, Loss: 4.89454e-06, Loss_0: 3.42770e-07, Loss_b: 3.24503e-08, Loss_f: 4.51932e-06
Iter: 6200, Loss: 4.62273e-06, Loss_0: 3.22112e-07, Loss_b: 2.94964e-08, Loss_f: 4.27113e-06
Iter: 6300, Loss: 2.20152e-04, Loss_0: 3.55168e-05, Loss_b: 1.22714e-04, Loss_f: 6.19208e-05
Iter: 6400, Loss: 4.56387e-06, Loss_0: 4.37476e-07, Loss_b: 2.92506e-08, Loss_f: 4.09714e-06
Iter: 6500, Loss: 2.22182e-05, Loss_0: 7.59147e-06, Loss_b: 3.11192e-07, Loss_f: 1.43155e-05
Iter: 6600, Loss: 1.00633e-04, Loss_0: 2.69230e-06, Loss_b: 1.04002e-05, Loss_f: 8.75402e-05
Iter: 6700, Loss: 7.02908e-05, Loss_0: 2.04757e-06, Loss_b: 6.79677e-06, Loss_f: 6.14465e-05
Iter: 6800, Loss: 1.14632e-04, Loss_0: 2.23123e-05, Loss_b: 5.47203e-05, Loss_f: 3.75990e-05
Iter: 6900, Loss: 2.62811e-05, Loss_0: 1.31000e-05, Loss_b: 8.72446e-07, Loss_f: 1.23087e-05
Iter: 7000, Loss: 4.74194e-05, Loss_0: 3.88627e-06, Loss_b: 1.22963e-06, Loss_f: 4.23035e-05
Iter: 7100, Loss: 8.43917e-05, Loss_0: 1.30154e-05, Loss_b: 1.01195e-06, Loss_f: 7.03643e-05
Iter: 7200, Loss: 4.96322e-06, Loss_0: 7.60877e-07, Loss_b: 3.43585e-08, Loss_f: 4.16798e-06
Iter: 7300, Loss: 1.45409e-05, Loss_0: 8.77440e-07, Loss_b: 4.60416e-07, Loss_f: 1.32030e-05
Iter: 7400, Loss: 8.77730e-04, Loss_0: 9.83178e-05, Loss_b: 2.73464e-04, Loss_f: 5.05948e-04
Iter: 7500, Loss: 1.72485e-02, Loss_0: 1.19335e-04, Loss_b: 4.74306e-04, Loss_f: 1.66549e-02
Iter: 7600, Loss: 1.82853e-04, Loss_0: 9.17957e-05, Loss_b: 5.57586e-07, Loss_f: 9.05002e-05
Iter: 7700, Loss: 4.44877e-05, Loss_0: 1.61845e-05, Loss_b: 2.27248e-07, Loss_f: 2.80760e-05
Iter: 7800, Loss: 2.12421e-05, Loss_0: 5.34727e-06, Loss_b: 1.06856e-07, Loss_f: 1.57880e-05
Iter: 7900, Loss: 1.35687e-05, Loss_0: 2.62554e-06, Loss_b: 6.39321e-08, Loss_f: 1.08793e-05
Iter: 8000, Loss: 1.04247e-05, Loss_0: 1.65249e-06, Loss_b: 4.62341e-08, Loss_f: 8.72601e-06
Iter: 8100, Loss: 8.80866e-06, Loss_0: 1.19597e-06, Loss_b: 3.87132e-08, Loss_f: 7.57398e-06
Iter: 8200, Loss: 7.81503e-06, Loss_0: 9.44309e-07, Loss_b: 3.51953e-08, Loss_f: 6.83552e-06
Iter: 8300, Loss: 7.12366e-06, Loss_0: 7.90836e-07, Loss_b: 3.30258e-08, Loss_f: 6.29980e-06
Iter: 8400, Loss: 6.60357e-06, Loss_0: 6.90775e-07, Loss_b: 3.12720e-08, Loss_f: 5.88152e-06
Iter: 8500, Loss: 6.19189e-06, Loss_0: 6.21927e-07, Loss_b: 2.98011e-08, Loss_f: 5.54016e-06
Iter: 8600, Loss: 5.85459e-06, Loss_0: 5.72608e-07, Loss_b: 2.84990e-08, Loss_f: 5.25348e-06
Iter: 8700, Loss: 5.57022e-06, Loss_0: 5.35991e-07, Loss_b: 2.74025e-08, Loss_f: 5.00683e-06
Iter: 8800, Loss: 9.75276e-05, Loss_0: 1.33012e-05, Loss_b: 3.94119e-05, Loss_f: 4.48144e-05
Iter: 8900, Loss: 5.31185e-06, Loss_0: 5.61756e-07, Loss_b: 2.91179e-08, Loss_f: 4.72097e-06
Iter: 9000, Loss: 1.90850e-03, Loss_0: 1.21992e-04, Loss_b: 5.17147e-04, Loss_f: 1.26936e-03
Iter: 9100, Loss: 5.36481e-06, Loss_0: 7.07845e-07, Loss_b: 5.00311e-08, Loss_f: 4.60693e-06
Iter: 9200, Loss: 6.95807e-06, Loss_0: 1.32131e-06, Loss_b: 2.65125e-07, Loss_f: 5.37164e-06
Iter: 9300, Loss: 1.00922e-05, Loss_0: 1.85036e-06, Loss_b: 1.70316e-06, Loss_f: 6.53869e-06
Iter: 9400, Loss: 6.67660e-06, Loss_0: 1.60716e-06, Loss_b: 1.46040e-07, Loss_f: 4.92339e-06
