Start Training:
Iter: 4800, Loss: 2.50213e-01, Loss_0: 1.84961e-01, Loss_b: 3.57131e-03, Loss_f: 6.16804e-02
Iter: 4900, Loss: 2.47828e-01, Loss_0: 1.83366e-01, Loss_b: 3.42675e-03, Loss_f: 6.10359e-02
Iter: 5000, Loss: 2.45539e-01, Loss_0: 1.81831e-01, Loss_b: 3.29517e-03, Loss_f: 6.04125e-02
Iter: 5100, Loss: 2.43331e-01, Loss_0: 1.80342e-01, Loss_b: 3.17534e-03, Loss_f: 5.98138e-02
Iter: 5200, Loss: 2.41191e-01, Loss_0: 1.78884e-01, Loss_b: 3.06583e-03, Loss_f: 5.92418e-02
Iter: 5300, Loss: 2.39110e-01, Loss_0: 1.77448e-01, Loss_b: 2.96553e-03, Loss_f: 5.86966e-02
Iter: 5400, Loss: 2.37076e-01, Loss_0: 1.76028e-01, Loss_b: 2.87377e-03, Loss_f: 5.81751e-02
Iter: 5500, Loss: 2.35082e-01, Loss_0: 1.74616e-01, Loss_b: 2.78928e-03, Loss_f: 5.76768e-02
Iter: 5600, Loss: 2.33118e-01, Loss_0: 1.73208e-01, Loss_b: 2.71097e-03, Loss_f: 5.71990e-02
Iter: 5700, Loss: 2.31176e-01, Loss_0: 1.71796e-01, Loss_b: 2.63858e-03, Loss_f: 5.67412e-02
Iter: 5800, Loss: 2.29249e-01, Loss_0: 1.70376e-01, Loss_b: 2.57111e-03, Loss_f: 5.63016e-02
Iter: 5900, Loss: 2.27326e-01, Loss_0: 1.68941e-01, Loss_b: 2.50768e-03, Loss_f: 5.58767e-02
Iter: 6000, Loss: 2.25397e-01, Loss_0: 1.67483e-01, Loss_b: 2.44779e-03, Loss_f: 5.54660e-02
Iter: 6100, Loss: 2.23450e-01, Loss_0: 1.65987e-01, Loss_b: 2.39119e-03, Loss_f: 5.50712e-02
Iter: 6200, Loss: 2.21466e-01, Loss_0: 1.64433e-01, Loss_b: 2.33728e-03, Loss_f: 5.46956e-02
Iter: 6300, Loss: 2.19419e-01, Loss_0: 1.62788e-01, Loss_b: 2.28629e-03, Loss_f: 5.43451e-02
Iter: 6400, Loss: 2.17262e-01, Loss_0: 1.60990e-01, Loss_b: 2.23957e-03, Loss_f: 5.40318e-02
Iter: 6500, Loss: 2.14909e-01, Loss_0: 1.58922e-01, Loss_b: 2.20026e-03, Loss_f: 5.37867e-02
Iter: 6600, Loss: 2.12208e-01, Loss_0: 1.56362e-01, Loss_b: 2.17795e-03, Loss_f: 5.36687e-02
Iter: 6700, Loss: 2.08973e-01, Loss_0: 1.53038e-01, Loss_b: 2.19673e-03, Loss_f: 5.37387e-02
Iter: 6800, Loss: 2.05473e-01, Loss_0: 1.49466e-01, Loss_b: 2.27118e-03, Loss_f: 5.37359e-02
Iter: 6900, Loss: 2.02580e-01, Loss_0: 1.47297e-01, Loss_b: 2.30451e-03, Loss_f: 5.29783e-02
Iter: 7000, Loss: 2.00326e-01, Loss_0: 1.46216e-01, Loss_b: 2.26060e-03, Loss_f: 5.18493e-02
Iter: 7100, Loss: 1.98346e-01, Loss_0: 1.45219e-01, Loss_b: 2.19434e-03, Loss_f: 5.09326e-02
Iter: 7200, Loss: 1.96470e-01, Loss_0: 1.44082e-01, Loss_b: 2.11872e-03, Loss_f: 5.02691e-02
Iter: 7300, Loss: 1.94644e-01, Loss_0: 1.42828e-01, Loss_b: 2.03603e-03, Loss_f: 4.97790e-02
Iter: 7400, Loss: 1.92856e-01, Loss_0: 1.41506e-01, Loss_b: 1.94894e-03, Loss_f: 4.94018e-02
Iter: 7500, Loss: 1.91107e-01, Loss_0: 1.40148e-01, Loss_b: 1.86079e-03, Loss_f: 4.90983e-02
Iter: 7600, Loss: 1.89396e-01, Loss_0: 1.38779e-01, Loss_b: 1.77495e-03, Loss_f: 4.88417e-02
Iter: 7700, Loss: 1.87719e-01, Loss_0: 1.37413e-01, Loss_b: 1.69451e-03, Loss_f: 4.86113e-02
Iter: 7800, Loss: 1.86071e-01, Loss_0: 1.36058e-01, Loss_b: 1.62204e-03, Loss_f: 4.83908e-02
Iter: 7900, Loss: 1.84446e-01, Loss_0: 1.34719e-01, Loss_b: 1.55934e-03, Loss_f: 4.81674e-02
Iter: 8000, Loss: 1.82837e-01, Loss_0: 1.33394e-01, Loss_b: 1.50754e-03, Loss_f: 4.79356e-02
Iter: 8100, Loss: 1.81240e-01, Loss_0: 1.32081e-01, Loss_b: 1.46478e-03, Loss_f: 4.76942e-02
Iter: 8200, Loss: 1.79650e-01, Loss_0: 1.30779e-01, Loss_b: 1.42520e-03, Loss_f: 4.74457e-02
Iter: 8300, Loss: 1.78059e-01, Loss_0: 1.29484e-01, Loss_b: 1.38481e-03, Loss_f: 4.71898e-02
Iter: 8400, Loss: 1.76456e-01, Loss_0: 1.28191e-01, Loss_b: 1.34621e-03, Loss_f: 4.69194e-02
Iter: 8500, Loss: 1.74804e-01, Loss_0: 1.26888e-01, Loss_b: 1.31706e-03, Loss_f: 4.65992e-02
Iter: 8600, Loss: 1.72475e-01, Loss_0: 1.25502e-01, Loss_b: 1.25161e-03, Loss_f: 4.57212e-02
Iter: 8700, Loss: 1.70351e-01, Loss_0: 1.23988e-01, Loss_b: 1.17887e-03, Loss_f: 4.51843e-02
Iter: 8800, Loss: 1.68335e-01, Loss_0: 1.22418e-01, Loss_b: 1.10634e-03, Loss_f: 4.48103e-02
Iter: 8900, Loss: 1.66298e-01, Loss_0: 1.20898e-01, Loss_b: 1.03571e-03, Loss_f: 4.43643e-02
Iter: 9000, Loss: 1.64232e-01, Loss_0: 1.19405e-01, Loss_b: 9.63618e-04, Loss_f: 4.38640e-02
Iter: 9100, Loss: 1.62172e-01, Loss_0: 1.17919e-01, Loss_b: 9.01014e-04, Loss_f: 4.33522e-02
Iter: 9200, Loss: 1.60104e-01, Loss_0: 1.16432e-01, Loss_b: 8.58565e-04, Loss_f: 4.28136e-02
Iter: 9300, Loss: 1.57942e-01, Loss_0: 1.14951e-01, Loss_b: 8.40343e-04, Loss_f: 4.21503e-02
Iter: 9400, Loss: 1.55253e-01, Loss_0: 1.13611e-01, Loss_b: 9.09616e-04, Loss_f: 4.07326e-02
Iter: 9500, Loss: 1.51733e-01, Loss_0: 1.12141e-01, Loss_b: 1.07044e-03, Loss_f: 3.85219e-02
Iter: 9600, Loss: 1.48140e-01, Loss_0: 1.10389e-01, Loss_b: 9.84918e-04, Loss_f: 3.67662e-02
Iter: 9700, Loss: 1.44912e-01, Loss_0: 1.08482e-01, Loss_b: 8.78926e-04, Loss_f: 3.55506e-02
Iter: 9800, Loss: 1.41881e-01, Loss_0: 1.06455e-01, Loss_b: 8.23038e-04, Loss_f: 3.46028e-02
