Start Training:
Iter: 3900, Loss: 1.43554e-02, Loss0: 2.45390e-04, Loss_b: 9.00573e-05, Loss_f: 5.61339e-03, Loss_prev: 8.40653e-03
Iter: 4000, Loss: 2.09278e-02, Loss0: 2.94891e-04, Loss_b: 5.22774e-04, Loss_f: 1.16004e-02, Loss_prev: 8.50971e-03
Iter: 4100, Loss: 2.32163e-02, Loss0: 5.73685e-04, Loss_b: 8.88811e-04, Loss_f: 1.31209e-02, Loss_prev: 8.63289e-03
Iter: 4200, Loss: 4.52924e-02, Loss0: 8.77325e-04, Loss_b: 1.57112e-03, Loss_f: 3.56514e-02, Loss_prev: 7.19256e-03
Iter: 4300, Loss: 2.10303e-02, Loss0: 3.82961e-04, Loss_b: 4.34381e-04, Loss_f: 1.21074e-02, Loss_prev: 8.10555e-03
Iter: 4400, Loss: 1.97953e-02, Loss0: 4.53243e-04, Loss_b: 1.17132e-03, Loss_f: 1.02200e-02, Loss_prev: 7.95075e-03
Iter: 4500, Loss: 1.30776e-02, Loss0: 2.06298e-04, Loss_b: 1.36381e-04, Loss_f: 4.77211e-03, Loss_prev: 7.96284e-03
Iter: 4600, Loss: 2.19889e-02, Loss0: 6.10922e-04, Loss_b: 9.55052e-04, Loss_f: 1.18614e-02, Loss_prev: 8.56155e-03
Iter: 4700, Loss: 1.68518e-02, Loss0: 3.01240e-04, Loss_b: 3.09578e-04, Loss_f: 9.87230e-03, Loss_prev: 6.36867e-03
Iter: 4800, Loss: 1.22701e-02, Loss0: 1.88265e-04, Loss_b: 8.50285e-05, Loss_f: 5.09285e-03, Loss_prev: 6.90395e-03
Iter: 4900, Loss: 1.72999e-02, Loss0: 3.60475e-04, Loss_b: 2.98805e-04, Loss_f: 1.00183e-02, Loss_prev: 6.62229e-03
Iter: 5000, Loss: 1.34369e-02, Loss0: 2.14720e-04, Loss_b: 1.24885e-04, Loss_f: 5.62277e-03, Loss_prev: 7.47452e-03
Iter: 5100, Loss: 1.75613e-02, Loss0: 2.80412e-04, Loss_b: 5.05403e-04, Loss_f: 9.28581e-03, Loss_prev: 7.48966e-03
Iter: 5200, Loss: 1.25599e-02, Loss0: 1.79988e-04, Loss_b: 1.39281e-04, Loss_f: 5.65379e-03, Loss_prev: 6.58682e-03
Iter: 5300, Loss: 1.53181e-02, Loss0: 2.59949e-04, Loss_b: 2.59765e-04, Loss_f: 7.58408e-03, Loss_prev: 7.21434e-03
Iter: 5400, Loss: 1.69753e-02, Loss0: 4.06251e-04, Loss_b: 3.80852e-04, Loss_f: 8.99797e-03, Loss_prev: 7.19023e-03
Iter: 5500, Loss: 1.40928e-02, Loss0: 2.16659e-04, Loss_b: 1.36809e-04, Loss_f: 8.01214e-03, Loss_prev: 5.72724e-03
Iter: 5600, Loss: 1.36320e-02, Loss0: 2.08062e-04, Loss_b: 2.26502e-04, Loss_f: 6.79318e-03, Loss_prev: 6.40424e-03
Iter: 5700, Loss: 2.41843e-02, Loss0: 5.32929e-04, Loss_b: 7.16634e-04, Loss_f: 1.62915e-02, Loss_prev: 6.64330e-03
Iter: 5800, Loss: 3.12241e-02, Loss0: 5.94447e-04, Loss_b: 6.82426e-04, Loss_f: 2.33550e-02, Loss_prev: 6.59217e-03
Iter: 5900, Loss: 2.31856e-02, Loss0: 5.89575e-04, Loss_b: 6.72179e-04, Loss_f: 1.42488e-02, Loss_prev: 7.67505e-03
Iter: 6000, Loss: 1.36598e-02, Loss0: 2.49136e-04, Loss_b: 5.06946e-04, Loss_f: 6.04567e-03, Loss_prev: 6.85806e-03
Iter: 6100, Loss: 2.59293e-02, Loss0: 3.35825e-04, Loss_b: 1.28492e-03, Loss_f: 1.62080e-02, Loss_prev: 8.10054e-03
Iter: 6200, Loss: 5.16181e-02, Loss0: 8.96046e-04, Loss_b: 1.18444e-03, Loss_f: 4.43056e-02, Loss_prev: 5.23198e-03
Iter: 6300, Loss: 1.49310e-02, Loss0: 2.25650e-04, Loss_b: 1.99003e-04, Loss_f: 9.37974e-03, Loss_prev: 5.12656e-03
Iter: 6400, Loss: 1.65805e-02, Loss0: 3.94687e-04, Loss_b: 2.97392e-04, Loss_f: 1.00320e-02, Loss_prev: 5.85648e-03
Iter: 6500, Loss: 9.09806e-03, Loss0: 1.19910e-04, Loss_b: 2.99359e-05, Loss_f: 3.63942e-03, Loss_prev: 5.30879e-03
Iter: 6600, Loss: 1.11788e-02, Loss0: 1.63480e-04, Loss_b: 1.02677e-04, Loss_f: 5.45574e-03, Loss_prev: 5.45694e-03
