Start Training:
Iter: 4800, Loss: 7.18271e-03, Loss_0: 8.18412e-04, Loss_b: 1.10832e-03, Loss_f: 5.25597e-03
Iter: 4900, Loss: 5.47280e-03, Loss_0: 8.16647e-04, Loss_b: 1.14398e-04, Loss_f: 4.54175e-03
Iter: 5000, Loss: 6.41533e-03, Loss_0: 7.30438e-04, Loss_b: 6.53891e-04, Loss_f: 5.03100e-03
Iter: 5100, Loss: 4.30972e-03, Loss_0: 5.07073e-04, Loss_b: 2.19634e-05, Loss_f: 3.78068e-03
Iter: 5200, Loss: 3.76808e-03, Loss_0: 4.52071e-04, Loss_b: 2.92630e-05, Loss_f: 3.28674e-03
Iter: 5300, Loss: 3.40459e-03, Loss_0: 4.44600e-04, Loss_b: 2.58919e-05, Loss_f: 2.93410e-03
Iter: 5400, Loss: 3.13254e-03, Loss_0: 4.33628e-04, Loss_b: 1.91780e-05, Loss_f: 2.67973e-03
Iter: 5500, Loss: 2.90422e-03, Loss_0: 4.04772e-04, Loss_b: 1.96736e-05, Loss_f: 2.47977e-03
Iter: 5600, Loss: 2.71639e-03, Loss_0: 3.97937e-04, Loss_b: 2.45123e-05, Loss_f: 2.29394e-03
Iter: 5700, Loss: 2.56952e-03, Loss_0: 4.38699e-04, Loss_b: 2.59451e-05, Loss_f: 2.10487e-03
Iter: 5800, Loss: 2.37947e-03, Loss_0: 4.19368e-04, Loss_b: 1.69177e-05, Loss_f: 1.94319e-03
Iter: 5900, Loss: 2.19343e-03, Loss_0: 3.91973e-04, Loss_b: 1.91372e-05, Loss_f: 1.78232e-03
Iter: 6000, Loss: 1.99322e-03, Loss_0: 3.37844e-04, Loss_b: 2.13663e-05, Loss_f: 1.63401e-03
Iter: 6100, Loss: 1.74020e-03, Loss_0: 2.57732e-04, Loss_b: 2.12479e-05, Loss_f: 1.46122e-03
Iter: 6200, Loss: 1.49992e-03, Loss_0: 1.92890e-04, Loss_b: 2.44318e-05, Loss_f: 1.28260e-03
Iter: 6300, Loss: 1.32265e-03, Loss_0: 1.83727e-04, Loss_b: 2.12447e-05, Loss_f: 1.11768e-03
Iter: 6400, Loss: 1.15198e-03, Loss_0: 1.60067e-04, Loss_b: 2.54665e-05, Loss_f: 9.66447e-04
Iter: 6500, Loss: 1.01557e-03, Loss_0: 1.44482e-04, Loss_b: 2.22305e-05, Loss_f: 8.48858e-04
Iter: 6600, Loss: 8.86173e-04, Loss_0: 1.16882e-04, Loss_b: 1.54824e-05, Loss_f: 7.53809e-04
Iter: 6700, Loss: 7.91572e-04, Loss_0: 1.06216e-04, Loss_b: 1.42166e-05, Loss_f: 6.71139e-04
Iter: 6800, Loss: 6.74670e-04, Loss_0: 8.45096e-05, Loss_b: 1.59562e-05, Loss_f: 5.74204e-04
Iter: 6900, Loss: 5.78442e-04, Loss_0: 6.04731e-05, Loss_b: 1.99992e-05, Loss_f: 4.97970e-04
Iter: 7000, Loss: 5.05540e-04, Loss_0: 5.03505e-05, Loss_b: 1.97348e-05, Loss_f: 4.35455e-04
Iter: 7100, Loss: 4.46115e-04, Loss_0: 4.78752e-05, Loss_b: 1.51519e-05, Loss_f: 3.83088e-04
Iter: 7200, Loss: 3.89650e-04, Loss_0: 4.12188e-05, Loss_b: 1.45628e-05, Loss_f: 3.33869e-04
Iter: 7300, Loss: 3.51417e-04, Loss_0: 3.58227e-05, Loss_b: 1.42624e-05, Loss_f: 3.01332e-04
Iter: 7400, Loss: 3.21464e-04, Loss_0: 3.10601e-05, Loss_b: 1.40462e-05, Loss_f: 2.76358e-04
Iter: 7500, Loss: 2.98705e-04, Loss_0: 2.72228e-05, Loss_b: 1.10854e-05, Loss_f: 2.60397e-04
Iter: 7600, Loss: 2.74501e-04, Loss_0: 2.34994e-05, Loss_b: 9.53681e-06, Loss_f: 2.41465e-04
Iter: 7700, Loss: 2.54749e-04, Loss_0: 2.27534e-05, Loss_b: 8.52895e-06, Loss_f: 2.23467e-04
Iter: 7800, Loss: 2.39196e-04, Loss_0: 2.09569e-05, Loss_b: 9.52005e-06, Loss_f: 2.08719e-04
Iter: 7900, Loss: 2.25351e-04, Loss_0: 1.94356e-05, Loss_b: 9.17547e-06, Loss_f: 1.96740e-04
Iter: 8000, Loss: 2.11974e-04, Loss_0: 1.97183e-05, Loss_b: 8.73843e-06, Loss_f: 1.83518e-04
Iter: 8100, Loss: 2.00413e-04, Loss_0: 2.06611e-05, Loss_b: 8.59911e-06, Loss_f: 1.71153e-04
Iter: 8200, Loss: 1.93832e-04, Loss_0: 1.95364e-05, Loss_b: 8.23809e-06, Loss_f: 1.66058e-04
Iter: 8300, Loss: 1.83475e-04, Loss_0: 1.86052e-05, Loss_b: 7.06004e-06, Loss_f: 1.57810e-04
Iter: 8400, Loss: 1.74777e-04, Loss_0: 1.89556e-05, Loss_b: 6.12971e-06, Loss_f: 1.49692e-04
Iter: 8500, Loss: 1.68454e-04, Loss_0: 1.65479e-05, Loss_b: 6.51186e-06, Loss_f: 1.45394e-04
Iter: 8600, Loss: 1.62577e-04, Loss_0: 1.56494e-05, Loss_b: 6.45093e-06, Loss_f: 1.40476e-04
Iter: 8700, Loss: 1.57254e-04, Loss_0: 1.57675e-05, Loss_b: 6.12954e-06, Loss_f: 1.35357e-04
Iter: 8800, Loss: 1.51615e-04, Loss_0: 1.57807e-05, Loss_b: 5.91093e-06, Loss_f: 1.29924e-04
Iter: 8900, Loss: 1.45911e-04, Loss_0: 1.43537e-05, Loss_b: 5.91935e-06, Loss_f: 1.25638e-04
Iter: 9000, Loss: 1.41244e-04, Loss_0: 1.45444e-05, Loss_b: 6.32144e-06, Loss_f: 1.20378e-04
Iter: 9100, Loss: 1.36424e-04, Loss_0: 1.31127e-05, Loss_b: 6.80315e-06, Loss_f: 1.16508e-04
Iter: 9200, Loss: 1.32130e-04, Loss_0: 1.24435e-05, Loss_b: 6.35700e-06, Loss_f: 1.13330e-04
Iter: 9300, Loss: 1.27433e-04, Loss_0: 1.20056e-05, Loss_b: 6.51778e-06, Loss_f: 1.08910e-04
Iter: 9400, Loss: 1.23921e-04, Loss_0: 1.23820e-05, Loss_b: 5.94079e-06, Loss_f: 1.05598e-04
Iter: 9500, Loss: 1.20438e-04, Loss_0: 1.19965e-05, Loss_b: 5.63690e-06, Loss_f: 1.02805e-04
Iter: 9600, Loss: 1.17042e-04, Loss_0: 1.20817e-05, Loss_b: 5.69445e-06, Loss_f: 9.92660e-05
Iter: 9700, Loss: 1.13950e-04, Loss_0: 1.15110e-05, Loss_b: 5.49513e-06, Loss_f: 9.69440e-05
Iter: 9800, Loss: 1.11179e-04, Loss_0: 1.03836e-05, Loss_b: 5.12818e-06, Loss_f: 9.56676e-05
Iter: 9900, Loss: 1.08095e-04, Loss_0: 1.05174e-05, Loss_b: 5.26894e-06, Loss_f: 9.23083e-05
Iter: 10000, Loss: 1.04861e-04, Loss_0: 1.05308e-05, Loss_b: 4.96304e-06, Loss_f: 8.93669e-05
Iter: 10100, Loss: 1.01564e-04, Loss_0: 1.03315e-05, Loss_b: 4.41976e-06, Loss_f: 8.68130e-05
Iter: 10200, Loss: 9.79428e-05, Loss_0: 9.26612e-06, Loss_b: 4.52471e-06, Loss_f: 8.41520e-05
Iter: 10300, Loss: 9.48393e-05, Loss_0: 8.63822e-06, Loss_b: 4.27930e-06, Loss_f: 8.19218e-05
Iter: 10400, Loss: 9.13346e-05, Loss_0: 7.73161e-06, Loss_b: 4.24677e-06, Loss_f: 7.93562e-05
Iter: 10500, Loss: 8.75285e-05, Loss_0: 7.65347e-06, Loss_b: 4.08586e-06, Loss_f: 7.57892e-05
Iter: 10600, Loss: 8.42064e-05, Loss_0: 7.26533e-06, Loss_b: 4.13946e-06, Loss_f: 7.28017e-05
Iter: 10700, Loss: 8.10967e-05, Loss_0: 6.76158e-06, Loss_b: 4.00024e-06, Loss_f: 7.03349e-05
Iter: 10800, Loss: 7.81956e-05, Loss_0: 7.25583e-06, Loss_b: 3.64820e-06, Loss_f: 6.72916e-05
Iter: 10900, Loss: 7.51041e-05, Loss_0: 7.21454e-06, Loss_b: 3.50536e-06, Loss_f: 6.43842e-05
Iter: 11000, Loss: 7.25120e-05, Loss_0: 7.23460e-06, Loss_b: 3.23501e-06, Loss_f: 6.20424e-05
Iter: 11100, Loss: 6.99446e-05, Loss_0: 6.85678e-06, Loss_b: 3.04636e-06, Loss_f: 6.00415e-05
Iter: 11200, Loss: 6.73198e-05, Loss_0: 6.34831e-06, Loss_b: 2.91303e-06, Loss_f: 5.80584e-05
Iter: 11300, Loss: 6.52581e-05, Loss_0: 6.06379e-06, Loss_b: 2.83967e-06, Loss_f: 5.63546e-05
Iter: 11400, Loss: 6.32681e-05, Loss_0: 6.02224e-06, Loss_b: 2.64709e-06, Loss_f: 5.45987e-05
Iter: 11500, Loss: 6.06717e-05, Loss_0: 5.84800e-06, Loss_b: 2.50294e-06, Loss_f: 5.23208e-05
Iter: 11600, Loss: 5.83719e-05, Loss_0: 5.63321e-06, Loss_b: 2.54750e-06, Loss_f: 5.01912e-05
Iter: 11700, Loss: 5.61497e-05, Loss_0: 5.67285e-06, Loss_b: 2.36525e-06, Loss_f: 4.81116e-05
Iter: 11800, Loss: 5.39777e-05, Loss_0: 5.70636e-06, Loss_b: 1.95122e-06, Loss_f: 4.63201e-05
Iter: 11900, Loss: 5.20052e-05, Loss_0: 5.52467e-06, Loss_b: 1.95116e-06, Loss_f: 4.45293e-05
Iter: 12000, Loss: 5.01652e-05, Loss_0: 5.37629e-06, Loss_b: 2.02523e-06, Loss_f: 4.27636e-05
Iter: 12100, Loss: 4.83484e-05, Loss_0: 5.09693e-06, Loss_b: 1.88351e-06, Loss_f: 4.13679e-05
Iter: 12200, Loss: 4.64963e-05, Loss_0: 5.32624e-06, Loss_b: 1.72763e-06, Loss_f: 3.94424e-05
Iter: 12300, Loss: 4.48696e-05, Loss_0: 5.11880e-06, Loss_b: 1.67369e-06, Loss_f: 3.80772e-05
