Start Training:
Iter: 3900, Loss: 3.52756e-02, Loss_0: 9.36750e-04, Loss_b: 4.07933e-06, Loss_f: 2.05683e-03, Loss_s: 3.22780e-02
Iter: 4000, Loss: 3.55870e-02, Loss_0: 8.56784e-04, Loss_b: 8.15358e-06, Loss_f: 2.78632e-03, Loss_s: 3.19357e-02
Iter: 4100, Loss: 4.04056e-02, Loss_0: 7.10591e-04, Loss_b: 1.15078e-05, Loss_f: 7.32346e-03, Loss_s: 3.23600e-02
Iter: 4200, Loss: 3.55221e-02, Loss_0: 7.67052e-04, Loss_b: 5.80233e-06, Loss_f: 3.19117e-03, Loss_s: 3.15581e-02
Iter: 4300, Loss: 3.47975e-02, Loss_0: 7.75374e-04, Loss_b: 1.73322e-05, Loss_f: 2.66224e-03, Loss_s: 3.13426e-02
Iter: 4400, Loss: 3.37360e-02, Loss_0: 9.93364e-04, Loss_b: 5.12282e-05, Loss_f: 1.24420e-03, Loss_s: 3.14472e-02
Iter: 4500, Loss: 3.34741e-02, Loss_0: 9.84995e-04, Loss_b: 2.88226e-05, Loss_f: 1.28456e-03, Loss_s: 3.11758e-02
Iter: 4600, Loss: 3.46323e-02, Loss_0: 8.30623e-04, Loss_b: 6.43328e-06, Loss_f: 2.96910e-03, Loss_s: 3.08261e-02
Iter: 4700, Loss: 3.35333e-02, Loss_0: 8.74486e-04, Loss_b: 4.20699e-05, Loss_f: 1.88704e-03, Loss_s: 3.07297e-02
Iter: 4800, Loss: 3.36107e-02, Loss_0: 7.03877e-04, Loss_b: 2.69293e-06, Loss_f: 2.28598e-03, Loss_s: 3.06181e-02
Iter: 4900, Loss: 3.28755e-02, Loss_0: 8.30366e-04, Loss_b: 7.65599e-05, Loss_f: 1.61810e-03, Loss_s: 3.03505e-02
Iter: 5000, Loss: 3.37688e-02, Loss_0: 6.93955e-04, Loss_b: 4.13825e-06, Loss_f: 2.54712e-03, Loss_s: 3.05236e-02
Iter: 5100, Loss: 3.25796e-02, Loss_0: 1.00525e-03, Loss_b: 1.30818e-04, Loss_f: 1.16691e-03, Loss_s: 3.02767e-02
Iter: 5200, Loss: 3.31366e-02, Loss_0: 7.22012e-04, Loss_b: 1.46763e-04, Loss_f: 2.00105e-03, Loss_s: 3.02668e-02
