Start Training:
Iter: 3900, Loss: 3.99008e-02, Loss_0: 4.64895e-03, Loss_b: 5.34637e-06, Loss_f: 4.35936e-03, Loss_s: 3.08872e-02
Iter: 4000, Loss: 3.87527e-02, Loss_0: 4.52917e-03, Loss_b: 4.68517e-06, Loss_f: 3.95568e-03, Loss_s: 3.02632e-02
Iter: 4100, Loss: 3.81251e-02, Loss_0: 4.44520e-03, Loss_b: 5.06273e-06, Loss_f: 3.89557e-03, Loss_s: 2.97793e-02
Iter: 4200, Loss: 3.74453e-02, Loss_0: 4.30231e-03, Loss_b: 5.49906e-06, Loss_f: 3.85035e-03, Loss_s: 2.92872e-02
Iter: 4300, Loss: 3.69711e-02, Loss_0: 4.29164e-03, Loss_b: 6.60273e-06, Loss_f: 3.89919e-03, Loss_s: 2.87737e-02
Iter: 4400, Loss: 3.66213e-02, Loss_0: 4.16056e-03, Loss_b: 6.18647e-06, Loss_f: 4.30706e-03, Loss_s: 2.81475e-02
Iter: 4500, Loss: 3.60572e-02, Loss_0: 3.96459e-03, Loss_b: 7.16898e-06, Loss_f: 4.10468e-03, Loss_s: 2.79808e-02
Iter: 4600, Loss: 3.54828e-02, Loss_0: 3.83566e-03, Loss_b: 6.74611e-06, Loss_f: 4.20625e-03, Loss_s: 2.74341e-02
Iter: 4700, Loss: 7.51733e-02, Loss_0: 3.30206e-03, Loss_b: 6.32211e-05, Loss_f: 4.37833e-02, Loss_s: 2.80246e-02
Iter: 4800, Loss: 3.36383e-02, Loss_0: 3.70517e-03, Loss_b: 6.64768e-06, Loss_f: 3.47137e-03, Loss_s: 2.64551e-02
Iter: 4900, Loss: 3.82929e-02, Loss_0: 3.34327e-03, Loss_b: 1.12863e-05, Loss_f: 8.45587e-03, Loss_s: 2.64825e-02
Iter: 5000, Loss: 3.24432e-02, Loss_0: 3.51757e-03, Loss_b: 6.03331e-06, Loss_f: 3.38106e-03, Loss_s: 2.55385e-02
Iter: 5100, Loss: 3.19540e-02, Loss_0: 3.46635e-03, Loss_b: 5.74247e-06, Loss_f: 3.31100e-03, Loss_s: 2.51709e-02
Iter: 5200, Loss: 3.48852e-02, Loss_0: 3.48727e-03, Loss_b: 8.76571e-06, Loss_f: 6.76494e-03, Loss_s: 2.46242e-02
Iter: 5300, Loss: 3.07868e-02, Loss_0: 3.28208e-03, Loss_b: 1.95608e-05, Loss_f: 3.22533e-03, Loss_s: 2.42599e-02
Iter: 5400, Loss: 3.02376e-02, Loss_0: 3.21152e-03, Loss_b: 4.00667e-06, Loss_f: 3.12311e-03, Loss_s: 2.38990e-02
Iter: 5500, Loss: 3.05297e-02, Loss_0: 3.09562e-03, Loss_b: 3.11345e-06, Loss_f: 3.79468e-03, Loss_s: 2.36363e-02
Iter: 5600, Loss: 2.98749e-02, Loss_0: 3.05419e-03, Loss_b: 5.15752e-06, Loss_f: 3.78814e-03, Loss_s: 2.30274e-02
Iter: 5700, Loss: 2.86886e-02, Loss_0: 2.97223e-03, Loss_b: 2.98081e-06, Loss_f: 2.97934e-03, Loss_s: 2.27340e-02
Iter: 5800, Loss: 2.91809e-02, Loss_0: 2.92863e-03, Loss_b: 1.50244e-05, Loss_f: 3.71699e-03, Loss_s: 2.25203e-02
Iter: 5900, Loss: 2.77013e-02, Loss_0: 2.82217e-03, Loss_b: 2.84611e-06, Loss_f: 2.89495e-03, Loss_s: 2.19813e-02
Iter: 6000, Loss: 2.72246e-02, Loss_0: 2.74088e-03, Loss_b: 2.86024e-06, Loss_f: 2.84484e-03, Loss_s: 2.16360e-02
