Start Training:
Iter: 3900, Loss: 1.44961e-03, Loss_0: 9.29169e-05, Loss_1: 1.01606e-03, Loss_b: 3.09480e-04, Loss_f: 3.11569e-05
Iter: 4000, Loss: 9.55015e-04, Loss_0: 1.99366e-05, Loss_1: 9.00711e-04, Loss_b: 1.49040e-05, Loss_f: 1.94633e-05
Iter: 4100, Loss: 1.32775e-03, Loss_0: 1.11726e-04, Loss_1: 8.53546e-04, Loss_b: 3.30216e-04, Loss_f: 3.22586e-05
Iter: 4200, Loss: 7.94528e-04, Loss_0: 2.24131e-05, Loss_1: 7.47916e-04, Loss_b: 6.27781e-06, Loss_f: 1.79208e-05
Iter: 4300, Loss: 7.21431e-04, Loss_0: 1.32154e-05, Loss_1: 6.86165e-04, Loss_b: 5.11723e-06, Loss_f: 1.69334e-05
Iter: 4400, Loss: 7.27981e-04, Loss_0: 1.93654e-05, Loss_1: 6.36958e-04, Loss_b: 5.30857e-05, Loss_f: 1.85716e-05
Iter: 4500, Loss: 6.17007e-04, Loss_0: 1.52749e-05, Loss_1: 5.75072e-04, Loss_b: 1.01556e-05, Loss_f: 1.65049e-05
Iter: 4600, Loss: 5.62828e-04, Loss_0: 1.45943e-05, Loss_1: 5.28834e-04, Loss_b: 3.58295e-06, Loss_f: 1.58165e-05
Iter: 4700, Loss: 1.43565e-03, Loss_0: 1.66852e-04, Loss_1: 6.22195e-04, Loss_b: 5.89681e-04, Loss_f: 5.69248e-05
Iter: 4800, Loss: 1.06601e-03, Loss_0: 1.93563e-04, Loss_1: 5.17719e-04, Loss_b: 3.06419e-04, Loss_f: 4.83120e-05
Iter: 4900, Loss: 1.31064e-03, Loss_0: 1.04054e-04, Loss_1: 5.40312e-04, Loss_b: 6.27277e-04, Loss_f: 3.89948e-05
Iter: 5000, Loss: 1.08621e-03, Loss_0: 8.68063e-05, Loss_1: 4.72168e-04, Loss_b: 4.93359e-04, Loss_f: 3.38782e-05
Iter: 5100, Loss: 3.93713e-04, Loss_0: 1.32422e-05, Loss_1: 3.66235e-04, Loss_b: 1.52444e-07, Loss_f: 1.40831e-05
Iter: 5200, Loss: 4.28210e-04, Loss_0: 2.02910e-05, Loss_1: 3.55979e-04, Loss_b: 3.52530e-05, Loss_f: 1.66873e-05
Iter: 5300, Loss: 3.52961e-04, Loss_0: 1.39321e-05, Loss_1: 3.24482e-04, Loss_b: 8.03132e-07, Loss_f: 1.37435e-05
Iter: 5400, Loss: 6.81911e-04, Loss_0: 4.80382e-05, Loss_1: 3.67781e-04, Loss_b: 2.40617e-04, Loss_f: 2.54749e-05
Iter: 5500, Loss: 3.18358e-04, Loss_0: 1.35005e-05, Loss_1: 2.91581e-04, Loss_b: 1.10077e-07, Loss_f: 1.31664e-05
Iter: 5600, Loss: 3.52162e-04, Loss_0: 2.80443e-05, Loss_1: 2.77290e-04, Loss_b: 3.21065e-05, Loss_f: 1.47205e-05
Iter: 5700, Loss: 3.20622e-04, Loss_0: 2.41246e-05, Loss_1: 2.65003e-04, Loss_b: 1.83824e-05, Loss_f: 1.31120e-05
Iter: 5800, Loss: 3.07166e-04, Loss_0: 3.45228e-05, Loss_1: 2.57062e-04, Loss_b: 5.74360e-07, Loss_f: 1.50070e-05
Iter: 5900, Loss: 2.84227e-04, Loss_0: 1.13354e-05, Loss_1: 2.49392e-04, Loss_b: 1.07686e-05, Loss_f: 1.27310e-05
Iter: 6000, Loss: 2.58765e-04, Loss_0: 1.18185e-05, Loss_1: 2.34733e-04, Loss_b: 4.03682e-07, Loss_f: 1.18101e-05
Iter: 6100, Loss: 2.55268e-04, Loss_0: 1.30878e-05, Loss_1: 2.25875e-04, Loss_b: 4.49298e-06, Loss_f: 1.18119e-05
Iter: 6200, Loss: 3.06226e-04, Loss_0: 1.98598e-05, Loss_1: 2.27312e-04, Loss_b: 4.46004e-05, Loss_f: 1.44535e-05
Iter: 6300, Loss: 2.40112e-04, Loss_0: 1.06735e-05, Loss_1: 2.12993e-04, Loss_b: 5.14428e-06, Loss_f: 1.13010e-05
Iter: 6400, Loss: 2.25730e-04, Loss_0: 1.22377e-05, Loss_1: 2.02389e-04, Loss_b: 2.65118e-07, Loss_f: 1.08383e-05
Iter: 6500, Loss: 2.38786e-04, Loss_0: 1.50195e-05, Loss_1: 1.96575e-04, Loss_b: 1.57897e-05, Loss_f: 1.14010e-05
Iter: 6600, Loss: 2.12721e-04, Loss_0: 1.21777e-05, Loss_1: 1.89170e-04, Loss_b: 8.72073e-07, Loss_f: 1.05012e-05
Iter: 6700, Loss: 2.07805e-04, Loss_0: 1.22954e-05, Loss_1: 1.84162e-04, Loss_b: 7.93787e-07, Loss_f: 1.05537e-05
Iter: 6800, Loss: 2.21710e-04, Loss_0: 1.07272e-05, Loss_1: 1.86286e-04, Loss_b: 1.39380e-05, Loss_f: 1.07585e-05
Iter: 6900, Loss: 1.94217e-04, Loss_0: 1.21701e-05, Loss_1: 1.72095e-04, Loss_b: 1.17537e-07, Loss_f: 9.83436e-06
Iter: 7000, Loss: 1.93476e-04, Loss_0: 1.47260e-05, Loss_1: 1.67546e-04, Loss_b: 1.23826e-06, Loss_f: 9.96561e-06
Iter: 7100, Loss: 1.85117e-04, Loss_0: 1.22887e-05, Loss_1: 1.63142e-04, Loss_b: 2.06002e-07, Loss_f: 9.48059e-06
Iter: 7200, Loss: 1.86049e-04, Loss_0: 1.08424e-05, Loss_1: 1.61735e-04, Loss_b: 4.04125e-06, Loss_f: 9.42992e-06
Iter: 7300, Loss: 1.76012e-04, Loss_0: 1.19587e-05, Loss_1: 1.54628e-04, Loss_b: 1.84168e-07, Loss_f: 9.24108e-06
Iter: 7400, Loss: 1.83121e-04, Loss_0: 1.58461e-05, Loss_1: 1.56612e-04, Loss_b: 7.31203e-07, Loss_f: 9.93164e-06
Iter: 7500, Loss: 1.67269e-04, Loss_0: 1.21456e-05, Loss_1: 1.46422e-04, Loss_b: 5.76738e-08, Loss_f: 8.64382e-06
Iter: 7600, Loss: 1.65528e-04, Loss_0: 1.31410e-05, Loss_1: 1.42648e-04, Loss_b: 9.14856e-07, Loss_f: 8.82405e-06
Iter: 7700, Loss: 6.09087e-04, Loss_0: 9.64820e-05, Loss_1: 1.86640e-04, Loss_b: 3.05210e-04, Loss_f: 2.07554e-05
