Start Training:
Iter: 3900, Loss: 6.04626e-04, Loss_0: 1.31268e-04, Loss_1: 4.34641e-04, Loss_b: 2.27962e-07, Loss_f: 3.84887e-05
Iter: 4000, Loss: 5.95291e-04, Loss_0: 1.32268e-04, Loss_1: 4.22250e-04, Loss_b: 3.43152e-07, Loss_f: 4.04294e-05
Iter: 4100, Loss: 5.87018e-04, Loss_0: 1.31520e-04, Loss_1: 4.16055e-04, Loss_b: 5.31895e-07, Loss_f: 3.89105e-05
Iter: 4200, Loss: 5.78111e-04, Loss_0: 1.28645e-04, Loss_1: 4.07519e-04, Loss_b: 6.71384e-07, Loss_f: 4.12754e-05
Iter: 4300, Loss: 5.68552e-04, Loss_0: 1.27893e-04, Loss_1: 3.97426e-04, Loss_b: 7.16589e-07, Loss_f: 4.25166e-05
Iter: 4400, Loss: 5.60202e-04, Loss_0: 1.25493e-04, Loss_1: 3.91993e-04, Loss_b: 4.99966e-07, Loss_f: 4.22163e-05
Iter: 4500, Loss: 5.52799e-04, Loss_0: 1.24793e-04, Loss_1: 3.87101e-04, Loss_b: 6.65495e-07, Loss_f: 4.02396e-05
Iter: 4600, Loss: 5.45789e-04, Loss_0: 1.26725e-04, Loss_1: 3.78508e-04, Loss_b: 5.44156e-07, Loss_f: 4.00120e-05
Iter: 4700, Loss: 5.38772e-04, Loss_0: 1.24796e-04, Loss_1: 3.73624e-04, Loss_b: 4.29711e-07, Loss_f: 3.99229e-05
Iter: 4800, Loss: 5.31375e-04, Loss_0: 1.23264e-04, Loss_1: 3.65085e-04, Loss_b: 6.48765e-07, Loss_f: 4.23773e-05
Iter: 4900, Loss: 5.24758e-04, Loss_0: 1.22628e-04, Loss_1: 3.58181e-04, Loss_b: 5.17735e-07, Loss_f: 4.34314e-05
Iter: 5000, Loss: 5.17713e-04, Loss_0: 1.19509e-04, Loss_1: 3.54548e-04, Loss_b: 5.53985e-07, Loss_f: 4.31018e-05
Iter: 5100, Loss: 5.10473e-04, Loss_0: 1.21123e-04, Loss_1: 3.48596e-04, Loss_b: 3.96598e-07, Loss_f: 4.03586e-05
Iter: 5200, Loss: 5.02995e-04, Loss_0: 1.20442e-04, Loss_1: 3.43359e-04, Loss_b: 3.07616e-07, Loss_f: 3.88854e-05
Iter: 5300, Loss: 4.94546e-04, Loss_0: 1.19684e-04, Loss_1: 3.36955e-04, Loss_b: 3.86155e-07, Loss_f: 3.75213e-05
Iter: 5400, Loss: 4.85990e-04, Loss_0: 1.16859e-04, Loss_1: 3.30384e-04, Loss_b: 6.11974e-07, Loss_f: 3.81351e-05
Iter: 5500, Loss: 4.77273e-04, Loss_0: 1.14325e-04, Loss_1: 3.23971e-04, Loss_b: 3.54274e-07, Loss_f: 3.86225e-05
Iter: 5600, Loss: 4.69041e-04, Loss_0: 1.15464e-04, Loss_1: 3.13178e-04, Loss_b: 3.40259e-07, Loss_f: 4.00594e-05
Iter: 5700, Loss: 4.60017e-04, Loss_0: 1.13122e-04, Loss_1: 3.07397e-04, Loss_b: 4.16577e-07, Loss_f: 3.90811e-05
Iter: 5800, Loss: 4.51690e-04, Loss_0: 1.14370e-04, Loss_1: 3.00428e-04, Loss_b: 5.33263e-07, Loss_f: 3.63598e-05
Iter: 5900, Loss: 4.43364e-04, Loss_0: 1.12288e-04, Loss_1: 2.94881e-04, Loss_b: 6.62078e-07, Loss_f: 3.55333e-05
Iter: 6000, Loss: 4.34555e-04, Loss_0: 1.10422e-04, Loss_1: 2.87373e-04, Loss_b: 6.10936e-07, Loss_f: 3.61499e-05
Iter: 6100, Loss: 4.25813e-04, Loss_0: 1.10341e-04, Loss_1: 2.82347e-04, Loss_b: 5.65460e-07, Loss_f: 3.25594e-05
Iter: 6200, Loss: 4.18262e-04, Loss_0: 1.09955e-04, Loss_1: 2.74971e-04, Loss_b: 6.23994e-07, Loss_f: 3.27122e-05
Iter: 6300, Loss: 4.12224e-04, Loss_0: 1.08513e-04, Loss_1: 2.69727e-04, Loss_b: 4.01223e-07, Loss_f: 3.35820e-05
Iter: 6400, Loss: 4.05349e-04, Loss_0: 1.07530e-04, Loss_1: 2.63102e-04, Loss_b: 5.34279e-07, Loss_f: 3.41822e-05
Iter: 6500, Loss: 3.97694e-04, Loss_0: 1.06821e-04, Loss_1: 2.55281e-04, Loss_b: 4.82271e-07, Loss_f: 3.51100e-05
Iter: 6600, Loss: 3.90445e-04, Loss_0: 1.05805e-04, Loss_1: 2.49481e-04, Loss_b: 3.58348e-07, Loss_f: 3.48006e-05
Iter: 6700, Loss: 3.83368e-04, Loss_0: 1.02124e-04, Loss_1: 2.46842e-04, Loss_b: 3.66403e-07, Loss_f: 3.40356e-05
Iter: 6800, Loss: 3.76948e-04, Loss_0: 1.01004e-04, Loss_1: 2.41738e-04, Loss_b: 3.00851e-07, Loss_f: 3.39042e-05
Iter: 6900, Loss: 3.71199e-04, Loss_0: 9.95712e-05, Loss_1: 2.39550e-04, Loss_b: 2.60093e-07, Loss_f: 3.18175e-05
Iter: 7000, Loss: 3.65018e-04, Loss_0: 9.93668e-05, Loss_1: 2.35312e-04, Loss_b: 4.44233e-07, Loss_f: 2.98950e-05
Iter: 7100, Loss: 3.58116e-04, Loss_0: 9.87067e-05, Loss_1: 2.31166e-04, Loss_b: 3.24464e-07, Loss_f: 2.79186e-05
Iter: 7200, Loss: 3.52198e-04, Loss_0: 9.84598e-05, Loss_1: 2.26528e-04, Loss_b: 2.04604e-07, Loss_f: 2.70054e-05
Iter: 7300, Loss: 3.45664e-04, Loss_0: 9.88379e-05, Loss_1: 2.17765e-04, Loss_b: 2.27526e-07, Loss_f: 2.88334e-05
Iter: 7400, Loss: 3.41071e-04, Loss_0: 9.65955e-05, Loss_1: 2.14303e-04, Loss_b: 3.13799e-07, Loss_f: 2.98589e-05
Iter: 7500, Loss: 3.35140e-04, Loss_0: 9.69107e-05, Loss_1: 2.09245e-04, Loss_b: 2.33451e-07, Loss_f: 2.87507e-05
Iter: 7600, Loss: 3.28992e-04, Loss_0: 9.60210e-05, Loss_1: 2.03761e-04, Loss_b: 2.67329e-07, Loss_f: 2.89432e-05
Iter: 7700, Loss: 3.22394e-04, Loss_0: 9.60148e-05, Loss_1: 1.98308e-04, Loss_b: 2.80192e-07, Loss_f: 2.77912e-05
Iter: 7800, Loss: 3.15907e-04, Loss_0: 9.52442e-05, Loss_1: 1.92331e-04, Loss_b: 1.53036e-07, Loss_f: 2.81791e-05
Iter: 7900, Loss: 3.10407e-04, Loss_0: 9.62101e-05, Loss_1: 1.89441e-04, Loss_b: 9.52014e-08, Loss_f: 2.46615e-05
Iter: 8000, Loss: 3.06058e-04, Loss_0: 9.51092e-05, Loss_1: 1.87030e-04, Loss_b: 9.97989e-08, Loss_f: 2.38197e-05
Iter: 8100, Loss: 3.00892e-04, Loss_0: 9.35328e-05, Loss_1: 1.83610e-04, Loss_b: 1.01175e-07, Loss_f: 2.36480e-05
Iter: 8200, Loss: 2.95955e-04, Loss_0: 9.30790e-05, Loss_1: 1.79875e-04, Loss_b: 1.79307e-07, Loss_f: 2.28217e-05
Iter: 8300, Loss: 2.90843e-04, Loss_0: 9.29157e-05, Loss_1: 1.76475e-04, Loss_b: 1.23535e-07, Loss_f: 2.13295e-05
Iter: 8400, Loss: 2.86529e-04, Loss_0: 9.19358e-05, Loss_1: 1.72026e-04, Loss_b: 1.22496e-07, Loss_f: 2.24438e-05
Iter: 8500, Loss: 2.82282e-04, Loss_0: 9.18981e-05, Loss_1: 1.66812e-04, Loss_b: 1.74346e-07, Loss_f: 2.33975e-05
