Start Training:
Iter: 0, Loss: 2.37126e-01, Loss0: 2.63214e-02, Loss_b: 2.09421e-01, Loss_f: 1.38352e-03, Loss_prev: 0.00000e+00
Iter: 100, Loss: 1.29925e-02, Loss0: 1.28212e-02, Loss_b: 8.92065e-05, Loss_f: 8.21140e-05, Loss_prev: 0.00000e+00
Iter: 200, Loss: 1.19896e-02, Loss0: 1.15723e-02, Loss_b: 1.25994e-04, Loss_f: 2.91236e-04, Loss_prev: 0.00000e+00
Iter: 300, Loss: 1.09237e-02, Loss0: 1.01392e-02, Loss_b: 1.13544e-04, Loss_f: 6.70954e-04, Loss_prev: 0.00000e+00
Iter: 400, Loss: 9.11753e-03, Loss0: 8.44875e-03, Loss_b: 4.29644e-05, Loss_f: 6.25818e-04, Loss_prev: 0.00000e+00
Iter: 500, Loss: 5.41690e-03, Loss0: 4.91734e-03, Loss_b: 3.06053e-04, Loss_f: 1.93508e-04, Loss_prev: 0.00000e+00
Iter: 600, Loss: 3.28539e-03, Loss0: 2.96678e-03, Loss_b: 8.12149e-05, Loss_f: 2.37404e-04, Loss_prev: 0.00000e+00
Iter: 700, Loss: 1.98628e-03, Loss0: 1.73137e-03, Loss_b: 5.06422e-05, Loss_f: 2.04269e-04, Loss_prev: 0.00000e+00
Iter: 800, Loss: 1.05988e-03, Loss0: 7.11914e-04, Loss_b: 1.01881e-04, Loss_f: 2.46084e-04, Loss_prev: 0.00000e+00
Iter: 900, Loss: 5.40528e-04, Loss0: 3.10947e-04, Loss_b: 9.87525e-06, Loss_f: 2.19705e-04, Loss_prev: 0.00000e+00
Iter: 1000, Loss: 3.97959e-04, Loss0: 1.84837e-04, Loss_b: 4.04183e-06, Loss_f: 2.09080e-04, Loss_prev: 0.00000e+00
Iter: 1100, Loss: 3.17805e-04, Loss0: 1.41011e-04, Loss_b: 1.90543e-06, Loss_f: 1.74889e-04, Loss_prev: 0.00000e+00
