Start Training:
Iter: 0, Loss: 3.13353e-02, Loss0: 2.58954e-02, Loss_b: 9.33799e-09, Loss_f: 4.50724e-07, Loss_prev: 5.43938e-03
Iter: 100, Loss: 7.56809e-04, Loss0: 9.58364e-05, Loss_b: 5.51054e-07, Loss_f: 2.15715e-04, Loss_prev: 4.44706e-04
Iter: 200, Loss: 6.71874e-04, Loss0: 7.90954e-05, Loss_b: 2.46395e-06, Loss_f: 1.88282e-04, Loss_prev: 4.02032e-04
Iter: 300, Loss: 6.32683e-04, Loss0: 6.84127e-05, Loss_b: 3.85053e-06, Loss_f: 1.76361e-04, Loss_prev: 3.84060e-04
Iter: 400, Loss: 5.90807e-04, Loss0: 6.08312e-05, Loss_b: 2.37847e-06, Loss_f: 1.63782e-04, Loss_prev: 3.63815e-04
Iter: 500, Loss: 5.40352e-04, Loss0: 5.29899e-05, Loss_b: 8.22432e-07, Loss_f: 1.50897e-04, Loss_prev: 3.35642e-04
Iter: 600, Loss: 4.80225e-04, Loss0: 4.58685e-05, Loss_b: 3.42953e-08, Loss_f: 1.36320e-04, Loss_prev: 2.98003e-04
Iter: 700, Loss: 4.04028e-04, Loss0: 3.91136e-05, Loss_b: 5.16376e-07, Loss_f: 1.18984e-04, Loss_prev: 2.45415e-04
Iter: 800, Loss: 3.04136e-04, Loss0: 2.99200e-05, Loss_b: 1.39564e-06, Loss_f: 1.00308e-04, Loss_prev: 1.72513e-04
Iter: 900, Loss: 4.41760e-04, Loss0: 1.02544e-04, Loss_b: 1.66139e-06, Loss_f: 1.57681e-04, Loss_prev: 1.79873e-04
Iter: 1000, Loss: 1.63708e-04, Loss0: 1.33074e-05, Loss_b: 1.16460e-06, Loss_f: 8.96052e-05, Loss_prev: 5.96311e-05
Iter: 1100, Loss: 1.43670e-04, Loss0: 9.37590e-06, Loss_b: 6.92652e-07, Loss_f: 9.03215e-05, Loss_prev: 4.32804e-05
Iter: 1200, Loss: 1.34033e-04, Loss0: 7.40353e-06, Loss_b: 3.81359e-07, Loss_f: 9.12566e-05, Loss_prev: 3.49918e-05
Iter: 1300, Loss: 1.25480e-04, Loss0: 6.30952e-06, Loss_b: 4.54239e-07, Loss_f: 8.78070e-05, Loss_prev: 3.09093e-05
Iter: 1400, Loss: 1.18403e-04, Loss0: 5.31905e-06, Loss_b: 1.47780e-07, Loss_f: 8.44361e-05, Loss_prev: 2.84996e-05
Iter: 1500, Loss: 1.12659e-04, Loss0: 4.88577e-06, Loss_b: 1.95321e-07, Loss_f: 8.18471e-05, Loss_prev: 2.57307e-05
Iter: 1600, Loss: 1.06841e-04, Loss0: 4.37159e-06, Loss_b: 2.20335e-07, Loss_f: 7.89945e-05, Loss_prev: 2.32543e-05
Iter: 1700, Loss: 1.02030e-04, Loss0: 4.12308e-06, Loss_b: 2.26874e-07, Loss_f: 7.55502e-05, Loss_prev: 2.21300e-05
Iter: 1800, Loss: 1.03963e-04, Loss0: 4.01335e-06, Loss_b: 3.30807e-06, Loss_f: 7.36761e-05, Loss_prev: 2.29655e-05
Iter: 1900, Loss: 9.26748e-05, Loss0: 3.51187e-06, Loss_b: 2.07371e-07, Loss_f: 7.00189e-05, Loss_prev: 1.89366e-05
Iter: 2000, Loss: 1.09470e-04, Loss0: 5.24221e-06, Loss_b: 1.07812e-05, Loss_f: 7.04023e-05, Loss_prev: 2.30441e-05
Iter: 2100, Loss: 1.64897e-04, Loss0: 1.56871e-05, Loss_b: 4.38584e-05, Loss_f: 8.46002e-05, Loss_prev: 2.07512e-05
Iter: 2200, Loss: 8.27038e-05, Loss0: 3.06851e-06, Loss_b: 9.15376e-08, Loss_f: 6.41337e-05, Loss_prev: 1.54100e-05
Iter: 2300, Loss: 8.04033e-05, Loss0: 3.25797e-06, Loss_b: 5.34302e-07, Loss_f: 6.16627e-05, Loss_prev: 1.49484e-05
Iter: 2400, Loss: 8.53460e-05, Loss0: 3.98106e-06, Loss_b: 1.26501e-07, Loss_f: 6.98126e-05, Loss_prev: 1.14259e-05
Iter: 2500, Loss: 7.61496e-05, Loss0: 3.42174e-06, Loss_b: 9.87759e-07, Loss_f: 5.86498e-05, Loss_prev: 1.30903e-05
Iter: 2600, Loss: 7.94573e-05, Loss0: 3.49743e-06, Loss_b: 2.47618e-06, Loss_f: 5.77817e-05, Loss_prev: 1.57020e-05
Iter: 2700, Loss: 1.14860e-04, Loss0: 1.00487e-05, Loss_b: 2.60975e-05, Loss_f: 6.33221e-05, Loss_prev: 1.53918e-05
Iter: 2800, Loss: 1.13873e-04, Loss0: 1.28614e-05, Loss_b: 1.26595e-05, Loss_f: 7.12017e-05, Loss_prev: 1.71508e-05
Iter: 2900, Loss: 2.06324e-04, Loss0: 2.11299e-05, Loss_b: 7.62745e-05, Loss_f: 7.37502e-05, Loss_prev: 3.51696e-05
Iter: 3000, Loss: 7.15109e-05, Loss0: 3.93255e-06, Loss_b: 3.17657e-07, Loss_f: 5.38062e-05, Loss_prev: 1.34545e-05
Iter: 3100, Loss: 1.41242e-04, Loss0: 1.51210e-05, Loss_b: 4.32033e-05, Loss_f: 6.49873e-05, Loss_prev: 1.79309e-05
Iter: 3200, Loss: 1.95718e-04, Loss0: 1.91523e-05, Loss_b: 7.77174e-05, Loss_f: 6.68966e-05, Loss_prev: 3.19520e-05
Iter: 3300, Loss: 8.85549e-05, Loss0: 7.27480e-06, Loss_b: 1.62728e-05, Loss_f: 5.47374e-05, Loss_prev: 1.02699e-05
Iter: 3400, Loss: 7.83451e-05, Loss0: 5.53628e-06, Loss_b: 9.24101e-06, Loss_f: 5.52292e-05, Loss_prev: 8.33860e-06
Iter: 3500, Loss: 1.58280e-04, Loss0: 1.81384e-05, Loss_b: 5.88906e-05, Loss_f: 6.40126e-05, Loss_prev: 1.72383e-05
Iter: 3600, Loss: 5.81835e-05, Loss0: 3.59632e-06, Loss_b: 2.87752e-07, Loss_f: 4.61929e-05, Loss_prev: 8.10654e-06
Iter: 3700, Loss: 9.30458e-05, Loss0: 7.21960e-06, Loss_b: 2.42543e-06, Loss_f: 7.59938e-05, Loss_prev: 7.40694e-06
Iter: 3800, Loss: 6.92817e-05, Loss0: 4.81291e-06, Loss_b: 2.50414e-07, Loss_f: 5.22273e-05, Loss_prev: 1.19911e-05
Iter: 3900, Loss: 1.63609e-04, Loss0: 1.69279e-05, Loss_b: 6.49394e-05, Loss_f: 5.67110e-05, Loss_prev: 2.50308e-05
Iter: 4000, Loss: 9.24171e-05, Loss0: 7.58906e-06, Loss_b: 1.05117e-05, Loss_f: 6.79563e-05, Loss_prev: 6.36008e-06
Iter: 4100, Loss: 5.51534e-05, Loss0: 3.32081e-06, Loss_b: 1.31458e-07, Loss_f: 4.58883e-05, Loss_prev: 5.81280e-06
Iter: 4200, Loss: 5.53397e-05, Loss0: 4.07624e-06, Loss_b: 3.30629e-06, Loss_f: 3.96194e-05, Loss_prev: 8.33769e-06
