Start Training:
Iter: 0, Loss: 2.33465e+01, Loss0: 2.29114e+01, Loss_b: 1.94716e-01, Loss_f: 2.40361e-01, Loss_prev: 0.00000e+00
Iter: 100, Loss: 8.94483e+00, Loss0: 8.63517e+00, Loss_b: 1.36133e-03, Loss_f: 3.08296e-01, Loss_prev: 0.00000e+00
Iter: 200, Loss: 5.85323e+00, Loss0: 5.64701e+00, Loss_b: 9.84380e-04, Loss_f: 2.05241e-01, Loss_prev: 0.00000e+00
Iter: 300, Loss: 3.86809e+00, Loss0: 3.64555e+00, Loss_b: 9.10487e-04, Loss_f: 2.21633e-01, Loss_prev: 0.00000e+00
Iter: 400, Loss: 3.16840e+00, Loss0: 2.93616e+00, Loss_b: 8.89596e-04, Loss_f: 2.31352e-01, Loss_prev: 0.00000e+00
Iter: 500, Loss: 2.67627e+00, Loss0: 2.41480e+00, Loss_b: 4.49283e-04, Loss_f: 2.61013e-01, Loss_prev: 0.00000e+00
Iter: 600, Loss: 2.73737e+00, Loss0: 2.52695e+00, Loss_b: 5.89278e-04, Loss_f: 2.09828e-01, Loss_prev: 0.00000e+00
Iter: 700, Loss: 2.26919e+00, Loss0: 2.12550e+00, Loss_b: 2.57068e-04, Loss_f: 1.43434e-01, Loss_prev: 0.00000e+00
Iter: 800, Loss: 3.43109e+00, Loss0: 2.42598e+00, Loss_b: 5.49500e-02, Loss_f: 9.50159e-01, Loss_prev: 0.00000e+00
Iter: 900, Loss: 3.35021e+00, Loss0: 2.30977e+00, Loss_b: 4.30408e-02, Loss_f: 9.97394e-01, Loss_prev: 0.00000e+00
Iter: 1000, Loss: 3.61667e+00, Loss0: 2.22215e+00, Loss_b: 7.50799e-03, Loss_f: 1.38701e+00, Loss_prev: 0.00000e+00
Iter: 1100, Loss: 2.96992e+00, Loss0: 1.96715e+00, Loss_b: 1.64325e-03, Loss_f: 1.00112e+00, Loss_prev: 0.00000e+00
Iter: 1200, Loss: 2.48411e+00, Loss0: 2.10236e+00, Loss_b: 1.17827e-03, Loss_f: 3.80572e-01, Loss_prev: 0.00000e+00
Iter: 1300, Loss: 2.37947e+00, Loss0: 2.11725e+00, Loss_b: 1.56830e-04, Loss_f: 2.62066e-01, Loss_prev: 0.00000e+00
Iter: 1400, Loss: 2.45754e+00, Loss0: 1.97721e+00, Loss_b: 6.74291e-03, Loss_f: 4.73588e-01, Loss_prev: 0.00000e+00
Iter: 1500, Loss: 5.58919e+00, Loss0: 1.51685e+00, Loss_b: 6.31664e-05, Loss_f: 4.07227e+00, Loss_prev: 0.00000e+00
Iter: 1600, Loss: 1.68410e+00, Loss0: 1.56185e+00, Loss_b: 2.78193e-04, Loss_f: 1.21963e-01, Loss_prev: 0.00000e+00
Iter: 1700, Loss: 1.76720e+00, Loss0: 1.65320e+00, Loss_b: 3.22253e-04, Loss_f: 1.13679e-01, Loss_prev: 0.00000e+00
Iter: 1800, Loss: 1.96509e+00, Loss0: 1.83322e+00, Loss_b: 3.01405e-04, Loss_f: 1.31571e-01, Loss_prev: 0.00000e+00
Iter: 1900, Loss: 3.22070e+00, Loss0: 2.03928e+00, Loss_b: 4.15770e-02, Loss_f: 1.13984e+00, Loss_prev: 0.00000e+00
Iter: 2000, Loss: 1.72017e+00, Loss0: 1.59994e+00, Loss_b: 3.24727e-04, Loss_f: 1.19906e-01, Loss_prev: 0.00000e+00
Iter: 2100, Loss: 1.97166e+00, Loss0: 1.79919e+00, Loss_b: 3.40413e-04, Loss_f: 1.72132e-01, Loss_prev: 0.00000e+00
Iter: 2200, Loss: 1.45653e+00, Loss0: 1.32258e+00, Loss_b: 1.25042e-04, Loss_f: 1.33825e-01, Loss_prev: 0.00000e+00
Iter: 2300, Loss: 1.43105e+00, Loss0: 1.30818e+00, Loss_b: 2.38294e-04, Loss_f: 1.22629e-01, Loss_prev: 0.00000e+00
Iter: 2400, Loss: 1.57709e+00, Loss0: 1.47264e+00, Loss_b: 2.10933e-04, Loss_f: 1.04238e-01, Loss_prev: 0.00000e+00
Iter: 2500, Loss: 1.56109e+00, Loss0: 1.44440e+00, Loss_b: 1.24233e-04, Loss_f: 1.16559e-01, Loss_prev: 0.00000e+00
Iter: 2600, Loss: 1.91342e+00, Loss0: 1.63602e+00, Loss_b: 6.82898e-03, Loss_f: 2.70565e-01, Loss_prev: 0.00000e+00
Iter: 2700, Loss: 1.35517e+00, Loss0: 1.22862e+00, Loss_b: 1.75885e-04, Loss_f: 1.26373e-01, Loss_prev: 0.00000e+00
Iter: 2800, Loss: 1.41451e+00, Loss0: 1.31029e+00, Loss_b: 2.28347e-04, Loss_f: 1.03988e-01, Loss_prev: 0.00000e+00
Iter: 2900, Loss: 1.47325e+00, Loss0: 1.36629e+00, Loss_b: 1.18219e-04, Loss_f: 1.06849e-01, Loss_prev: 0.00000e+00
Iter: 3000, Loss: 1.49426e+00, Loss0: 1.33467e+00, Loss_b: 1.18795e-04, Loss_f: 1.59471e-01, Loss_prev: 0.00000e+00
Iter: 3100, Loss: 1.69586e+00, Loss0: 1.40396e+00, Loss_b: 3.15298e-04, Loss_f: 2.91589e-01, Loss_prev: 0.00000e+00
Iter: 3200, Loss: 1.24542e+00, Loss0: 1.11737e+00, Loss_b: 1.52579e-04, Loss_f: 1.27899e-01, Loss_prev: 0.00000e+00
Iter: 3300, Loss: 1.31176e+00, Loss0: 1.20563e+00, Loss_b: 2.68215e-04, Loss_f: 1.05859e-01, Loss_prev: 0.00000e+00
Iter: 3400, Loss: 1.71246e+00, Loss0: 1.52184e+00, Loss_b: 9.11499e-03, Loss_f: 1.81507e-01, Loss_prev: 0.00000e+00
Iter: 3500, Loss: 1.23092e+00, Loss0: 1.10982e+00, Loss_b: 2.93602e-04, Loss_f: 1.20805e-01, Loss_prev: 0.00000e+00
Iter: 3600, Loss: 1.66031e+00, Loss0: 1.53222e+00, Loss_b: 8.96293e-04, Loss_f: 1.27194e-01, Loss_prev: 0.00000e+00
Iter: 3700, Loss: 1.21773e+00, Loss0: 1.09988e+00, Loss_b: 2.36889e-04, Loss_f: 1.17619e-01, Loss_prev: 0.00000e+00
Iter: 3800, Loss: 1.70633e+00, Loss0: 1.57544e+00, Loss_b: 2.46743e-04, Loss_f: 1.30639e-01, Loss_prev: 0.00000e+00
Iter: 3900, Loss: 1.21710e+00, Loss0: 1.10292e+00, Loss_b: 3.64309e-04, Loss_f: 1.13812e-01, Loss_prev: 0.00000e+00
Iter: 4000, Loss: 1.92642e+00, Loss0: 1.77584e+00, Loss_b: 1.83614e-03, Loss_f: 1.48745e-01, Loss_prev: 0.00000e+00
Iter: 4100, Loss: 1.27377e+00, Loss0: 1.16749e+00, Loss_b: 2.84791e-04, Loss_f: 1.05995e-01, Loss_prev: 0.00000e+00
Iter: 4200, Loss: 3.82160e+00, Loss0: 1.84463e+00, Loss_b: 1.37962e-02, Loss_f: 1.96317e+00, Loss_prev: 0.00000e+00
