Start Training:
Iter: 4800, Loss: 1.86117e-01, Loss_0: 1.45872e-01, Loss_b: 2.09394e-05, Loss_f: 4.02247e-02
Iter: 4900, Loss: 2.72784e-01, Loss_0: 1.64665e-01, Loss_b: 1.31492e-04, Loss_f: 1.07988e-01
Iter: 5000, Loss: 2.17407e-01, Loss_0: 1.43215e-01, Loss_b: 1.19305e-05, Loss_f: 7.41800e-02
Iter: 5100, Loss: 1.71489e-01, Loss_0: 1.35661e-01, Loss_b: 9.75832e-06, Loss_f: 3.58185e-02
Iter: 5200, Loss: 4.50552e-01, Loss_0: 1.22273e-01, Loss_b: 2.33426e-05, Loss_f: 3.28256e-01
Iter: 5300, Loss: 1.70122e-01, Loss_0: 1.37386e-01, Loss_b: 1.06555e-05, Loss_f: 3.27258e-02
Iter: 5400, Loss: 3.78638e-01, Loss_0: 1.31824e-01, Loss_b: 5.96416e-05, Loss_f: 2.46755e-01
Iter: 5500, Loss: 1.91585e-01, Loss_0: 1.44346e-01, Loss_b: 7.65160e-06, Loss_f: 4.72314e-02
Iter: 5600, Loss: 1.82190e-01, Loss_0: 1.29539e-01, Loss_b: 2.83511e-04, Loss_f: 5.23676e-02
Iter: 5700, Loss: 1.67181e-01, Loss_0: 1.16521e-01, Loss_b: 1.33829e-04, Loss_f: 5.05262e-02
Iter: 5800, Loss: 1.57157e-01, Loss_0: 1.21918e-01, Loss_b: 6.56588e-06, Loss_f: 3.52317e-02
Iter: 5900, Loss: 1.59525e-01, Loss_0: 1.26681e-01, Loss_b: 2.23481e-05, Loss_f: 3.28220e-02
Iter: 6000, Loss: 1.57371e-01, Loss_0: 1.11517e-01, Loss_b: 1.65175e-05, Loss_f: 4.58375e-02
Iter: 6100, Loss: 1.63413e-01, Loss_0: 1.05206e-01, Loss_b: 3.24408e-05, Loss_f: 5.81741e-02
Iter: 6200, Loss: 1.38709e-01, Loss_0: 1.03069e-01, Loss_b: 7.96038e-06, Loss_f: 3.56321e-02
Iter: 6300, Loss: 1.28113e-01, Loss_0: 9.63110e-02, Loss_b: 5.62771e-06, Loss_f: 3.17964e-02
Iter: 6400, Loss: 1.28849e-01, Loss_0: 1.00028e-01, Loss_b: 1.67467e-05, Loss_f: 2.88044e-02
Iter: 6500, Loss: 1.74513e-01, Loss_0: 1.11402e-01, Loss_b: 4.28572e-05, Loss_f: 6.30681e-02
Iter: 6600, Loss: 2.37585e-01, Loss_0: 1.16525e-01, Loss_b: 3.91650e-04, Loss_f: 1.20668e-01
Iter: 6700, Loss: 2.51336e-01, Loss_0: 8.68686e-02, Loss_b: 3.53938e-05, Loss_f: 1.64432e-01
Iter: 6800, Loss: 1.44673e-01, Loss_0: 8.93390e-02, Loss_b: 1.09585e-05, Loss_f: 5.53231e-02
Iter: 6900, Loss: 1.54460e-01, Loss_0: 9.52436e-02, Loss_b: 4.60631e-06, Loss_f: 5.92115e-02
Iter: 7000, Loss: 1.77986e-01, Loss_0: 1.09015e-01, Loss_b: 1.01405e-05, Loss_f: 6.89616e-02
Iter: 7100, Loss: 1.03524e-01, Loss_0: 7.99851e-02, Loss_b: 1.24606e-05, Loss_f: 2.35269e-02
Iter: 7200, Loss: 1.21308e-01, Loss_0: 9.59223e-02, Loss_b: 4.04332e-05, Loss_f: 2.53452e-02
Iter: 7300, Loss: 1.56451e-01, Loss_0: 9.71240e-02, Loss_b: 1.94824e-05, Loss_f: 5.93080e-02
Iter: 7400, Loss: 1.79915e-01, Loss_0: 1.02005e-01, Loss_b: 1.74962e-05, Loss_f: 7.78923e-02
Iter: 7500, Loss: 9.69711e-02, Loss_0: 7.46465e-02, Loss_b: 1.28695e-05, Loss_f: 2.23118e-02
Iter: 7600, Loss: 1.01900e-01, Loss_0: 7.90378e-02, Loss_b: 1.80179e-05, Loss_f: 2.28445e-02
Iter: 7700, Loss: 1.08506e-01, Loss_0: 7.19580e-02, Loss_b: 8.43056e-06, Loss_f: 3.65393e-02
Iter: 7800, Loss: 6.48566e-01, Loss_0: 7.38552e-02, Loss_b: 7.87079e-05, Loss_f: 5.74632e-01
Iter: 7900, Loss: 1.41807e-01, Loss_0: 7.93624e-02, Loss_b: 4.57339e-06, Loss_f: 6.24400e-02
Iter: 8000, Loss: 1.77236e-01, Loss_0: 7.79194e-02, Loss_b: 1.09666e-04, Loss_f: 9.92069e-02
Iter: 8100, Loss: 1.04712e-01, Loss_0: 8.43881e-02, Loss_b: 4.48503e-06, Loss_f: 2.03192e-02
Iter: 8200, Loss: 9.52897e-02, Loss_0: 7.16865e-02, Loss_b: 2.01040e-05, Loss_f: 2.35832e-02
Iter: 8300, Loss: 9.52874e-02, Loss_0: 7.30971e-02, Loss_b: 2.75004e-05, Loss_f: 2.21629e-02
Iter: 8400, Loss: 8.94956e-02, Loss_0: 6.94144e-02, Loss_b: 3.66938e-05, Loss_f: 2.00445e-02
Iter: 8500, Loss: 8.15964e-02, Loss_0: 6.22158e-02, Loss_b: 2.13478e-05, Loss_f: 1.93593e-02
Iter: 8600, Loss: 9.15683e-02, Loss_0: 6.14276e-02, Loss_b: 1.93450e-05, Loss_f: 3.01214e-02
Iter: 8700, Loss: 1.17954e-01, Loss_0: 7.43789e-02, Loss_b: 2.76947e-04, Loss_f: 4.32981e-02
Iter: 8800, Loss: 1.28855e-01, Loss_0: 8.06153e-02, Loss_b: 7.25941e-06, Loss_f: 4.82323e-02
