Start Training:
Iter: 0, Loss: 3.47785e+01, Loss0: 2.33734e+01, Loss_b: 3.51624e-06, Loss_f: 2.42170e-03, Loss_prev: 1.14027e+01
Iter: 100, Loss: 4.01909e+01, Loss0: 2.04351e+01, Loss_b: 5.82277e-02, Loss_f: 9.41603e+00, Loss_prev: 1.02815e+01
Iter: 200, Loss: 2.94762e+01, Loss0: 1.78469e+01, Loss_b: 6.50019e-03, Loss_f: 3.84364e+00, Loss_prev: 7.77923e+00
Iter: 300, Loss: 2.45922e+01, Loss0: 1.48626e+01, Loss_b: 1.99961e-03, Loss_f: 2.94250e+00, Loss_prev: 6.78507e+00
Iter: 400, Loss: 2.26881e+01, Loss0: 1.37751e+01, Loss_b: 2.04680e-03, Loss_f: 2.51473e+00, Loss_prev: 6.39622e+00
Iter: 500, Loss: 2.14052e+01, Loss0: 1.30553e+01, Loss_b: 1.25824e-03, Loss_f: 2.35936e+00, Loss_prev: 5.98930e+00
Iter: 600, Loss: 2.02049e+01, Loss0: 1.24187e+01, Loss_b: 3.65383e-04, Loss_f: 2.30975e+00, Loss_prev: 5.47609e+00
Iter: 700, Loss: 1.85830e+01, Loss0: 1.16808e+01, Loss_b: 2.08462e-03, Loss_f: 2.27988e+00, Loss_prev: 4.62027e+00
Iter: 800, Loss: 1.26283e+01, Loss0: 7.93205e+00, Loss_b: 1.86132e-02, Loss_f: 2.11280e+00, Loss_prev: 2.56479e+00
Iter: 900, Loss: 6.65902e+00, Loss0: 3.72325e+00, Loss_b: 2.01434e-03, Loss_f: 1.43022e+00, Loss_prev: 1.50353e+00
Iter: 1000, Loss: 5.11256e+00, Loss0: 2.81070e+00, Loss_b: 3.68707e-04, Loss_f: 9.69185e-01, Loss_prev: 1.33231e+00
Iter: 1100, Loss: 4.45414e+00, Loss0: 2.38060e+00, Loss_b: 5.88984e-04, Loss_f: 8.05368e-01, Loss_prev: 1.26758e+00
Iter: 1200, Loss: 4.01823e+00, Loss0: 2.07704e+00, Loss_b: 5.20589e-04, Loss_f: 7.27228e-01, Loss_prev: 1.21343e+00
Iter: 1300, Loss: 3.64911e+00, Loss0: 1.83111e+00, Loss_b: 4.23913e-04, Loss_f: 6.52724e-01, Loss_prev: 1.16486e+00
Iter: 1400, Loss: 3.35957e+00, Loss0: 1.62511e+00, Loss_b: 2.80363e-04, Loss_f: 6.10194e-01, Loss_prev: 1.12399e+00
Iter: 1500, Loss: 3.11613e+00, Loss0: 1.44888e+00, Loss_b: 1.60972e-04, Loss_f: 5.77645e-01, Loss_prev: 1.08943e+00
Iter: 1600, Loss: 2.90436e+00, Loss0: 1.29242e+00, Loss_b: 6.29474e-05, Loss_f: 5.51429e-01, Loss_prev: 1.06045e+00
Iter: 1700, Loss: 2.73022e+00, Loss0: 1.14945e+00, Loss_b: 3.48043e-05, Loss_f: 5.44043e-01, Loss_prev: 1.03669e+00
Iter: 1800, Loss: 2.54503e+00, Loss0: 1.02716e+00, Loss_b: 4.40017e-05, Loss_f: 5.07862e-01, Loss_prev: 1.00996e+00
Iter: 1900, Loss: 2.40777e+00, Loss0: 9.24402e-01, Loss_b: 7.41292e-05, Loss_f: 4.90712e-01, Loss_prev: 9.92584e-01
Iter: 2000, Loss: 2.29486e+00, Loss0: 8.38548e-01, Loss_b: 1.44603e-04, Loss_f: 4.76240e-01, Loss_prev: 9.79923e-01
Iter: 2100, Loss: 2.21307e+00, Loss0: 7.61721e-01, Loss_b: 2.83478e-04, Loss_f: 4.76994e-01, Loss_prev: 9.74071e-01
Iter: 2200, Loss: 2.09852e+00, Loss0: 6.88412e-01, Loss_b: 5.67104e-04, Loss_f: 4.49867e-01, Loss_prev: 9.59674e-01
Iter: 2300, Loss: 1.98030e+00, Loss0: 5.89316e-01, Loss_b: 1.24506e-03, Loss_f: 4.39304e-01, Loss_prev: 9.50439e-01
Iter: 2400, Loss: 1.90376e+00, Loss0: 4.77343e-01, Loss_b: 1.69602e-03, Loss_f: 4.95094e-01, Loss_prev: 9.29627e-01
Iter: 2500, Loss: 1.74064e+00, Loss0: 4.16499e-01, Loss_b: 7.59160e-04, Loss_f: 4.09018e-01, Loss_prev: 9.14367e-01
Iter: 2600, Loss: 1.66893e+00, Loss0: 3.79811e-01, Loss_b: 3.53628e-04, Loss_f: 3.85469e-01, Loss_prev: 9.03299e-01
Iter: 2700, Loss: 1.60174e+00, Loss0: 3.43914e-01, Loss_b: 2.09295e-04, Loss_f: 3.67002e-01, Loss_prev: 8.90616e-01
Iter: 2800, Loss: 1.54479e+00, Loss0: 3.15307e-01, Loss_b: 1.65017e-04, Loss_f: 3.47076e-01, Loss_prev: 8.82243e-01
Iter: 2900, Loss: 1.49727e+00, Loss0: 2.88906e-01, Loss_b: 2.07088e-04, Loss_f: 3.30243e-01, Loss_prev: 8.77918e-01
Iter: 3000, Loss: 1.44285e+00, Loss0: 2.64337e-01, Loss_b: 1.58374e-04, Loss_f: 3.15853e-01, Loss_prev: 8.62499e-01
Iter: 3100, Loss: 1.39992e+00, Loss0: 2.42959e-01, Loss_b: 2.07427e-04, Loss_f: 3.01867e-01, Loss_prev: 8.54885e-01
Iter: 3200, Loss: 1.55779e+00, Loss0: 2.28281e-01, Loss_b: 3.66904e-04, Loss_f: 4.85582e-01, Loss_prev: 8.43559e-01
Iter: 3300, Loss: 1.31507e+00, Loss0: 2.04171e-01, Loss_b: 2.25707e-04, Loss_f: 2.77967e-01, Loss_prev: 8.32710e-01
Iter: 3400, Loss: 1.27674e+00, Loss0: 1.87007e-01, Loss_b: 2.65711e-04, Loss_f: 2.66167e-01, Loss_prev: 8.23299e-01
Iter: 3500, Loss: 1.29114e+00, Loss0: 1.68076e-01, Loss_b: 1.20573e-04, Loss_f: 2.98770e-01, Loss_prev: 8.24174e-01
