Start Training:
Iter: 4800, Loss: 7.03755e-03, Loss_0: 6.76334e-03, Loss_b: 6.59797e-05, Loss_f: 2.08234e-04
Iter: 4900, Loss: 7.01148e-03, Loss_0: 6.75347e-03, Loss_b: 6.52144e-05, Loss_f: 1.92796e-04
Iter: 5000, Loss: 6.98648e-03, Loss_0: 6.74298e-03, Loss_b: 6.44349e-05, Loss_f: 1.79064e-04
Iter: 5100, Loss: 6.62733e-03, Loss_0: 6.48627e-03, Loss_b: 4.37355e-05, Loss_f: 9.73184e-05
Iter: 5200, Loss: 4.93953e-03, Loss_0: 4.35483e-03, Loss_b: 2.05699e-05, Loss_f: 5.64134e-04
Iter: 5300, Loss: 3.91862e-03, Loss_0: 3.35885e-03, Loss_b: 3.87636e-07, Loss_f: 5.59384e-04
Iter: 5400, Loss: 3.57072e-03, Loss_0: 3.25792e-03, Loss_b: 1.81935e-06, Loss_f: 3.10981e-04
Iter: 5500, Loss: 3.44015e-03, Loss_0: 3.27437e-03, Loss_b: 3.41479e-07, Loss_f: 1.65439e-04
Iter: 5600, Loss: 3.36976e-03, Loss_0: 3.26224e-03, Loss_b: 6.92001e-08, Loss_f: 1.07450e-04
Iter: 5700, Loss: 3.34064e-03, Loss_0: 3.26924e-03, Loss_b: 2.55919e-07, Loss_f: 7.11409e-05
Iter: 5800, Loss: 3.31429e-03, Loss_0: 3.25607e-03, Loss_b: 1.42764e-08, Loss_f: 5.82039e-05
Iter: 5900, Loss: 3.29106e-03, Loss_0: 3.24611e-03, Loss_b: 7.39194e-08, Loss_f: 4.48727e-05
Iter: 6000, Loss: 3.20986e-03, Loss_0: 3.18024e-03, Loss_b: 6.29704e-07, Loss_f: 2.89933e-05
Iter: 6100, Loss: 3.17100e-03, Loss_0: 3.11799e-03, Loss_b: 2.67530e-07, Loss_f: 5.27369e-05
Iter: 6200, Loss: 3.11205e-03, Loss_0: 3.00890e-03, Loss_b: 1.03858e-06, Loss_f: 1.02104e-04
Iter: 6300, Loss: 3.29500e-03, Loss_0: 2.89959e-03, Loss_b: 5.80928e-06, Loss_f: 3.89606e-04
Iter: 6400, Loss: 2.88060e-03, Loss_0: 2.80161e-03, Loss_b: 2.76458e-06, Loss_f: 7.62264e-05
Iter: 6500, Loss: 2.83739e-03, Loss_0: 2.78140e-03, Loss_b: 1.20620e-06, Loss_f: 5.47850e-05
Iter: 6600, Loss: 2.83032e-03, Loss_0: 2.77450e-03, Loss_b: 1.07844e-06, Loss_f: 5.47429e-05
Iter: 6700, Loss: 2.82618e-03, Loss_0: 2.78541e-03, Loss_b: 8.85290e-07, Loss_f: 3.98808e-05
Iter: 6800, Loss: 2.82051e-03, Loss_0: 2.76611e-03, Loss_b: 8.94016e-07, Loss_f: 5.35056e-05
Iter: 6900, Loss: 2.81001e-03, Loss_0: 2.75303e-03, Loss_b: 7.73461e-07, Loss_f: 5.62081e-05
Iter: 7000, Loss: 2.80425e-03, Loss_0: 2.74598e-03, Loss_b: 1.13991e-06, Loss_f: 5.71252e-05
Iter: 7100, Loss: 2.80206e-03, Loss_0: 2.73566e-03, Loss_b: 1.25476e-06, Loss_f: 6.51459e-05
Iter: 7200, Loss: 2.78487e-03, Loss_0: 2.70061e-03, Loss_b: 4.18141e-07, Loss_f: 8.38461e-05
Iter: 7300, Loss: 2.75938e-03, Loss_0: 2.67255e-03, Loss_b: 6.49088e-07, Loss_f: 8.61765e-05
Iter: 7400, Loss: 2.74427e-03, Loss_0: 2.59759e-03, Loss_b: 6.65787e-07, Loss_f: 1.46012e-04
Iter: 7500, Loss: 2.68709e-03, Loss_0: 2.53751e-03, Loss_b: 5.93171e-07, Loss_f: 1.48984e-04
Iter: 7600, Loss: 2.66146e-03, Loss_0: 2.53528e-03, Loss_b: 9.60821e-07, Loss_f: 1.25217e-04
Iter: 7700, Loss: 2.62142e-03, Loss_0: 2.49638e-03, Loss_b: 4.67155e-07, Loss_f: 1.24577e-04
Iter: 7800, Loss: 2.54807e-03, Loss_0: 2.41049e-03, Loss_b: 5.89610e-07, Loss_f: 1.36995e-04
Iter: 7900, Loss: 2.53424e-03, Loss_0: 2.39939e-03, Loss_b: 2.93903e-07, Loss_f: 1.34554e-04
Iter: 8000, Loss: 2.51884e-03, Loss_0: 2.36522e-03, Loss_b: 5.08443e-07, Loss_f: 1.53115e-04
Iter: 8100, Loss: 2.50197e-03, Loss_0: 2.34016e-03, Loss_b: 5.63128e-07, Loss_f: 1.61240e-04
Iter: 8200, Loss: 2.48241e-03, Loss_0: 2.32546e-03, Loss_b: 1.28280e-06, Loss_f: 1.55667e-04
Iter: 8300, Loss: 2.45944e-03, Loss_0: 2.31931e-03, Loss_b: 8.85499e-07, Loss_f: 1.39246e-04
Iter: 8400, Loss: 2.43919e-03, Loss_0: 2.29958e-03, Loss_b: 8.20094e-07, Loss_f: 1.38799e-04
Iter: 8500, Loss: 2.41000e-03, Loss_0: 2.23926e-03, Loss_b: 1.85965e-06, Loss_f: 1.68874e-04
Iter: 8600, Loss: 2.39061e-03, Loss_0: 2.21466e-03, Loss_b: 2.15911e-06, Loss_f: 1.73786e-04
Iter: 8700, Loss: 2.36509e-03, Loss_0: 2.22461e-03, Loss_b: 1.38436e-06, Loss_f: 1.39094e-04
