Start Training:
Iter: 3900, Loss: 1.60487e+00, Loss_0: 1.56715e+00, Loss_1: 3.14532e-02, Loss_b: 1.47255e-06, Loss_f: 6.25864e-03
Iter: 4000, Loss: 1.60615e+00, Loss_0: 1.56715e+00, Loss_1: 3.09917e-02, Loss_b: 6.29834e-05, Loss_f: 7.94247e-03
Iter: 4100, Loss: 1.60497e+00, Loss_0: 1.56715e+00, Loss_1: 3.05699e-02, Loss_b: 4.82471e-05, Loss_f: 7.20026e-03
Iter: 4200, Loss: 1.60901e+00, Loss_0: 1.56715e+00, Loss_1: 3.06359e-02, Loss_b: 8.09018e-06, Loss_f: 1.12147e-02
Iter: 4300, Loss: 1.60594e+00, Loss_0: 1.56716e+00, Loss_1: 2.84271e-02, Loss_b: 1.55166e-06, Loss_f: 1.03453e-02
Iter: 4400, Loss: 1.60279e+00, Loss_0: 1.56715e+00, Loss_1: 2.74803e-02, Loss_b: 9.10054e-06, Loss_f: 8.14178e-03
Iter: 4500, Loss: 1.60059e+00, Loss_0: 1.56715e+00, Loss_1: 2.73243e-02, Loss_b: 5.95075e-06, Loss_f: 6.10407e-03
Iter: 4600, Loss: 1.59989e+00, Loss_0: 1.56715e+00, Loss_1: 2.69168e-02, Loss_b: 9.10960e-06, Loss_f: 5.81105e-03
Iter: 4700, Loss: 1.60731e+00, Loss_0: 1.56716e+00, Loss_1: 2.65428e-02, Loss_b: 8.22371e-05, Loss_f: 1.35243e-02
Iter: 4800, Loss: 1.60313e+00, Loss_0: 1.56717e+00, Loss_1: 2.70796e-02, Loss_b: 2.49866e-04, Loss_f: 8.62900e-03
Iter: 4900, Loss: 1.60133e+00, Loss_0: 1.56715e+00, Loss_1: 2.47296e-02, Loss_b: 3.21530e-05, Loss_f: 9.41565e-03
Iter: 5000, Loss: 1.59622e+00, Loss_0: 1.56715e+00, Loss_1: 2.44115e-02, Loss_b: 3.85022e-06, Loss_f: 4.65157e-03
Iter: 5100, Loss: 1.59449e+00, Loss_0: 1.56715e+00, Loss_1: 2.35560e-02, Loss_b: 4.21976e-06, Loss_f: 3.78268e-03
Iter: 5200, Loss: 1.59927e+00, Loss_0: 1.56715e+00, Loss_1: 2.35345e-02, Loss_b: 5.85163e-05, Loss_f: 8.52570e-03
Iter: 5300, Loss: 1.59565e+00, Loss_0: 1.56715e+00, Loss_1: 2.28205e-02, Loss_b: 5.05076e-05, Loss_f: 5.63037e-03
Iter: 5400, Loss: 1.59616e+00, Loss_0: 1.56715e+00, Loss_1: 2.21744e-02, Loss_b: 8.55522e-06, Loss_f: 6.82157e-03
Iter: 5500, Loss: 1.60414e+00, Loss_0: 1.56715e+00, Loss_1: 2.26210e-02, Loss_b: 1.10307e-04, Loss_f: 1.42509e-02
Iter: 5600, Loss: 1.61573e+00, Loss_0: 1.56716e+00, Loss_1: 2.23751e-02, Loss_b: 2.52674e-04, Loss_f: 2.59421e-02
Iter: 5700, Loss: 1.59646e+00, Loss_0: 1.56715e+00, Loss_1: 2.10512e-02, Loss_b: 3.14484e-05, Loss_f: 8.22887e-03
Iter: 5800, Loss: 1.59116e+00, Loss_0: 1.56715e+00, Loss_1: 2.05218e-02, Loss_b: 1.86322e-05, Loss_f: 3.46823e-03
Iter: 5900, Loss: 1.59977e+00, Loss_0: 1.56716e+00, Loss_1: 2.10577e-02, Loss_b: 7.83211e-07, Loss_f: 1.15556e-02
Iter: 6000, Loss: 1.59006e+00, Loss_0: 1.56715e+00, Loss_1: 1.96906e-02, Loss_b: 4.39591e-06, Loss_f: 3.21169e-03
Iter: 6100, Loss: 1.59423e+00, Loss_0: 1.56715e+00, Loss_1: 1.93315e-02, Loss_b: 5.24454e-06, Loss_f: 7.73603e-03
Iter: 6200, Loss: 1.58983e+00, Loss_0: 1.56715e+00, Loss_1: 1.91693e-02, Loss_b: 1.07112e-05, Loss_f: 3.49578e-03
Iter: 6300, Loss: 1.60433e+00, Loss_0: 1.56715e+00, Loss_1: 1.98676e-02, Loss_b: 1.09809e-04, Loss_f: 1.72059e-02
Iter: 6400, Loss: 1.59258e+00, Loss_0: 1.56715e+00, Loss_1: 1.83292e-02, Loss_b: 8.42994e-06, Loss_f: 7.08708e-03
Iter: 6500, Loss: 1.58882e+00, Loss_0: 1.56715e+00, Loss_1: 1.81764e-02, Loss_b: 3.12502e-05, Loss_f: 3.46111e-03
Iter: 6600, Loss: 1.58898e+00, Loss_0: 1.56716e+00, Loss_1: 1.79252e-02, Loss_b: 7.29107e-05, Loss_f: 3.82500e-03
Iter: 6700, Loss: 1.58909e+00, Loss_0: 1.56716e+00, Loss_1: 1.78587e-02, Loss_b: 2.57354e-06, Loss_f: 4.06900e-03
Iter: 6800, Loss: 1.59317e+00, Loss_0: 1.56715e+00, Loss_1: 1.74141e-02, Loss_b: 1.33940e-05, Loss_f: 8.58553e-03
Iter: 6900, Loss: 1.58927e+00, Loss_0: 1.56716e+00, Loss_1: 1.67930e-02, Loss_b: 1.68600e-05, Loss_f: 5.30003e-03
Iter: 7000, Loss: 1.58771e+00, Loss_0: 1.56715e+00, Loss_1: 1.66071e-02, Loss_b: 5.65710e-06, Loss_f: 3.94653e-03
Iter: 7100, Loss: 1.58612e+00, Loss_0: 1.56715e+00, Loss_1: 1.62302e-02, Loss_b: 8.51343e-06, Loss_f: 2.72777e-03
Iter: 7200, Loss: 1.60443e+00, Loss_0: 1.56716e+00, Loss_1: 1.65592e-02, Loss_b: 2.81740e-04, Loss_f: 2.04306e-02
Iter: 7300, Loss: 1.59769e+00, Loss_0: 1.56715e+00, Loss_1: 1.57283e-02, Loss_b: 4.76174e-05, Loss_f: 1.47619e-02
Iter: 7400, Loss: 1.58717e+00, Loss_0: 1.56716e+00, Loss_1: 1.54832e-02, Loss_b: 5.69388e-05, Loss_f: 4.47290e-03
Iter: 7500, Loss: 1.58643e+00, Loss_0: 1.56715e+00, Loss_1: 1.52539e-02, Loss_b: 1.60104e-05, Loss_f: 4.00796e-03
Iter: 7600, Loss: 1.58597e+00, Loss_0: 1.56715e+00, Loss_1: 1.48946e-02, Loss_b: 7.05759e-06, Loss_f: 3.91225e-03
Iter: 7700, Loss: 1.58663e+00, Loss_0: 1.56715e+00, Loss_1: 1.48458e-02, Loss_b: 6.38491e-05, Loss_f: 4.56939e-03
Iter: 7800, Loss: 1.60376e+00, Loss_0: 1.56716e+00, Loss_1: 1.57828e-02, Loss_b: 2.99398e-05, Loss_f: 2.07904e-02
Iter: 7900, Loss: 1.58657e+00, Loss_0: 1.56715e+00, Loss_1: 1.45398e-02, Loss_b: 3.16851e-05, Loss_f: 4.84414e-03
Iter: 8000, Loss: 1.59333e+00, Loss_0: 1.56716e+00, Loss_1: 1.42187e-02, Loss_b: 8.68867e-05, Loss_f: 1.18738e-02
Iter: 8100, Loss: 1.58412e+00, Loss_0: 1.56715e+00, Loss_1: 1.41293e-02, Loss_b: 3.06334e-05, Loss_f: 2.80398e-03
Iter: 8200, Loss: 1.59134e+00, Loss_0: 1.56715e+00, Loss_1: 1.37227e-02, Loss_b: 4.99558e-05, Loss_f: 1.04126e-02
Iter: 8300, Loss: 1.58316e+00, Loss_0: 1.56715e+00, Loss_1: 1.35659e-02, Loss_b: 1.78497e-05, Loss_f: 2.42096e-03
Iter: 8400, Loss: 1.58428e+00, Loss_0: 1.56715e+00, Loss_1: 1.32884e-02, Loss_b: 7.56197e-06, Loss_f: 3.83694e-03
Iter: 8500, Loss: 1.58575e+00, Loss_0: 1.56715e+00, Loss_1: 1.33014e-02, Loss_b: 1.82435e-05, Loss_f: 5.27878e-03
Iter: 8600, Loss: 1.58362e+00, Loss_0: 1.56715e+00, Loss_1: 1.29501e-02, Loss_b: 8.23589e-05, Loss_f: 3.43299e-03
Iter: 8700, Loss: 1.58354e+00, Loss_0: 1.56715e+00, Loss_1: 1.27104e-02, Loss_b: 8.74311e-06, Loss_f: 3.66584e-03
Iter: 8800, Loss: 1.60933e+00, Loss_0: 1.56715e+00, Loss_1: 1.34031e-02, Loss_b: 1.80206e-04, Loss_f: 2.85956e-02
Iter: 8900, Loss: 1.58862e+00, Loss_0: 1.56715e+00, Loss_1: 1.26633e-02, Loss_b: 2.85895e-05, Loss_f: 8.77228e-03
Iter: 9000, Loss: 1.59353e+00, Loss_0: 1.56715e+00, Loss_1: 1.26696e-02, Loss_b: 3.32865e-06, Loss_f: 1.37031e-02
Iter: 9100, Loss: 1.58123e+00, Loss_0: 1.56715e+00, Loss_1: 1.21420e-02, Loss_b: 6.65936e-06, Loss_f: 1.92896e-03
Iter: 9200, Loss: 1.58130e+00, Loss_0: 1.56715e+00, Loss_1: 1.20329e-02, Loss_b: 9.08201e-06, Loss_f: 2.10981e-03
Iter: 9300, Loss: 1.59946e+00, Loss_0: 1.56716e+00, Loss_1: 1.25675e-02, Loss_b: 4.44133e-04, Loss_f: 1.92797e-02
Iter: 9400, Loss: 1.58071e+00, Loss_0: 1.56715e+00, Loss_1: 1.17169e-02, Loss_b: 4.99743e-06, Loss_f: 1.83313e-03
Iter: 9500, Loss: 1.58940e+00, Loss_0: 1.56716e+00, Loss_1: 1.15890e-02, Loss_b: 5.99538e-05, Loss_f: 1.05922e-02
Iter: 9600, Loss: 1.58162e+00, Loss_0: 1.56715e+00, Loss_1: 1.16451e-02, Loss_b: 4.94103e-06, Loss_f: 2.81343e-03
Iter: 9700, Loss: 1.58547e+00, Loss_0: 1.56715e+00, Loss_1: 1.18785e-02, Loss_b: 3.22652e-05, Loss_f: 6.40878e-03
