Start Training:
Iter: 3900, Loss: 5.67704e-01, Loss0: 7.26445e-02, Loss_b: 2.68062e-06, Loss_f: 1.74083e-01, Loss_prev: 3.20974e-01
Iter: 4000, Loss: 5.11384e-01, Loss0: 7.89791e-02, Loss_b: 3.51922e-05, Loss_f: 1.03687e-01, Loss_prev: 3.28683e-01
Iter: 4100, Loss: 4.83004e-01, Loss0: 6.55928e-02, Loss_b: 6.54151e-06, Loss_f: 1.03381e-01, Loss_prev: 3.14024e-01
Iter: 4200, Loss: 4.87869e-01, Loss0: 6.94738e-02, Loss_b: 1.00939e-05, Loss_f: 9.97691e-02, Loss_prev: 3.18616e-01
Iter: 4300, Loss: 4.68317e-01, Loss0: 5.94351e-02, Loss_b: 1.93820e-05, Loss_f: 1.02868e-01, Loss_prev: 3.05995e-01
Iter: 4400, Loss: 1.60325e+00, Loss0: 5.94947e-02, Loss_b: 2.76456e-05, Loss_f: 1.24074e+00, Loss_prev: 3.02984e-01
Iter: 4500, Loss: 4.55363e-01, Loss0: 5.72223e-02, Loss_b: 2.65346e-05, Loss_f: 9.67058e-02, Loss_prev: 3.01408e-01
Iter: 4600, Loss: 4.66600e-01, Loss0: 6.53538e-02, Loss_b: 2.03589e-05, Loss_f: 9.18567e-02, Loss_prev: 3.09369e-01
Iter: 4700, Loss: 4.39400e-01, Loss0: 5.19176e-02, Loss_b: 4.68181e-05, Loss_f: 9.51538e-02, Loss_prev: 2.92282e-01
Iter: 4800, Loss: 4.34322e-01, Loss0: 5.06948e-02, Loss_b: 5.34233e-05, Loss_f: 9.37129e-02, Loss_prev: 2.89861e-01
Iter: 4900, Loss: 4.47891e-01, Loss0: 6.06103e-02, Loss_b: 3.55631e-05, Loss_f: 8.75246e-02, Loss_prev: 2.99721e-01
Iter: 5000, Loss: 4.20852e-01, Loss0: 4.74135e-02, Loss_b: 7.14443e-05, Loss_f: 9.22065e-02, Loss_prev: 2.81161e-01
Iter: 5100, Loss: 4.51169e-01, Loss0: 6.56755e-02, Loss_b: 5.15209e-05, Loss_f: 8.49332e-02, Loss_prev: 3.00508e-01
Iter: 5200, Loss: 4.10526e-01, Loss0: 4.61743e-02, Loss_b: 9.26176e-05, Loss_f: 8.95457e-02, Loss_prev: 2.74714e-01
Iter: 5300, Loss: 4.74715e-01, Loss0: 7.49042e-02, Loss_b: 1.48654e-04, Loss_f: 9.48037e-02, Loss_prev: 3.04859e-01
Iter: 5400, Loss: 3.99735e-01, Loss0: 4.61490e-02, Loss_b: 1.15567e-04, Loss_f: 8.52570e-02, Loss_prev: 2.68214e-01
Iter: 5500, Loss: 4.40453e-01, Loss0: 4.31937e-02, Loss_b: 1.28410e-04, Loss_f: 1.36048e-01, Loss_prev: 2.61082e-01
Iter: 5600, Loss: 3.84796e-01, Loss0: 4.32605e-02, Loss_b: 1.15034e-04, Loss_f: 8.58611e-02, Loss_prev: 2.55560e-01
Iter: 5700, Loss: 4.16693e-01, Loss0: 6.14264e-02, Loss_b: 6.74975e-05, Loss_f: 8.07945e-02, Loss_prev: 2.74404e-01
Iter: 5800, Loss: 3.74059e-01, Loss0: 4.08108e-02, Loss_b: 1.42905e-04, Loss_f: 8.69365e-02, Loss_prev: 2.46169e-01
Iter: 5900, Loss: 4.05773e-01, Loss0: 5.88789e-02, Loss_b: 6.85956e-05, Loss_f: 7.98494e-02, Loss_prev: 2.66976e-01
Iter: 6000, Loss: 3.61879e-01, Loss0: 3.88692e-02, Loss_b: 1.35550e-04, Loss_f: 8.58181e-02, Loss_prev: 2.37056e-01
Iter: 6100, Loss: 4.40327e-01, Loss0: 5.15490e-02, Loss_b: 7.54168e-04, Loss_f: 1.53275e-01, Loss_prev: 2.34749e-01
Iter: 6200, Loss: 3.52105e-01, Loss0: 3.86172e-02, Loss_b: 7.41184e-05, Loss_f: 8.51769e-02, Loss_prev: 2.28236e-01
Iter: 6300, Loss: 3.86353e-01, Loss0: 5.48447e-02, Loss_b: 3.11252e-05, Loss_f: 8.01004e-02, Loss_prev: 2.51377e-01
Iter: 6400, Loss: 3.38383e-01, Loss0: 3.52785e-02, Loss_b: 4.94881e-05, Loss_f: 8.44259e-02, Loss_prev: 2.18630e-01
Iter: 6500, Loss: 3.53939e-01, Loss0: 4.24008e-02, Loss_b: 3.22892e-05, Loss_f: 8.18276e-02, Loss_prev: 2.29678e-01
Iter: 6600, Loss: 3.26735e-01, Loss0: 3.31895e-02, Loss_b: 3.48772e-05, Loss_f: 8.49950e-02, Loss_prev: 2.08516e-01
Iter: 6700, Loss: 3.63958e-01, Loss0: 4.76650e-02, Loss_b: 1.16002e-05, Loss_f: 7.81684e-02, Loss_prev: 2.38113e-01
Iter: 6800, Loss: 3.20095e-01, Loss0: 3.20723e-02, Loss_b: 1.80239e-05, Loss_f: 8.31678e-02, Loss_prev: 2.04836e-01
Iter: 6900, Loss: 3.60892e-01, Loss0: 4.91136e-02, Loss_b: 2.63390e-05, Loss_f: 7.77433e-02, Loss_prev: 2.34009e-01
Iter: 7000, Loss: 3.11923e-01, Loss0: 3.14259e-02, Loss_b: 1.54600e-05, Loss_f: 8.24405e-02, Loss_prev: 1.98041e-01
Iter: 7100, Loss: 3.97035e-01, Loss0: 6.15856e-02, Loss_b: 1.61203e-04, Loss_f: 8.03514e-02, Loss_prev: 2.54936e-01
Iter: 7200, Loss: 3.05385e-01, Loss0: 3.04944e-02, Loss_b: 9.98761e-06, Loss_f: 8.02326e-02, Loss_prev: 1.94648e-01
Iter: 7300, Loss: 5.00398e-01, Loss0: 7.28634e-02, Loss_b: 3.16280e-04, Loss_f: 1.65616e-01, Loss_prev: 2.61602e-01
Iter: 7400, Loss: 2.96912e-01, Loss0: 2.99910e-02, Loss_b: 1.14435e-05, Loss_f: 7.93988e-02, Loss_prev: 1.87510e-01
Iter: 7500, Loss: 4.16271e-01, Loss0: 6.13631e-02, Loss_b: 1.99229e-04, Loss_f: 1.06722e-01, Loss_prev: 2.47987e-01
Iter: 7600, Loss: 2.82882e-01, Loss0: 2.73752e-02, Loss_b: 9.32346e-06, Loss_f: 7.74573e-02, Loss_prev: 1.78041e-01
Iter: 7700, Loss: 3.30988e-01, Loss0: 4.48870e-02, Loss_b: 8.99045e-05, Loss_f: 7.46987e-02, Loss_prev: 2.11313e-01
Iter: 7800, Loss: 2.68849e-01, Loss0: 2.54409e-02, Loss_b: 8.64557e-06, Loss_f: 7.69423e-02, Loss_prev: 1.66457e-01
Iter: 7900, Loss: 2.77069e-01, Loss0: 2.78251e-02, Loss_b: 1.65168e-05, Loss_f: 7.26675e-02, Loss_prev: 1.76560e-01
Iter: 8000, Loss: 4.56605e-01, Loss0: 5.00488e-02, Loss_b: 4.48701e-04, Loss_f: 2.00150e-01, Loss_prev: 2.05958e-01
Iter: 8100, Loss: 2.58373e-01, Loss0: 2.44948e-02, Loss_b: 6.92697e-06, Loss_f: 7.45740e-02, Loss_prev: 1.59297e-01
Iter: 8200, Loss: 2.63735e-01, Loss0: 2.70947e-02, Loss_b: 1.48692e-05, Loss_f: 6.91828e-02, Loss_prev: 1.67443e-01
Iter: 8300, Loss: 3.24090e-01, Loss0: 4.20743e-02, Loss_b: 2.97800e-04, Loss_f: 8.65794e-02, Loss_prev: 1.95138e-01
Iter: 8400, Loss: 2.42298e-01, Loss0: 2.23879e-02, Loss_b: 4.98976e-06, Loss_f: 7.29404e-02, Loss_prev: 1.46965e-01
Iter: 8500, Loss: 2.50590e-01, Loss0: 2.45569e-02, Loss_b: 9.50617e-06, Loss_f: 6.83117e-02, Loss_prev: 1.57712e-01
