Start Training:
Iter: 4800, Loss: 5.16769e-01, Loss_0: 7.88230e-02, Loss_b: 8.86053e-06, Loss_f: 4.37937e-01
Iter: 4900, Loss: 2.47029e-01, Loss_0: 7.38925e-02, Loss_b: 5.70030e-05, Loss_f: 1.73080e-01
Iter: 5000, Loss: 1.98771e-01, Loss_0: 7.30281e-02, Loss_b: 1.55360e-05, Loss_f: 1.25727e-01
Iter: 5100, Loss: 1.56236e-01, Loss_0: 4.09235e-02, Loss_b: 2.36995e-04, Loss_f: 1.15075e-01
Iter: 5200, Loss: 1.30025e-01, Loss_0: 2.75736e-02, Loss_b: 1.30940e-04, Loss_f: 1.02320e-01
Iter: 5300, Loss: 1.09522e-01, Loss_0: 2.13553e-02, Loss_b: 9.18334e-05, Loss_f: 8.80750e-02
Iter: 5400, Loss: 9.36844e-02, Loss_0: 1.52462e-02, Loss_b: 9.87728e-05, Loss_f: 7.83395e-02
Iter: 5500, Loss: 7.99847e-02, Loss_0: 1.21423e-02, Loss_b: 1.79785e-04, Loss_f: 6.76627e-02
Iter: 5600, Loss: 6.89963e-02, Loss_0: 8.54414e-03, Loss_b: 3.15250e-04, Loss_f: 6.01370e-02
Iter: 5700, Loss: 6.18520e-02, Loss_0: 9.60891e-03, Loss_b: 1.26743e-04, Loss_f: 5.21164e-02
Iter: 5800, Loss: 5.66177e-02, Loss_0: 9.12662e-03, Loss_b: 3.29541e-05, Loss_f: 4.74581e-02
Iter: 5900, Loss: 5.08206e-02, Loss_0: 9.09587e-03, Loss_b: 4.66581e-05, Loss_f: 4.16781e-02
Iter: 6000, Loss: 4.60144e-02, Loss_0: 7.77655e-03, Loss_b: 2.45178e-05, Loss_f: 3.82133e-02
Iter: 6100, Loss: 4.13758e-02, Loss_0: 5.98559e-03, Loss_b: 7.90037e-05, Loss_f: 3.53112e-02
Iter: 6200, Loss: 3.70134e-02, Loss_0: 5.76920e-03, Loss_b: 4.11224e-05, Loss_f: 3.12031e-02
Iter: 6300, Loss: 3.40046e-02, Loss_0: 4.80245e-03, Loss_b: 5.28200e-05, Loss_f: 2.91493e-02
Iter: 6400, Loss: 3.02687e-02, Loss_0: 4.25499e-03, Loss_b: 7.10107e-05, Loss_f: 2.59427e-02
Iter: 6500, Loss: 2.70907e-02, Loss_0: 4.01944e-03, Loss_b: 6.63490e-05, Loss_f: 2.30049e-02
Iter: 6600, Loss: 2.46152e-02, Loss_0: 3.36555e-03, Loss_b: 5.37610e-05, Loss_f: 2.11959e-02
Iter: 6700, Loss: 2.26404e-02, Loss_0: 2.67457e-03, Loss_b: 7.10591e-05, Loss_f: 1.98948e-02
Iter: 6800, Loss: 2.01831e-02, Loss_0: 2.17539e-03, Loss_b: 1.10666e-04, Loss_f: 1.78970e-02
Iter: 6900, Loss: 1.85073e-02, Loss_0: 1.96946e-03, Loss_b: 1.11324e-04, Loss_f: 1.64265e-02
Iter: 7000, Loss: 1.71300e-02, Loss_0: 1.73664e-03, Loss_b: 1.92091e-04, Loss_f: 1.52013e-02
Iter: 7100, Loss: 1.58657e-02, Loss_0: 1.55684e-03, Loss_b: 3.17810e-04, Loss_f: 1.39911e-02
Iter: 7200, Loss: 1.47170e-02, Loss_0: 1.39209e-03, Loss_b: 4.11344e-04, Loss_f: 1.29136e-02
Iter: 7300, Loss: 1.38663e-02, Loss_0: 1.48584e-03, Loss_b: 4.09646e-04, Loss_f: 1.19708e-02
Iter: 7400, Loss: 1.30110e-02, Loss_0: 1.53800e-03, Loss_b: 4.61418e-04, Loss_f: 1.10116e-02
