Start Training:
Iter: 3900, Loss: 1.28047e+01, Loss0: 1.06383e+00, Loss_b: 2.49022e-04, Loss_f: 1.17406e+01, Loss_prev: 0.00000e+00
Iter: 4000, Loss: 1.41433e+00, Loss0: 1.29918e+00, Loss_b: 7.25443e-05, Loss_f: 1.15073e-01, Loss_prev: 0.00000e+00
Iter: 4100, Loss: 1.12903e+00, Loss0: 1.00431e+00, Loss_b: 5.09439e-05, Loss_f: 1.24669e-01, Loss_prev: 0.00000e+00
Iter: 4200, Loss: 1.15306e+00, Loss0: 1.06487e+00, Loss_b: 5.57729e-05, Loss_f: 8.81380e-02, Loss_prev: 0.00000e+00
Iter: 4300, Loss: 1.88278e+00, Loss0: 1.67021e+00, Loss_b: 4.57279e-04, Loss_f: 2.12110e-01, Loss_prev: 0.00000e+00
Iter: 4400, Loss: 1.24072e+00, Loss0: 1.13849e+00, Loss_b: 5.91459e-05, Loss_f: 1.02171e-01, Loss_prev: 0.00000e+00
Iter: 4500, Loss: 2.31417e+00, Loss0: 1.22364e+00, Loss_b: 2.32983e-03, Loss_f: 1.08820e+00, Loss_prev: 0.00000e+00
Iter: 4600, Loss: 1.11759e+00, Loss0: 1.02785e+00, Loss_b: 7.70376e-05, Loss_f: 8.96625e-02, Loss_prev: 0.00000e+00
Iter: 4700, Loss: 1.46363e+00, Loss0: 1.25725e+00, Loss_b: 7.14709e-04, Loss_f: 2.05666e-01, Loss_prev: 0.00000e+00
Iter: 4800, Loss: 1.01996e+00, Loss0: 9.25034e-01, Loss_b: 2.44393e-04, Loss_f: 9.46779e-02, Loss_prev: 0.00000e+00
Iter: 4900, Loss: 1.24223e+00, Loss0: 1.14367e+00, Loss_b: 5.93317e-06, Loss_f: 9.85601e-02, Loss_prev: 0.00000e+00
Iter: 5000, Loss: 9.62400e-01, Loss0: 8.66059e-01, Loss_b: 8.74749e-05, Loss_f: 9.62542e-02, Loss_prev: 0.00000e+00
Iter: 5100, Loss: 1.13726e+00, Loss0: 1.04379e+00, Loss_b: 1.05659e-04, Loss_f: 9.33708e-02, Loss_prev: 0.00000e+00
Iter: 5200, Loss: 2.56762e+00, Loss0: 1.07285e+00, Loss_b: 3.73127e-05, Loss_f: 1.49472e+00, Loss_prev: 0.00000e+00
Iter: 5300, Loss: 9.65028e-01, Loss0: 8.80097e-01, Loss_b: 1.05585e-04, Loss_f: 8.48253e-02, Loss_prev: 0.00000e+00
Iter: 5400, Loss: 1.13475e+00, Loss0: 1.03910e+00, Loss_b: 1.31378e-04, Loss_f: 9.55142e-02, Loss_prev: 0.00000e+00
Iter: 5500, Loss: 5.19595e+00, Loss0: 8.40323e-01, Loss_b: 3.03025e-05, Loss_f: 4.35559e+00, Loss_prev: 0.00000e+00
Iter: 5600, Loss: 9.08552e-01, Loss0: 8.23488e-01, Loss_b: 1.09739e-04, Loss_f: 8.49549e-02, Loss_prev: 0.00000e+00
Iter: 5700, Loss: 1.00179e+00, Loss0: 9.21964e-01, Loss_b: 1.13483e-04, Loss_f: 7.97081e-02, Loss_prev: 0.00000e+00
Iter: 5800, Loss: 1.52347e+00, Loss0: 1.21789e+00, Loss_b: 4.89359e-03, Loss_f: 3.00682e-01, Loss_prev: 0.00000e+00
Iter: 5900, Loss: 9.44258e-01, Loss0: 8.66560e-01, Loss_b: 1.21920e-04, Loss_f: 7.75763e-02, Loss_prev: 0.00000e+00
Iter: 6000, Loss: 1.07115e+00, Loss0: 9.46585e-01, Loss_b: 3.16671e-05, Loss_f: 1.24533e-01, Loss_prev: 0.00000e+00
