Start Training:
Iter: 3900, Loss: 1.34387e-01, Loss_0: 1.80027e-05, Loss_1: 8.76724e-02, Loss_b: 3.42559e-04, Loss_f: 4.63541e-02
Iter: 4000, Loss: 7.95129e-02, Loss_0: 1.83773e-05, Loss_1: 6.11203e-02, Loss_b: 5.21542e-05, Loss_f: 1.83221e-02
Iter: 4100, Loss: 8.78697e-02, Loss_0: 1.41434e-05, Loss_1: 6.95998e-02, Loss_b: 2.13295e-05, Loss_f: 1.82344e-02
Iter: 4200, Loss: 8.56220e-02, Loss_0: 1.74243e-05, Loss_1: 5.74842e-02, Loss_b: 6.00405e-05, Loss_f: 2.80604e-02
Iter: 4300, Loss: 8.35198e-02, Loss_0: 1.03374e-05, Loss_1: 6.59135e-02, Loss_b: 4.32675e-05, Loss_f: 1.75526e-02
Iter: 4400, Loss: 6.69226e-01, Loss_0: 6.47027e-05, Loss_1: 5.78558e-02, Loss_b: 2.11101e-04, Loss_f: 6.11095e-01
Iter: 4500, Loss: 8.99797e-02, Loss_0: 1.62869e-05, Loss_1: 5.66419e-02, Loss_b: 3.66811e-05, Loss_f: 3.32849e-02
Iter: 4600, Loss: 7.33663e-02, Loss_0: 1.33721e-05, Loss_1: 5.73063e-02, Loss_b: 2.82249e-05, Loss_f: 1.60185e-02
Iter: 4700, Loss: 8.00787e-02, Loss_0: 8.36150e-06, Loss_1: 6.25068e-02, Loss_b: 1.43348e-05, Loss_f: 1.75492e-02
Iter: 4800, Loss: 6.98525e-02, Loss_0: 1.68271e-05, Loss_1: 5.48548e-02, Loss_b: 2.51152e-05, Loss_f: 1.49557e-02
Iter: 4900, Loss: 7.48788e-02, Loss_0: 7.56778e-06, Loss_1: 5.96780e-02, Loss_b: 1.83901e-05, Loss_f: 1.51748e-02
Iter: 5000, Loss: 8.53157e-02, Loss_0: 5.10555e-05, Loss_1: 5.95717e-02, Loss_b: 3.34144e-05, Loss_f: 2.56595e-02
