Start Training:
Iter: 3900, Loss: 1.12014e+00, Loss_0: 8.55230e-01, Loss_1: 2.20724e-01, Loss_b: 1.60363e-04, Loss_f: 4.40257e-02
Iter: 4000, Loss: 1.10436e+00, Loss_0: 8.54384e-01, Loss_1: 2.09614e-01, Loss_b: 1.62655e-04, Loss_f: 4.01960e-02
Iter: 4100, Loss: 1.10053e+00, Loss_0: 8.54210e-01, Loss_1: 2.11537e-01, Loss_b: 4.96836e-06, Loss_f: 3.47758e-02
Iter: 4200, Loss: 1.19033e+00, Loss_0: 8.63896e-01, Loss_1: 1.93637e-01, Loss_b: 4.99744e-05, Loss_f: 1.32745e-01
Iter: 4300, Loss: 1.07275e+00, Loss_0: 8.53564e-01, Loss_1: 1.79229e-01, Loss_b: 1.96086e-05, Loss_f: 3.99352e-02
Iter: 4400, Loss: 1.06729e+00, Loss_0: 8.52442e-01, Loss_1: 1.75531e-01, Loss_b: 6.52088e-06, Loss_f: 3.93088e-02
Iter: 4500, Loss: 1.15288e+00, Loss_0: 8.56340e-01, Loss_1: 2.06260e-01, Loss_b: 1.29157e-03, Loss_f: 8.89921e-02
Iter: 4600, Loss: 1.01899e+00, Loss_0: 8.51305e-01, Loss_1: 1.42178e-01, Loss_b: 7.69351e-06, Loss_f: 2.54997e-02
Iter: 4700, Loss: 1.01742e+00, Loss_0: 8.51622e-01, Loss_1: 1.41546e-01, Loss_b: 1.61938e-05, Loss_f: 2.42380e-02
Iter: 4800, Loss: 1.03540e+00, Loss_0: 8.52053e-01, Loss_1: 1.54989e-01, Loss_b: 1.18922e-06, Loss_f: 2.83620e-02
Iter: 4900, Loss: 2.23347e+00, Loss_0: 8.63139e-01, Loss_1: 1.33384e-01, Loss_b: 7.09017e-04, Loss_f: 1.23624e+00
Iter: 5000, Loss: 9.96026e-01, Loss_0: 8.49866e-01, Loss_1: 1.23914e-01, Loss_b: 4.04782e-06, Loss_f: 2.22422e-02
Iter: 5100, Loss: 9.95593e-01, Loss_0: 8.49552e-01, Loss_1: 1.24574e-01, Loss_b: 5.67187e-06, Loss_f: 2.14607e-02
Iter: 5200, Loss: 9.94527e-01, Loss_0: 8.49562e-01, Loss_1: 1.23073e-01, Loss_b: 1.56530e-05, Loss_f: 2.18774e-02
Iter: 5300, Loss: 9.94623e-01, Loss_0: 8.49533e-01, Loss_1: 1.20772e-01, Loss_b: 6.20881e-05, Loss_f: 2.42564e-02
Iter: 5400, Loss: 1.02001e+00, Loss_0: 8.49229e-01, Loss_1: 1.37713e-01, Loss_b: 4.56318e-05, Loss_f: 3.30196e-02
Iter: 5500, Loss: 9.74929e-01, Loss_0: 8.48348e-01, Loss_1: 1.07382e-01, Loss_b: 4.92014e-06, Loss_f: 1.91940e-02
Iter: 5600, Loss: 9.76547e-01, Loss_0: 8.48035e-01, Loss_1: 1.10052e-01, Loss_b: 2.08499e-06, Loss_f: 1.84579e-02
Iter: 5700, Loss: 9.97847e-01, Loss_0: 8.48043e-01, Loss_1: 1.19090e-01, Loss_b: 1.86534e-05, Loss_f: 3.06952e-02
Iter: 5800, Loss: 1.14534e+00, Loss_0: 8.49966e-01, Loss_1: 1.16775e-01, Loss_b: 3.36559e-04, Loss_f: 1.78259e-01
Iter: 5900, Loss: 1.12218e+00, Loss_0: 8.48258e-01, Loss_1: 9.82015e-02, Loss_b: 4.91371e-05, Loss_f: 1.75671e-01
Iter: 6000, Loss: 9.60634e-01, Loss_0: 8.46819e-01, Loss_1: 9.67407e-02, Loss_b: 4.22973e-06, Loss_f: 1.70696e-02
Iter: 6100, Loss: 9.58591e-01, Loss_0: 8.46544e-01, Loss_1: 9.54939e-02, Loss_b: 4.43574e-06, Loss_f: 1.65486e-02
Iter: 6200, Loss: 9.59364e-01, Loss_0: 8.46227e-01, Loss_1: 9.69545e-02, Loss_b: 5.29209e-06, Loss_f: 1.61774e-02
Iter: 6300, Loss: 9.63346e-01, Loss_0: 8.47882e-01, Loss_1: 9.88875e-02, Loss_b: 2.67207e-06, Loss_f: 1.65734e-02
Iter: 6400, Loss: 9.66630e-01, Loss_0: 8.47184e-01, Loss_1: 1.00379e-01, Loss_b: 2.66717e-05, Loss_f: 1.90397e-02
Iter: 6500, Loss: 1.00562e+00, Loss_0: 8.47118e-01, Loss_1: 1.04684e-01, Loss_b: 7.71719e-05, Loss_f: 5.37370e-02
Iter: 6600, Loss: 9.47235e-01, Loss_0: 8.44726e-01, Loss_1: 8.71439e-02, Loss_b: 3.66208e-06, Loss_f: 1.53615e-02
Iter: 6700, Loss: 9.46469e-01, Loss_0: 8.44317e-01, Loss_1: 8.72690e-02, Loss_b: 2.63481e-06, Loss_f: 1.48804e-02
Iter: 6800, Loss: 9.48159e-01, Loss_0: 8.43884e-01, Loss_1: 8.98384e-02, Loss_b: 2.95193e-06, Loss_f: 1.44331e-02
Iter: 6900, Loss: 9.49971e-01, Loss_0: 8.43630e-01, Loss_1: 8.98450e-02, Loss_b: 9.29979e-06, Loss_f: 1.64870e-02
Iter: 7000, Loss: 9.52273e-01, Loss_0: 8.43941e-01, Loss_1: 9.01409e-02, Loss_b: 1.09816e-04, Loss_f: 1.80819e-02
Iter: 7100, Loss: 9.45435e-01, Loss_0: 8.42939e-01, Loss_1: 8.53587e-02, Loss_b: 1.74505e-05, Loss_f: 1.71197e-02
Iter: 7200, Loss: 9.39844e-01, Loss_0: 8.41668e-01, Loss_1: 8.41810e-02, Loss_b: 5.62786e-07, Loss_f: 1.39946e-02
Iter: 7300, Loss: 9.34135e-01, Loss_0: 8.41671e-01, Loss_1: 7.87765e-02, Loss_b: 2.19099e-06, Loss_f: 1.36853e-02
Iter: 7400, Loss: 1.28270e+00, Loss_0: 8.57106e-01, Loss_1: 8.22615e-02, Loss_b: 1.96947e-04, Loss_f: 3.43132e-01
Iter: 7500, Loss: 9.41403e-01, Loss_0: 8.39758e-01, Loss_1: 7.99711e-02, Loss_b: 4.74067e-05, Loss_f: 2.16270e-02
Iter: 7600, Loss: 9.32524e-01, Loss_0: 8.38957e-01, Loss_1: 7.95667e-02, Loss_b: 2.60709e-06, Loss_f: 1.39976e-02
Iter: 7700, Loss: 9.31424e-01, Loss_0: 8.39884e-01, Loss_1: 7.71953e-02, Loss_b: 3.77128e-05, Loss_f: 1.43067e-02
Iter: 7800, Loss: 9.70925e-01, Loss_0: 8.40427e-01, Loss_1: 8.08362e-02, Loss_b: 1.15893e-06, Loss_f: 4.96614e-02
Iter: 7900, Loss: 9.32347e-01, Loss_0: 8.38516e-01, Loss_1: 7.70200e-02, Loss_b: 1.21282e-05, Loss_f: 1.67989e-02
Iter: 8000, Loss: 9.27134e-01, Loss_0: 8.41025e-01, Loss_1: 7.29677e-02, Loss_b: 9.79153e-06, Loss_f: 1.31315e-02
Iter: 8100, Loss: 9.39379e-01, Loss_0: 8.36774e-01, Loss_1: 7.66933e-02, Loss_b: 3.96577e-05, Loss_f: 2.58722e-02
Iter: 8200, Loss: 9.24280e-01, Loss_0: 8.36996e-01, Loss_1: 7.31580e-02, Loss_b: 1.30937e-05, Loss_f: 1.41120e-02
Iter: 8300, Loss: 9.76611e-01, Loss_0: 8.33494e-01, Loss_1: 7.22576e-02, Loss_b: 6.47731e-05, Loss_f: 7.07942e-02
Iter: 8400, Loss: 9.12391e-01, Loss_0: 8.32131e-01, Loss_1: 6.80938e-02, Loss_b: 1.78002e-06, Loss_f: 1.21639e-02
Iter: 8500, Loss: 9.17150e-01, Loss_0: 8.34267e-01, Loss_1: 6.95552e-02, Loss_b: 1.67945e-06, Loss_f: 1.33263e-02
Iter: 8600, Loss: 1.02414e+00, Loss_0: 8.34588e-01, Loss_1: 7.07628e-02, Loss_b: 2.81552e-06, Loss_f: 1.18782e-01
Iter: 8700, Loss: 9.22350e-01, Loss_0: 8.30456e-01, Loss_1: 6.82571e-02, Loss_b: 1.45490e-04, Loss_f: 2.34912e-02
Iter: 8800, Loss: 9.33863e-01, Loss_0: 8.46976e-01, Loss_1: 6.75833e-02, Loss_b: 1.81007e-05, Loss_f: 1.92847e-02
Iter: 8900, Loss: 1.25612e+00, Loss_0: 8.34543e-01, Loss_1: 6.82612e-02, Loss_b: 2.89908e-04, Loss_f: 3.53030e-01
Iter: 9000, Loss: 1.02695e+00, Loss_0: 8.39085e-01, Loss_1: 6.59751e-02, Loss_b: 3.44955e-05, Loss_f: 1.21851e-01
Iter: 9100, Loss: 9.68301e-01, Loss_0: 8.29982e-01, Loss_1: 7.27819e-02, Loss_b: 8.23364e-06, Loss_f: 6.55295e-02
Iter: 9200, Loss: 9.46096e-01, Loss_0: 8.28201e-01, Loss_1: 6.12317e-02, Loss_b: 7.30578e-06, Loss_f: 5.66560e-02
Iter: 9300, Loss: 1.16549e+00, Loss_0: 8.36692e-01, Loss_1: 6.29831e-02, Loss_b: 1.74193e-04, Loss_f: 2.65639e-01
Iter: 9400, Loss: 1.05851e+00, Loss_0: 8.27858e-01, Loss_1: 6.59235e-02, Loss_b: 1.12004e-04, Loss_f: 1.64616e-01
Iter: 9500, Loss: 9.48818e-01, Loss_0: 8.26085e-01, Loss_1: 6.26430e-02, Loss_b: 2.77581e-05, Loss_f: 6.00627e-02
Iter: 9600, Loss: 9.20607e-01, Loss_0: 8.29346e-01, Loss_1: 6.93028e-02, Loss_b: 2.62589e-05, Loss_f: 2.19320e-02
Iter: 9700, Loss: 8.97722e-01, Loss_0: 8.27041e-01, Loss_1: 5.81714e-02, Loss_b: 3.26857e-05, Loss_f: 1.24768e-02
Iter: 9800, Loss: 9.16957e-01, Loss_0: 8.24351e-01, Loss_1: 5.76876e-02, Loss_b: 2.17008e-06, Loss_f: 3.49167e-02
