Start Training:
Iter: 0, Loss: 1.10598e+01, Loss_0: 5.92713e-04, Loss_1: 1.10298e+01, Loss_b: 2.93133e-02, Loss_f: 1.00328e-04
Iter: 100, Loss: 5.24412e+00, Loss_0: 5.22367e-04, Loss_1: 5.05946e+00, Loss_b: 1.91039e-03, Loss_f: 1.82224e-01
Iter: 200, Loss: 1.83591e+00, Loss_0: 1.26613e-04, Loss_1: 1.67874e+00, Loss_b: 4.37084e-04, Loss_f: 1.56600e-01
Iter: 300, Loss: 4.78173e-01, Loss_0: 7.23243e-05, Loss_1: 4.11063e-01, Loss_b: 1.08844e-04, Loss_f: 6.69282e-02
Iter: 400, Loss: 2.57032e-01, Loss_0: 7.85845e-05, Loss_1: 2.01710e-01, Loss_b: 1.57569e-04, Loss_f: 5.50859e-02
Iter: 500, Loss: 2.11180e-01, Loss_0: 1.84864e-04, Loss_1: 1.59740e-01, Loss_b: 1.48696e-04, Loss_f: 5.11063e-02
Iter: 600, Loss: 1.83662e-01, Loss_0: 5.20828e-04, Loss_1: 1.38543e-01, Loss_b: 2.03594e-04, Loss_f: 4.43948e-02
Iter: 700, Loss: 1.62378e-01, Loss_0: 2.27289e-05, Loss_1: 1.25258e-01, Loss_b: 2.50662e-04, Loss_f: 3.68469e-02
Iter: 800, Loss: 1.64066e-01, Loss_0: 1.09322e-03, Loss_1: 1.25150e-01, Loss_b: 1.87009e-04, Loss_f: 3.76364e-02
Iter: 900, Loss: 1.36355e-01, Loss_0: 9.39132e-05, Loss_1: 1.04315e-01, Loss_b: 2.10716e-04, Loss_f: 3.17359e-02
Iter: 1000, Loss: 1.25348e-01, Loss_0: 4.06341e-05, Loss_1: 9.75224e-02, Loss_b: 6.24818e-05, Loss_f: 2.77228e-02
Iter: 1100, Loss: 1.17579e-01, Loss_0: 2.12502e-05, Loss_1: 9.14708e-02, Loss_b: 4.55350e-05, Loss_f: 2.60411e-02
Iter: 1200, Loss: 1.10872e-01, Loss_0: 3.17169e-05, Loss_1: 8.65603e-02, Loss_b: 8.11623e-05, Loss_f: 2.41988e-02
Iter: 1300, Loss: 1.04910e-01, Loss_0: 2.06881e-05, Loss_1: 8.18328e-02, Loss_b: 9.12965e-05, Loss_f: 2.29651e-02
Iter: 1400, Loss: 1.03377e-01, Loss_0: 1.73660e-05, Loss_1: 8.13232e-02, Loss_b: 1.22341e-04, Loss_f: 2.19141e-02
Iter: 1500, Loss: 9.24175e-02, Loss_0: 2.56367e-05, Loss_1: 7.46012e-02, Loss_b: 1.38560e-05, Loss_f: 1.77768e-02
Iter: 1600, Loss: 8.77197e-02, Loss_0: 2.52055e-05, Loss_1: 6.99819e-02, Loss_b: 2.84854e-05, Loss_f: 1.76842e-02
Iter: 1700, Loss: 8.36849e-02, Loss_0: 3.85604e-05, Loss_1: 6.65038e-02, Loss_b: 2.40163e-04, Loss_f: 1.69024e-02
Iter: 1800, Loss: 9.46963e-02, Loss_0: 2.06487e-05, Loss_1: 6.81664e-02, Loss_b: 1.53205e-04, Loss_f: 2.63561e-02
Iter: 1900, Loss: 8.49482e-02, Loss_0: 1.89215e-05, Loss_1: 5.94470e-02, Loss_b: 4.20399e-05, Loss_f: 2.54402e-02
Iter: 2000, Loss: 7.96787e-02, Loss_0: 5.35152e-05, Loss_1: 5.91523e-02, Loss_b: 3.02322e-05, Loss_f: 2.04427e-02
Iter: 2100, Loss: 7.14688e-02, Loss_0: 1.67750e-04, Loss_1: 5.51706e-02, Loss_b: 6.05771e-05, Loss_f: 1.60699e-02
Iter: 2200, Loss: 8.90267e-02, Loss_0: 6.74144e-04, Loss_1: 5.47086e-02, Loss_b: 2.74109e-05, Loss_f: 3.36166e-02
Iter: 2300, Loss: 6.73031e-02, Loss_0: 2.50284e-05, Loss_1: 5.19601e-02, Loss_b: 3.23719e-05, Loss_f: 1.52857e-02
Iter: 2400, Loss: 6.82917e-02, Loss_0: 2.51904e-05, Loss_1: 4.73826e-02, Loss_b: 1.63257e-05, Loss_f: 2.08675e-02
Iter: 2500, Loss: 5.82544e-02, Loss_0: 1.82088e-05, Loss_1: 4.61818e-02, Loss_b: 2.33324e-05, Loss_f: 1.20311e-02
Iter: 2600, Loss: 5.51633e-02, Loss_0: 1.76496e-05, Loss_1: 4.53272e-02, Loss_b: 1.43490e-05, Loss_f: 9.80414e-03
Iter: 2700, Loss: 8.18690e-02, Loss_0: 1.26577e-04, Loss_1: 4.86674e-02, Loss_b: 3.71577e-04, Loss_f: 3.27034e-02
Iter: 2800, Loss: 5.55696e-02, Loss_0: 1.56993e-04, Loss_1: 4.29670e-02, Loss_b: 6.18147e-04, Loss_f: 1.18275e-02
Iter: 2900, Loss: 6.10047e-02, Loss_0: 5.94562e-05, Loss_1: 4.29072e-02, Loss_b: 6.57285e-05, Loss_f: 1.79723e-02
Iter: 3000, Loss: 4.81896e-02, Loss_0: 2.01328e-05, Loss_1: 3.96577e-02, Loss_b: 8.78981e-06, Loss_f: 8.50291e-03
Iter: 3100, Loss: 5.87288e-02, Loss_0: 5.74313e-04, Loss_1: 4.14861e-02, Loss_b: 1.49509e-04, Loss_f: 1.65189e-02
Iter: 3200, Loss: 4.54185e-02, Loss_0: 1.85092e-05, Loss_1: 3.66854e-02, Loss_b: 9.19303e-06, Loss_f: 8.70532e-03
Iter: 3300, Loss: 4.59112e-02, Loss_0: 1.72342e-05, Loss_1: 3.71471e-02, Loss_b: 1.10882e-05, Loss_f: 8.73572e-03
Iter: 3400, Loss: 1.26113e-01, Loss_0: 1.09895e-04, Loss_1: 3.46076e-02, Loss_b: 9.89899e-06, Loss_f: 9.13853e-02
Iter: 3500, Loss: 4.86560e-02, Loss_0: 3.37197e-05, Loss_1: 3.42157e-02, Loss_b: 7.76865e-06, Loss_f: 1.43988e-02
Iter: 3600, Loss: 4.22164e-02, Loss_0: 1.99925e-05, Loss_1: 3.44080e-02, Loss_b: 7.85239e-06, Loss_f: 7.78056e-03
Iter: 3700, Loss: 4.00769e-02, Loss_0: 1.81797e-05, Loss_1: 3.29871e-02, Loss_b: 5.43119e-06, Loss_f: 7.06615e-03
Iter: 3800, Loss: 3.91350e-02, Loss_0: 1.79883e-05, Loss_1: 3.22688e-02, Loss_b: 5.17996e-06, Loss_f: 6.84304e-03
Iter: 3900, Loss: 8.97963e-02, Loss_0: 1.10239e-04, Loss_1: 3.13120e-02, Loss_b: 6.86715e-06, Loss_f: 5.83672e-02
Iter: 4000, Loss: 3.89925e-02, Loss_0: 2.23326e-05, Loss_1: 3.13090e-02, Loss_b: 1.32212e-05, Loss_f: 7.64787e-03
Iter: 4100, Loss: 3.84467e-02, Loss_0: 1.97675e-05, Loss_1: 3.08169e-02, Loss_b: 4.53230e-06, Loss_f: 7.60551e-03
Iter: 4200, Loss: 3.61114e-02, Loss_0: 1.86953e-05, Loss_1: 2.97741e-02, Loss_b: 4.21242e-06, Loss_f: 6.31441e-03
Iter: 4300, Loss: 3.76194e-02, Loss_0: 2.31338e-05, Loss_1: 2.92119e-02, Loss_b: 1.08969e-05, Loss_f: 8.37352e-03
Iter: 4400, Loss: 4.37111e-02, Loss_0: 8.52117e-05, Loss_1: 2.90541e-02, Loss_b: 1.24001e-05, Loss_f: 1.45594e-02
Iter: 4500, Loss: 3.74922e-02, Loss_0: 5.81638e-05, Loss_1: 2.84009e-02, Loss_b: 1.43043e-05, Loss_f: 9.01881e-03
Iter: 4600, Loss: 7.83153e-02, Loss_0: 5.35148e-04, Loss_1: 2.71930e-02, Loss_b: 1.08585e-04, Loss_f: 5.04786e-02
Iter: 4700, Loss: 3.32738e-02, Loss_0: 1.95020e-05, Loss_1: 2.74010e-02, Loss_b: 7.56372e-06, Loss_f: 5.84572e-03
Iter: 4800, Loss: 3.19981e-02, Loss_0: 1.98956e-05, Loss_1: 2.64196e-02, Loss_b: 7.92637e-06, Loss_f: 5.55069e-03
Iter: 4900, Loss: 3.24465e-02, Loss_0: 1.97304e-05, Loss_1: 2.55589e-02, Loss_b: 4.31842e-06, Loss_f: 6.86355e-03
Iter: 5000, Loss: 3.22261e-02, Loss_0: 4.62801e-05, Loss_1: 2.53116e-02, Loss_b: 8.18730e-06, Loss_f: 6.86011e-03
Iter: 5100, Loss: 3.26037e-02, Loss_0: 4.51097e-05, Loss_1: 2.50812e-02, Loss_b: 1.71698e-05, Loss_f: 7.46019e-03
Iter: 5200, Loss: 6.88438e-02, Loss_0: 2.85716e-04, Loss_1: 2.45804e-02, Loss_b: 7.97991e-05, Loss_f: 4.38980e-02
