Start Training:
Iter: 0, Loss: 4.94801e-01, Loss_0: 2.88936e-01, Loss_1: 1.82155e-02, Loss_b: 1.32023e-01, Loss_f: 5.56267e-02
Iter: 100, Loss: 5.32541e-03, Loss_0: 2.66350e-06, Loss_1: 5.30356e-03, Loss_b: 1.03077e-05, Loss_f: 8.88142e-06
Iter: 200, Loss: 5.02287e-03, Loss_0: 3.84838e-07, Loss_1: 4.98648e-03, Loss_b: 1.68702e-05, Loss_f: 1.91353e-05
Iter: 300, Loss: 4.67921e-03, Loss_0: 3.39753e-07, Loss_1: 4.61256e-03, Loss_b: 9.98443e-06, Loss_f: 5.63346e-05
Iter: 400, Loss: 4.28203e-03, Loss_0: 4.26702e-07, Loss_1: 4.15445e-03, Loss_b: 6.48986e-06, Loss_f: 1.20664e-04
Iter: 500, Loss: 3.75268e-03, Loss_0: 7.01095e-07, Loss_1: 3.57385e-03, Loss_b: 3.97465e-06, Loss_f: 1.74160e-04
Iter: 600, Loss: 3.09456e-03, Loss_0: 1.21640e-06, Loss_1: 2.95613e-03, Loss_b: 2.36429e-06, Loss_f: 1.34849e-04
Iter: 700, Loss: 2.64544e-03, Loss_0: 1.72822e-06, Loss_1: 2.56543e-03, Loss_b: 8.16466e-06, Loss_f: 7.01219e-05
Iter: 800, Loss: 2.47139e-03, Loss_0: 1.64271e-06, Loss_1: 2.40773e-03, Loss_b: 1.02980e-05, Loss_f: 5.17242e-05
Iter: 900, Loss: 2.41018e-03, Loss_0: 2.65716e-07, Loss_1: 2.35869e-03, Loss_b: 8.80435e-06, Loss_f: 4.24250e-05
Iter: 1000, Loss: 2.38559e-03, Loss_0: 2.67777e-07, Loss_1: 2.34334e-03, Loss_b: 7.00663e-06, Loss_f: 3.49742e-05
Iter: 1100, Loss: 2.37227e-03, Loss_0: 2.67074e-07, Loss_1: 2.33751e-03, Loss_b: 5.53721e-06, Loss_f: 2.89554e-05
Iter: 1200, Loss: 2.36342e-03, Loss_0: 2.64926e-07, Loss_1: 2.33441e-03, Loss_b: 4.45287e-06, Loss_f: 2.42962e-05
Iter: 1300, Loss: 2.35675e-03, Loss_0: 2.61180e-07, Loss_1: 2.33206e-03, Loss_b: 3.66907e-06, Loss_f: 2.07576e-05
Iter: 1400, Loss: 2.35128e-03, Loss_0: 2.55765e-07, Loss_1: 2.32986e-03, Loss_b: 3.09915e-06, Loss_f: 1.80584e-05
Iter: 1500, Loss: 2.35077e-03, Loss_0: 3.08017e-06, Loss_1: 2.32969e-03, Loss_b: 1.95630e-06, Loss_f: 1.60436e-05
Iter: 1600, Loss: 2.34368e-03, Loss_0: 1.09517e-06, Loss_1: 2.32431e-03, Loss_b: 3.94884e-06, Loss_f: 1.43304e-05
Iter: 1700, Loss: 2.33880e-03, Loss_0: 4.23578e-07, Loss_1: 2.32267e-03, Loss_b: 2.79578e-06, Loss_f: 1.29148e-05
Iter: 1800, Loss: 2.33543e-03, Loss_0: 4.19785e-07, Loss_1: 2.32054e-03, Loss_b: 2.65301e-06, Loss_f: 1.18141e-05
