Start Training:
Iter: 3900, Loss: 2.80619e-01, Loss_0: 7.07490e-04, Loss_1: 1.02625e-01, Loss_b: 3.95266e-04, Loss_f: 1.76892e-01
Iter: 4000, Loss: 1.05123e-01, Loss_0: 4.47641e-04, Loss_1: 8.61208e-02, Loss_b: 3.00536e-05, Loss_f: 1.85243e-02
Iter: 4100, Loss: 1.34516e-01, Loss_0: 6.52553e-04, Loss_1: 8.80486e-02, Loss_b: 4.89957e-04, Loss_f: 4.53252e-02
Iter: 4200, Loss: 1.00178e-01, Loss_0: 4.00543e-04, Loss_1: 8.15162e-02, Loss_b: 1.77760e-05, Loss_f: 1.82433e-02
Iter: 4300, Loss: 9.26758e-02, Loss_0: 4.00541e-04, Loss_1: 7.45505e-02, Loss_b: 2.04877e-05, Loss_f: 1.77042e-02
Iter: 4400, Loss: 8.81896e-02, Loss_0: 4.04642e-04, Loss_1: 7.09764e-02, Loss_b: 2.03445e-05, Loss_f: 1.67882e-02
Iter: 4500, Loss: 8.20077e-02, Loss_0: 3.96917e-04, Loss_1: 6.65210e-02, Loss_b: 1.48835e-05, Loss_f: 1.50749e-02
Iter: 4600, Loss: 8.43368e-02, Loss_0: 3.97598e-04, Loss_1: 6.87895e-02, Loss_b: 2.10627e-05, Loss_f: 1.51287e-02
Iter: 4700, Loss: 1.57034e-01, Loss_0: 5.30311e-04, Loss_1: 7.23236e-02, Loss_b: 1.94441e-04, Loss_f: 8.39857e-02
Iter: 4800, Loss: 1.60626e-01, Loss_0: 6.13624e-04, Loss_1: 6.30501e-02, Loss_b: 2.83126e-06, Loss_f: 9.69591e-02
Iter: 4900, Loss: 8.39642e-02, Loss_0: 3.96085e-04, Loss_1: 6.31930e-02, Loss_b: 8.23727e-06, Loss_f: 2.03669e-02
Iter: 5000, Loss: 8.44367e-02, Loss_0: 4.81786e-04, Loss_1: 6.59420e-02, Loss_b: 1.11615e-04, Loss_f: 1.79013e-02
Iter: 5100, Loss: 9.85235e-02, Loss_0: 4.13411e-04, Loss_1: 6.67017e-02, Loss_b: 1.05308e-05, Loss_f: 3.13978e-02
Iter: 5200, Loss: 9.45875e-02, Loss_0: 5.08760e-04, Loss_1: 6.87937e-02, Loss_b: 1.24904e-04, Loss_f: 2.51601e-02
Iter: 5300, Loss: 9.95351e-02, Loss_0: 1.18297e-03, Loss_1: 6.73839e-02, Loss_b: 8.29923e-05, Loss_f: 3.08852e-02
Iter: 5400, Loss: 7.78547e-02, Loss_0: 4.67363e-04, Loss_1: 5.88735e-02, Loss_b: 4.75177e-05, Loss_f: 1.84663e-02
