Start Training:
Iter: 3900, Loss: 4.62507e-06, Loss0: 3.42678e-07, Loss_b: 3.39645e-08, Loss_f: 4.24843e-06, Loss_prev: 0.00000e+00
Iter: 4000, Loss: 7.18679e-05, Loss0: 1.13710e-05, Loss_b: 5.30330e-05, Loss_f: 7.46379e-06, Loss_prev: 0.00000e+00
Iter: 4100, Loss: 4.46699e-04, Loss0: 5.78915e-05, Loss_b: 3.14729e-04, Loss_f: 7.40785e-05, Loss_prev: 0.00000e+00
Iter: 4200, Loss: 4.06537e-06, Loss0: 4.02044e-07, Loss_b: 2.24638e-08, Loss_f: 3.64087e-06, Loss_prev: 0.00000e+00
Iter: 4300, Loss: 8.76142e-06, Loss0: 1.37946e-06, Loss_b: 3.26853e-06, Loss_f: 4.11342e-06, Loss_prev: 0.00000e+00
Iter: 4400, Loss: 3.06824e-05, Loss0: 4.42447e-06, Loss_b: 2.09389e-05, Loss_f: 5.31908e-06, Loss_prev: 0.00000e+00
Iter: 4500, Loss: 9.64837e-05, Loss0: 4.85980e-06, Loss_b: 4.16998e-06, Loss_f: 8.74540e-05, Loss_prev: 0.00000e+00
Iter: 4600, Loss: 1.09532e-05, Loss0: 1.95127e-06, Loss_b: 5.44023e-06, Loss_f: 3.56167e-06, Loss_prev: 0.00000e+00
Iter: 4700, Loss: 7.98054e-06, Loss0: 2.01674e-06, Loss_b: 2.43309e-06, Loss_f: 3.53070e-06, Loss_prev: 0.00000e+00
Iter: 4800, Loss: 3.25137e-06, Loss0: 2.52958e-07, Loss_b: 2.64196e-08, Loss_f: 2.97199e-06, Loss_prev: 0.00000e+00
Iter: 4900, Loss: 9.32329e-06, Loss0: 1.55498e-06, Loss_b: 4.56684e-06, Loss_f: 3.20147e-06, Loss_prev: 0.00000e+00
Iter: 5000, Loss: 3.90688e-06, Loss0: 4.19013e-07, Loss_b: 7.21683e-07, Loss_f: 2.76619e-06, Loss_prev: 0.00000e+00
Iter: 5100, Loss: 5.49724e-06, Loss0: 9.89746e-07, Loss_b: 1.84268e-06, Loss_f: 2.66481e-06, Loss_prev: 0.00000e+00
Iter: 5200, Loss: 2.78798e-06, Loss0: 3.40144e-07, Loss_b: 2.13238e-08, Loss_f: 2.42651e-06, Loss_prev: 0.00000e+00
Iter: 5300, Loss: 9.03662e-06, Loss0: 2.04987e-06, Loss_b: 3.68193e-06, Loss_f: 3.30482e-06, Loss_prev: 0.00000e+00
Iter: 5400, Loss: 2.74330e-06, Loss0: 2.24482e-07, Loss_b: 2.28337e-08, Loss_f: 2.49599e-06, Loss_prev: 0.00000e+00
Iter: 5500, Loss: 1.38852e-05, Loss0: 3.17837e-06, Loss_b: 6.95874e-06, Loss_f: 3.74804e-06, Loss_prev: 0.00000e+00
Iter: 5600, Loss: 2.32815e-06, Loss0: 2.49991e-07, Loss_b: 1.54210e-08, Loss_f: 2.06274e-06, Loss_prev: 0.00000e+00
Iter: 5700, Loss: 9.13744e-04, Loss0: 1.29505e-04, Loss_b: 7.22869e-04, Loss_f: 6.13699e-05, Loss_prev: 0.00000e+00
Iter: 5800, Loss: 2.16189e-06, Loss0: 2.45940e-07, Loss_b: 1.29803e-08, Loss_f: 1.90297e-06, Loss_prev: 0.00000e+00
Iter: 5900, Loss: 8.68155e-04, Loss0: 1.23804e-04, Loss_b: 6.54380e-04, Loss_f: 8.99706e-05, Loss_prev: 0.00000e+00
Iter: 6000, Loss: 2.09338e-06, Loss0: 2.51485e-07, Loss_b: 1.69995e-08, Loss_f: 1.82490e-06, Loss_prev: 0.00000e+00
Iter: 6100, Loss: 4.00580e-05, Loss0: 4.88135e-06, Loss_b: 2.71187e-05, Loss_f: 8.05797e-06, Loss_prev: 0.00000e+00
Iter: 6200, Loss: 1.94041e-06, Loss0: 2.29390e-07, Loss_b: 8.99848e-09, Loss_f: 1.70202e-06, Loss_prev: 0.00000e+00
Iter: 6300, Loss: 6.68112e-05, Loss0: 1.06241e-05, Loss_b: 5.06177e-05, Loss_f: 5.56941e-06, Loss_prev: 0.00000e+00
Iter: 6400, Loss: 4.00491e-06, Loss0: 1.01914e-06, Loss_b: 1.00284e-07, Loss_f: 2.88549e-06, Loss_prev: 0.00000e+00
Iter: 6500, Loss: 2.28499e-05, Loss0: 2.54995e-06, Loss_b: 1.38960e-05, Loss_f: 6.40393e-06, Loss_prev: 0.00000e+00
Iter: 6600, Loss: 9.29907e-05, Loss0: 1.11305e-05, Loss_b: 2.32965e-05, Loss_f: 5.85637e-05, Loss_prev: 0.00000e+00
Iter: 6700, Loss: 8.89542e-06, Loss0: 1.35491e-06, Loss_b: 4.80265e-06, Loss_f: 2.73786e-06, Loss_prev: 0.00000e+00
Iter: 6800, Loss: 5.48057e-06, Loss0: 8.77104e-07, Loss_b: 2.02977e-08, Loss_f: 4.58316e-06, Loss_prev: 0.00000e+00
Iter: 6900, Loss: 2.99874e-05, Loss0: 4.87293e-06, Loss_b: 2.11866e-05, Loss_f: 3.92795e-06, Loss_prev: 0.00000e+00
Iter: 7000, Loss: 8.48849e-06, Loss0: 7.05705e-07, Loss_b: 1.49789e-06, Loss_f: 6.28489e-06, Loss_prev: 0.00000e+00
Iter: 7100, Loss: 3.16781e-05, Loss0: 4.01224e-06, Loss_b: 9.23819e-06, Loss_f: 1.84277e-05, Loss_prev: 0.00000e+00
Iter: 7200, Loss: 1.48795e-06, Loss0: 2.01373e-07, Loss_b: 7.37875e-09, Loss_f: 1.27920e-06, Loss_prev: 0.00000e+00
Iter: 7300, Loss: 1.99185e-06, Loss0: 2.14035e-07, Loss_b: 3.38724e-07, Loss_f: 1.43909e-06, Loss_prev: 0.00000e+00
Iter: 7400, Loss: 1.65310e-06, Loss0: 2.92889e-07, Loss_b: 8.91150e-08, Loss_f: 1.27110e-06, Loss_prev: 0.00000e+00
Iter: 7500, Loss: 3.39191e-06, Loss0: 1.21813e-06, Loss_b: 1.08162e-07, Loss_f: 2.06562e-06, Loss_prev: 0.00000e+00
Iter: 7600, Loss: 1.12066e-05, Loss0: 2.23331e-06, Loss_b: 6.56410e-06, Loss_f: 2.40923e-06, Loss_prev: 0.00000e+00
Iter: 7700, Loss: 1.59211e-06, Loss0: 1.87709e-07, Loss_b: 9.00900e-09, Loss_f: 1.39540e-06, Loss_prev: 0.00000e+00
Iter: 7800, Loss: 6.14549e-04, Loss0: 8.91931e-05, Loss_b: 4.41341e-04, Loss_f: 8.40144e-05, Loss_prev: 0.00000e+00
Iter: 7900, Loss: 4.34161e-06, Loss0: 2.40992e-07, Loss_b: 6.76840e-08, Loss_f: 4.03293e-06, Loss_prev: 0.00000e+00
Iter: 8000, Loss: 5.27551e-05, Loss0: 8.82991e-06, Loss_b: 3.80100e-05, Loss_f: 5.91512e-06, Loss_prev: 0.00000e+00
Iter: 8100, Loss: 1.73612e-05, Loss0: 1.58149e-06, Loss_b: 2.14320e-07, Loss_f: 1.55654e-05, Loss_prev: 0.00000e+00
Iter: 8200, Loss: 1.85277e-05, Loss0: 2.97260e-06, Loss_b: 1.22377e-05, Loss_f: 3.31746e-06, Loss_prev: 0.00000e+00
Iter: 8300, Loss: 3.76218e-06, Loss0: 9.02004e-07, Loss_b: 1.73162e-07, Loss_f: 2.68701e-06, Loss_prev: 0.00000e+00
Iter: 8400, Loss: 1.15883e-05, Loss0: 1.73974e-06, Loss_b: 6.86843e-06, Loss_f: 2.98013e-06, Loss_prev: 0.00000e+00
Iter: 8500, Loss: 1.64238e-06, Loss0: 5.22957e-07, Loss_b: 5.38776e-08, Loss_f: 1.06555e-06, Loss_prev: 0.00000e+00
Iter: 8600, Loss: 3.88748e-06, Loss0: 7.17445e-07, Loss_b: 1.54289e-06, Loss_f: 1.62715e-06, Loss_prev: 0.00000e+00
Iter: 8700, Loss: 1.59268e-06, Loss0: 4.72488e-07, Loss_b: 4.77163e-09, Loss_f: 1.11542e-06, Loss_prev: 0.00000e+00
Iter: 8800, Loss: 3.36839e-06, Loss0: 9.13142e-07, Loss_b: 1.13602e-06, Loss_f: 1.31923e-06, Loss_prev: 0.00000e+00
Iter: 8900, Loss: 3.34022e-06, Loss0: 5.52399e-07, Loss_b: 1.17692e-07, Loss_f: 2.67013e-06, Loss_prev: 0.00000e+00
Iter: 9000, Loss: 1.53141e-04, Loss0: 1.24469e-05, Loss_b: 6.08683e-05, Loss_f: 7.98256e-05, Loss_prev: 0.00000e+00
Iter: 9100, Loss: 7.21850e-05, Loss0: 1.26370e-05, Loss_b: 5.35972e-05, Loss_f: 5.95076e-06, Loss_prev: 0.00000e+00
Iter: 9200, Loss: 4.77112e-06, Loss0: 1.23468e-06, Loss_b: 2.04558e-07, Loss_f: 3.33188e-06, Loss_prev: 0.00000e+00
Iter: 9300, Loss: 8.76547e-06, Loss0: 1.37277e-06, Loss_b: 5.08762e-06, Loss_f: 2.30508e-06, Loss_prev: 0.00000e+00
Iter: 9400, Loss: 1.84342e-06, Loss0: 3.32166e-07, Loss_b: 1.05531e-08, Loss_f: 1.50070e-06, Loss_prev: 0.00000e+00
Iter: 9500, Loss: 2.11477e-06, Loss0: 4.32872e-07, Loss_b: 5.13162e-07, Loss_f: 1.16874e-06, Loss_prev: 0.00000e+00
Iter: 9600, Loss: 1.18043e-06, Loss0: 2.17449e-07, Loss_b: 1.86134e-08, Loss_f: 9.44365e-07, Loss_prev: 0.00000e+00
Iter: 9700, Loss: 1.26224e-06, Loss0: 2.12649e-07, Loss_b: 1.94559e-07, Loss_f: 8.55028e-07, Loss_prev: 0.00000e+00
Iter: 9800, Loss: 1.08186e-06, Loss0: 2.04879e-07, Loss_b: 6.42639e-08, Loss_f: 8.12715e-07, Loss_prev: 0.00000e+00
Iter: 9900, Loss: 9.46948e-07, Loss0: 1.83893e-07, Loss_b: 5.53248e-09, Loss_f: 7.57522e-07, Loss_prev: 0.00000e+00
Iter: 10000, Loss: 1.09690e-06, Loss0: 1.68728e-07, Loss_b: 4.61942e-08, Loss_f: 8.81982e-07, Loss_prev: 0.00000e+00
Iter: 10100, Loss: 5.09447e-07, Loss0: 1.95863e-08, Loss_b: 9.25747e-09, Loss_f: 4.80603e-07, Loss_prev: 0.00000e+00
Training time: 4276.4078
