Start Training:
Iter: 3900, Loss: 6.37524e-04, Loss_0: 6.09517e-05, Loss_b: 4.73140e-05, Loss_f: 3.00590e-04, Loss_s: 2.28668e-04
Iter: 4000, Loss: 7.83396e-04, Loss_0: 5.84651e-05, Loss_b: 5.06803e-05, Loss_f: 4.50957e-04, Loss_s: 2.23294e-04
Iter: 4100, Loss: 5.38667e-04, Loss_0: 5.30073e-05, Loss_b: 5.04074e-05, Loss_f: 2.44022e-04, Loss_s: 1.91231e-04
Iter: 4200, Loss: 9.38154e-04, Loss_0: 5.42807e-05, Loss_b: 4.76607e-05, Loss_f: 6.45018e-04, Loss_s: 1.91195e-04
Iter: 4300, Loss: 6.34944e-04, Loss_0: 4.49294e-05, Loss_b: 4.43589e-05, Loss_f: 3.46644e-04, Loss_s: 1.99012e-04
Iter: 4400, Loss: 2.45760e-03, Loss_0: 1.09380e-04, Loss_b: 1.02793e-04, Loss_f: 1.98122e-03, Loss_s: 2.64208e-04
Iter: 4500, Loss: 1.55111e-03, Loss_0: 4.85982e-05, Loss_b: 4.38349e-05, Loss_f: 1.23702e-03, Loss_s: 2.21655e-04
Iter: 4600, Loss: 2.03095e-03, Loss_0: 7.86357e-05, Loss_b: 6.90889e-05, Loss_f: 1.66775e-03, Loss_s: 2.15475e-04
Iter: 4700, Loss: 8.04699e-04, Loss_0: 5.05343e-05, Loss_b: 5.77174e-05, Loss_f: 5.03217e-04, Loss_s: 1.93231e-04
Iter: 4800, Loss: 6.17848e-03, Loss_0: 1.31661e-04, Loss_b: 6.80229e-05, Loss_f: 5.70157e-03, Loss_s: 2.77220e-04
Iter: 4900, Loss: 7.60499e-04, Loss_0: 3.68863e-05, Loss_b: 4.25949e-05, Loss_f: 4.97485e-04, Loss_s: 1.83532e-04
Iter: 5000, Loss: 6.31440e-04, Loss_0: 5.22987e-05, Loss_b: 7.03862e-05, Loss_f: 2.99948e-04, Loss_s: 2.08807e-04
Iter: 5100, Loss: 2.96227e-04, Loss_0: 1.77748e-05, Loss_b: 3.80508e-05, Loss_f: 1.19701e-04, Loss_s: 1.20700e-04
Iter: 5200, Loss: 2.34993e-04, Loss_0: 1.36715e-05, Loss_b: 2.93401e-05, Loss_f: 9.56575e-05, Loss_s: 9.63237e-05
Iter: 5300, Loss: 1.98709e-04, Loss_0: 1.22923e-05, Loss_b: 2.78280e-05, Loss_f: 7.96226e-05, Loss_s: 7.89656e-05
Iter: 5400, Loss: 1.68617e-04, Loss_0: 9.64142e-06, Loss_b: 2.38697e-05, Loss_f: 6.58865e-05, Loss_s: 6.92197e-05
Iter: 5500, Loss: 1.38530e-04, Loss_0: 8.71788e-06, Loss_b: 1.97673e-05, Loss_f: 5.51601e-05, Loss_s: 5.48843e-05
Iter: 5600, Loss: 1.14988e-04, Loss_0: 7.83132e-06, Loss_b: 1.94122e-05, Loss_f: 4.32430e-05, Loss_s: 4.45016e-05
Iter: 5700, Loss: 9.81398e-05, Loss_0: 6.24282e-06, Loss_b: 2.14588e-05, Loss_f: 3.13687e-05, Loss_s: 3.90695e-05
Iter: 5800, Loss: 8.67204e-05, Loss_0: 5.07359e-06, Loss_b: 1.93467e-05, Loss_f: 2.79091e-05, Loss_s: 3.43910e-05
Iter: 5900, Loss: 7.64342e-05, Loss_0: 4.75827e-06, Loss_b: 1.79795e-05, Loss_f: 2.34699e-05, Loss_s: 3.02265e-05
Iter: 6000, Loss: 7.04231e-05, Loss_0: 3.71630e-06, Loss_b: 1.74397e-05, Loss_f: 2.14630e-05, Loss_s: 2.78041e-05
Iter: 6100, Loss: 6.44570e-05, Loss_0: 2.16611e-06, Loss_b: 1.69255e-05, Loss_f: 1.90996e-05, Loss_s: 2.62658e-05
Iter: 6200, Loss: 5.92312e-05, Loss_0: 1.59832e-06, Loss_b: 1.65106e-05, Loss_f: 1.72784e-05, Loss_s: 2.38439e-05
Iter: 6300, Loss: 5.63085e-05, Loss_0: 1.56796e-06, Loss_b: 1.69695e-05, Loss_f: 1.63096e-05, Loss_s: 2.14615e-05
Iter: 6400, Loss: 5.41059e-05, Loss_0: 1.57004e-06, Loss_b: 1.72169e-05, Loss_f: 1.54413e-05, Loss_s: 1.98777e-05
Iter: 6500, Loss: 5.18636e-05, Loss_0: 1.44732e-06, Loss_b: 1.76030e-05, Loss_f: 1.43677e-05, Loss_s: 1.84455e-05
Iter: 6600, Loss: 4.92115e-05, Loss_0: 1.33509e-06, Loss_b: 1.59265e-05, Loss_f: 1.48312e-05, Loss_s: 1.71188e-05
Iter: 6700, Loss: 4.72751e-05, Loss_0: 1.22151e-06, Loss_b: 1.50509e-05, Loss_f: 1.45214e-05, Loss_s: 1.64813e-05
Iter: 6800, Loss: 4.55209e-05, Loss_0: 1.03357e-06, Loss_b: 1.39733e-05, Loss_f: 1.47302e-05, Loss_s: 1.57838e-05
Iter: 6900, Loss: 4.37819e-05, Loss_0: 9.99660e-07, Loss_b: 1.41335e-05, Loss_f: 1.40762e-05, Loss_s: 1.45725e-05
