Start Training:
Iter: 3900, Loss: 1.27074e-03, Loss0: 3.79522e-04, Loss_b: 3.42397e-04, Loss_f: 5.48818e-04, Loss_prev: 0.00000e+00
Iter: 4000, Loss: 5.62520e-04, Loss0: 3.20809e-04, Loss_b: 2.59463e-05, Loss_f: 2.15765e-04, Loss_prev: 0.00000e+00
Iter: 4100, Loss: 6.03187e-04, Loss0: 2.81511e-04, Loss_b: 5.98104e-05, Loss_f: 2.61865e-04, Loss_prev: 0.00000e+00
Iter: 4200, Loss: 1.13368e-03, Loss0: 3.29719e-04, Loss_b: 2.65537e-04, Loss_f: 5.38426e-04, Loss_prev: 0.00000e+00
Iter: 4300, Loss: 9.00960e-04, Loss0: 2.96309e-04, Loss_b: 1.78980e-04, Loss_f: 4.25670e-04, Loss_prev: 0.00000e+00
Iter: 4400, Loss: 3.69946e-04, Loss0: 2.10750e-04, Loss_b: 9.35321e-06, Loss_f: 1.49842e-04, Loss_prev: 0.00000e+00
Iter: 4500, Loss: 6.50253e-04, Loss0: 2.14763e-04, Loss_b: 1.42767e-04, Loss_f: 2.92723e-04, Loss_prev: 0.00000e+00
Iter: 4600, Loss: 3.70902e-04, Loss0: 1.62877e-04, Loss_b: 2.96021e-05, Loss_f: 1.78424e-04, Loss_prev: 0.00000e+00
Iter: 4700, Loss: 3.41304e-04, Loss0: 1.45920e-04, Loss_b: 2.62889e-05, Loss_f: 1.69095e-04, Loss_prev: 0.00000e+00
Iter: 4800, Loss: 2.66928e-04, Loss0: 1.33145e-04, Loss_b: 8.57142e-06, Loss_f: 1.25211e-04, Loss_prev: 0.00000e+00
Iter: 4900, Loss: 1.35540e-03, Loss0: 1.61679e-04, Loss_b: 4.33563e-04, Loss_f: 7.60157e-04, Loss_prev: 0.00000e+00
Iter: 5000, Loss: 7.89204e-04, Loss0: 1.20384e-04, Loss_b: 1.96761e-04, Loss_f: 4.72060e-04, Loss_prev: 0.00000e+00
Iter: 5100, Loss: 2.44803e-04, Loss0: 1.08714e-04, Loss_b: 1.66351e-05, Loss_f: 1.19454e-04, Loss_prev: 0.00000e+00
Iter: 5200, Loss: 5.68841e-04, Loss0: 1.27566e-04, Loss_b: 1.16311e-04, Loss_f: 3.24964e-04, Loss_prev: 0.00000e+00
Iter: 5300, Loss: 1.15933e-03, Loss0: 1.56852e-04, Loss_b: 5.38412e-04, Loss_f: 4.64061e-04, Loss_prev: 0.00000e+00
Iter: 5400, Loss: 1.88724e-04, Loss0: 7.77842e-05, Loss_b: 3.49568e-06, Loss_f: 1.07444e-04, Loss_prev: 0.00000e+00
Iter: 5500, Loss: 1.25819e-03, Loss0: 1.57788e-04, Loss_b: 2.66764e-04, Loss_f: 8.33633e-04, Loss_prev: 0.00000e+00
Iter: 5600, Loss: 2.47503e-04, Loss0: 6.27019e-05, Loss_b: 2.96817e-05, Loss_f: 1.55120e-04, Loss_prev: 0.00000e+00
Iter: 5700, Loss: 3.44098e-04, Loss0: 9.38156e-05, Loss_b: 6.92712e-05, Loss_f: 1.81011e-04, Loss_prev: 0.00000e+00
Iter: 5800, Loss: 4.56591e-04, Loss0: 1.05289e-04, Loss_b: 1.93388e-04, Loss_f: 1.57913e-04, Loss_prev: 0.00000e+00
Iter: 5900, Loss: 1.70214e-04, Loss0: 5.31850e-05, Loss_b: 2.02191e-05, Loss_f: 9.68101e-05, Loss_prev: 0.00000e+00
Iter: 6000, Loss: 1.46066e-04, Loss0: 6.83745e-05, Loss_b: 7.21749e-06, Loss_f: 7.04744e-05, Loss_prev: 0.00000e+00
Iter: 6100, Loss: 1.51750e-04, Loss0: 5.44077e-05, Loss_b: 1.01759e-05, Loss_f: 8.71666e-05, Loss_prev: 0.00000e+00
Iter: 6200, Loss: 5.60238e-04, Loss0: 1.06798e-04, Loss_b: 1.85161e-04, Loss_f: 2.68279e-04, Loss_prev: 0.00000e+00
Iter: 6300, Loss: 1.37744e-04, Loss0: 5.76920e-05, Loss_b: 1.47095e-05, Loss_f: 6.53429e-05, Loss_prev: 0.00000e+00
Iter: 6400, Loss: 1.55445e-04, Loss0: 4.76528e-05, Loss_b: 1.24178e-05, Loss_f: 9.53748e-05, Loss_prev: 0.00000e+00
Iter: 6500, Loss: 1.08585e-04, Loss0: 3.91269e-05, Loss_b: 1.03394e-05, Loss_f: 5.91184e-05, Loss_prev: 0.00000e+00
Iter: 6600, Loss: 1.62031e-04, Loss0: 3.41463e-05, Loss_b: 1.82741e-05, Loss_f: 1.09611e-04, Loss_prev: 0.00000e+00
Iter: 6700, Loss: 2.14363e-04, Loss0: 4.46035e-05, Loss_b: 6.16323e-05, Loss_f: 1.08127e-04, Loss_prev: 0.00000e+00
Iter: 6800, Loss: 2.22366e-04, Loss0: 4.90965e-05, Loss_b: 3.73441e-05, Loss_f: 1.35925e-04, Loss_prev: 0.00000e+00
Iter: 6900, Loss: 1.24693e-04, Loss0: 3.83103e-05, Loss_b: 1.12636e-05, Loss_f: 7.51186e-05, Loss_prev: 0.00000e+00
Iter: 7000, Loss: 8.15894e-05, Loss0: 3.16416e-05, Loss_b: 6.54720e-06, Loss_f: 4.34006e-05, Loss_prev: 0.00000e+00
Iter: 7100, Loss: 8.62493e-05, Loss0: 3.31412e-05, Loss_b: 1.24137e-06, Loss_f: 5.18667e-05, Loss_prev: 0.00000e+00
