Start Training:
Iter: 3900, Loss: 6.00572e-04, Loss_0: 3.72855e-05, Loss_1: 1.00008e-04, Loss_b: 2.49217e-04, Loss_f: 2.14061e-04
Iter: 4000, Loss: 1.08656e-04, Loss_0: 1.44975e-06, Loss_1: 3.65605e-05, Loss_b: 1.35582e-05, Loss_f: 5.70880e-05
Iter: 4100, Loss: 2.52451e-04, Loss_0: 2.77954e-07, Loss_1: 4.57866e-05, Loss_b: 8.00156e-05, Loss_f: 1.26371e-04
Iter: 4200, Loss: 4.01116e-04, Loss_0: 1.02661e-04, Loss_1: 6.66873e-05, Loss_b: 8.45922e-05, Loss_f: 1.47175e-04
Iter: 4300, Loss: 4.12916e-04, Loss_0: 9.89651e-05, Loss_1: 5.47588e-05, Loss_b: 1.38186e-04, Loss_f: 1.21006e-04
Iter: 4400, Loss: 1.92426e-04, Loss_0: 1.33021e-05, Loss_1: 2.55018e-05, Loss_b: 2.84268e-05, Loss_f: 1.25196e-04
Iter: 4500, Loss: 5.88381e-05, Loss_0: 3.09527e-06, Loss_1: 1.97841e-05, Loss_b: 2.59009e-06, Loss_f: 3.33686e-05
Iter: 4600, Loss: 4.94507e-05, Loss_0: 1.15941e-06, Loss_1: 2.02137e-05, Loss_b: 4.03420e-07, Loss_f: 2.76741e-05
Iter: 4700, Loss: 1.80812e-04, Loss_0: 2.70312e-06, Loss_1: 2.90891e-05, Loss_b: 4.99732e-05, Loss_f: 9.90465e-05
Iter: 4800, Loss: 1.63735e-04, Loss_0: 3.45463e-06, Loss_1: 2.71306e-05, Loss_b: 4.16547e-05, Loss_f: 9.14953e-05
Iter: 4900, Loss: 1.27533e-04, Loss_0: 2.79395e-05, Loss_1: 2.02695e-05, Loss_b: 2.22846e-06, Loss_f: 7.70955e-05
Iter: 5000, Loss: 6.89203e-05, Loss_0: 2.27075e-06, Loss_1: 1.64078e-05, Loss_b: 9.85438e-06, Loss_f: 4.03874e-05
Iter: 5100, Loss: 4.16522e-04, Loss_0: 7.67929e-06, Loss_1: 4.65509e-05, Loss_b: 1.31633e-04, Loss_f: 2.30658e-04
Iter: 5200, Loss: 1.29835e-04, Loss_0: 2.68835e-05, Loss_1: 2.06588e-05, Loss_b: 7.23629e-07, Loss_f: 8.15689e-05
Iter: 5300, Loss: 1.04871e-04, Loss_0: 1.76111e-06, Loss_1: 2.21729e-05, Loss_b: 3.14229e-05, Loss_f: 4.95141e-05
Iter: 5400, Loss: 3.33015e-04, Loss_0: 4.11273e-05, Loss_1: 2.20282e-05, Loss_b: 5.05679e-05, Loss_f: 2.19292e-04
Iter: 5500, Loss: 8.09071e-05, Loss_0: 2.67656e-07, Loss_1: 1.63846e-05, Loss_b: 2.35174e-05, Loss_f: 4.07375e-05
Iter: 5600, Loss: 3.03517e-05, Loss_0: 1.78038e-07, Loss_1: 1.20303e-05, Loss_b: 1.12433e-06, Loss_f: 1.70190e-05
Iter: 5700, Loss: 2.13083e-04, Loss_0: 1.34341e-06, Loss_1: 3.08628e-05, Loss_b: 9.12768e-05, Loss_f: 8.95999e-05
Iter: 5800, Loss: 3.17734e-04, Loss_0: 3.84171e-05, Loss_1: 2.58076e-05, Loss_b: 4.22567e-05, Loss_f: 2.11253e-04
Iter: 5900, Loss: 2.61230e-04, Loss_0: 1.00693e-05, Loss_1: 2.52821e-05, Loss_b: 7.04963e-05, Loss_f: 1.55383e-04
Iter: 6000, Loss: 4.00152e-04, Loss_0: 2.11454e-05, Loss_1: 3.10510e-05, Loss_b: 9.57148e-05, Loss_f: 2.52241e-04
Iter: 6100, Loss: 5.12670e-05, Loss_0: 2.18923e-06, Loss_1: 1.21297e-05, Loss_b: 7.38462e-06, Loss_f: 2.95635e-05
Iter: 6200, Loss: 6.17336e-05, Loss_0: 8.25650e-06, Loss_1: 8.83782e-06, Loss_b: 1.14048e-06, Loss_f: 4.34988e-05
Iter: 6300, Loss: 3.14283e-04, Loss_0: 1.16768e-05, Loss_1: 3.00602e-05, Loss_b: 8.98645e-05, Loss_f: 1.82682e-04
Iter: 6400, Loss: 1.99920e-04, Loss_0: 5.99993e-07, Loss_1: 2.26117e-05, Loss_b: 7.65913e-05, Loss_f: 1.00117e-04
Iter: 6500, Loss: 7.77418e-05, Loss_0: 1.17347e-05, Loss_1: 1.27547e-05, Loss_b: 1.70699e-06, Loss_f: 5.15455e-05
Iter: 6600, Loss: 1.34031e-03, Loss_0: 4.20384e-05, Loss_1: 1.03025e-04, Loss_b: 4.04144e-04, Loss_f: 7.91105e-04
Iter: 6700, Loss: 2.07052e-04, Loss_0: 7.52384e-06, Loss_1: 2.07160e-05, Loss_b: 5.43546e-05, Loss_f: 1.24458e-04
Iter: 6800, Loss: 2.67711e-05, Loss_0: 2.15910e-06, Loss_1: 9.54695e-06, Loss_b: 1.70256e-06, Loss_f: 1.33625e-05
Iter: 6900, Loss: 1.51420e-04, Loss_0: 3.14590e-05, Loss_1: 1.47080e-05, Loss_b: 8.85899e-07, Loss_f: 1.04367e-04
