Start Training:
Iter: 0, Loss: 6.22241e-02, Loss0: 5.56326e-02, Loss_b: 8.91031e-09, Loss_f: 2.65683e-06, Loss_prev: 6.58882e-03
Iter: 100, Loss: 1.45975e-03, Loss0: 1.76892e-04, Loss_b: 5.23821e-06, Loss_f: 8.20624e-04, Loss_prev: 4.56994e-04
Iter: 200, Loss: 9.10145e-04, Loss0: 5.46940e-05, Loss_b: 1.30647e-07, Loss_f: 5.41858e-04, Loss_prev: 3.13462e-04
Iter: 300, Loss: 6.95541e-04, Loss0: 3.22366e-05, Loss_b: 4.93549e-07, Loss_f: 3.93838e-04, Loss_prev: 2.68973e-04
Iter: 400, Loss: 5.52322e-04, Loss0: 2.31726e-05, Loss_b: 1.08972e-06, Loss_f: 3.01475e-04, Loss_prev: 2.26585e-04
Iter: 500, Loss: 4.47286e-04, Loss0: 1.77253e-05, Loss_b: 9.06884e-07, Loss_f: 2.44014e-04, Loss_prev: 1.84640e-04
Iter: 600, Loss: 3.68704e-04, Loss0: 1.37676e-05, Loss_b: 4.60839e-07, Loss_f: 2.06524e-04, Loss_prev: 1.47951e-04
Iter: 700, Loss: 3.08379e-04, Loss0: 1.06529e-05, Loss_b: 1.62743e-07, Loss_f: 1.78930e-04, Loss_prev: 1.18634e-04
Iter: 800, Loss: 2.60495e-04, Loss0: 8.23761e-06, Loss_b: 7.28814e-08, Loss_f: 1.56489e-04, Loss_prev: 9.56959e-05
Iter: 900, Loss: 2.22776e-04, Loss0: 6.53716e-06, Loss_b: 1.21831e-07, Loss_f: 1.38437e-04, Loss_prev: 7.76804e-05
Iter: 1000, Loss: 1.93964e-04, Loss0: 5.47732e-06, Loss_b: 2.40554e-07, Loss_f: 1.24554e-04, Loss_prev: 6.36926e-05
Iter: 1100, Loss: 1.72332e-04, Loss0: 4.87080e-06, Loss_b: 3.64975e-07, Loss_f: 1.13996e-04, Loss_prev: 5.30997e-05
Iter: 1200, Loss: 1.56021e-04, Loss0: 4.52279e-06, Loss_b: 4.51465e-07, Loss_f: 1.05813e-04, Loss_prev: 4.52332e-05
Iter: 1300, Loss: 1.86116e-04, Loss0: 8.61959e-06, Loss_b: 1.82996e-05, Loss_f: 1.10572e-04, Loss_prev: 4.86248e-05
Iter: 1400, Loss: 1.34171e-04, Loss0: 4.06021e-06, Loss_b: 4.28657e-07, Loss_f: 9.33499e-05, Loss_prev: 3.63324e-05
Iter: 1500, Loss: 1.28159e-04, Loss0: 4.14707e-06, Loss_b: 8.07487e-07, Loss_f: 8.81537e-05, Loss_prev: 3.50508e-05
Iter: 1600, Loss: 1.58942e-04, Loss0: 6.91250e-06, Loss_b: 8.89614e-06, Loss_f: 1.02765e-04, Loss_prev: 4.03684e-05
Iter: 1700, Loss: 1.35571e-04, Loss0: 5.62003e-06, Loss_b: 6.34460e-06, Loss_f: 9.60862e-05, Loss_prev: 2.75201e-05
Iter: 1800, Loss: 1.27027e-04, Loss0: 5.27860e-06, Loss_b: 5.71465e-06, Loss_f: 9.01436e-05, Loss_prev: 2.58906e-05
Iter: 1900, Loss: 1.40641e-04, Loss0: 6.98655e-06, Loss_b: 1.09919e-05, Loss_f: 9.80393e-05, Loss_prev: 2.46233e-05
Iter: 2000, Loss: 2.98996e-04, Loss0: 2.08004e-05, Loss_b: 4.76117e-05, Loss_f: 1.80922e-04, Loss_prev: 4.96614e-05
Iter: 2100, Loss: 1.84513e-04, Loss0: 1.29535e-05, Loss_b: 2.66692e-05, Loss_f: 1.19063e-04, Loss_prev: 2.58273e-05
Iter: 2200, Loss: 8.84882e-05, Loss0: 3.21399e-06, Loss_b: 9.10155e-07, Loss_f: 6.39320e-05, Loss_prev: 2.04320e-05
Iter: 2300, Loss: 1.11560e-04, Loss0: 5.51678e-06, Loss_b: 8.34498e-06, Loss_f: 7.77663e-05, Loss_prev: 1.99316e-05
Iter: 2400, Loss: 9.64954e-05, Loss0: 4.47649e-06, Loss_b: 5.01396e-06, Loss_f: 6.41592e-05, Loss_prev: 2.28458e-05
Iter: 2500, Loss: 1.99308e-04, Loss0: 1.35765e-05, Loss_b: 3.16484e-05, Loss_f: 1.18956e-04, Loss_prev: 3.51276e-05
Iter: 2600, Loss: 1.87282e-04, Loss0: 1.27931e-05, Loss_b: 2.97049e-05, Loss_f: 1.11490e-04, Loss_prev: 3.32941e-05
Iter: 2700, Loss: 7.07546e-05, Loss0: 2.77693e-06, Loss_b: 7.56675e-07, Loss_f: 4.91910e-05, Loss_prev: 1.80300e-05
Iter: 2800, Loss: 9.12115e-05, Loss0: 4.91836e-06, Loss_b: 7.11908e-06, Loss_f: 6.30239e-05, Loss_prev: 1.61501e-05
Iter: 2900, Loss: 1.09391e-04, Loss0: 6.68725e-06, Loss_b: 1.31860e-05, Loss_f: 7.34326e-05, Loss_prev: 1.60849e-05
Iter: 3000, Loss: 6.53561e-05, Loss0: 2.82882e-06, Loss_b: 1.32406e-06, Loss_f: 4.69175e-05, Loss_prev: 1.42857e-05
Iter: 3100, Loss: 8.60339e-05, Loss0: 4.83616e-06, Loss_b: 7.42487e-06, Loss_f: 5.51929e-05, Loss_prev: 1.85799e-05
Iter: 3200, Loss: 7.12452e-05, Loss0: 3.71751e-06, Loss_b: 4.09579e-06, Loss_f: 4.75051e-05, Loss_prev: 1.59268e-05
Iter: 3300, Loss: 1.69258e-04, Loss0: 1.28401e-05, Loss_b: 2.90394e-05, Loss_f: 9.97462e-05, Loss_prev: 2.76324e-05
Iter: 3400, Loss: 1.19927e-04, Loss0: 7.55382e-06, Loss_b: 1.73090e-05, Loss_f: 6.96886e-05, Loss_prev: 2.53753e-05
Iter: 3500, Loss: 7.59806e-05, Loss0: 4.78726e-06, Loss_b: 6.61940e-06, Loss_f: 5.07739e-05, Loss_prev: 1.38001e-05
Iter: 3600, Loss: 1.57833e-04, Loss0: 1.16655e-05, Loss_b: 2.59838e-05, Loss_f: 9.51739e-05, Loss_prev: 2.50101e-05
Iter: 3700, Loss: 6.77202e-05, Loss0: 3.54415e-06, Loss_b: 4.74408e-06, Loss_f: 4.28438e-05, Loss_prev: 1.65882e-05
Iter: 3800, Loss: 1.01006e-04, Loss0: 6.64144e-06, Loss_b: 1.42617e-05, Loss_f: 6.66615e-05, Loss_prev: 1.34418e-05
Iter: 3900, Loss: 1.43682e-04, Loss0: 1.09634e-05, Loss_b: 2.26580e-05, Loss_f: 8.51586e-05, Loss_prev: 2.49017e-05
Iter: 4000, Loss: 5.14924e-05, Loss0: 2.49624e-06, Loss_b: 1.91706e-06, Loss_f: 3.37411e-05, Loss_prev: 1.33380e-05
Iter: 4100, Loss: 1.57965e-04, Loss0: 1.21605e-05, Loss_b: 2.59756e-05, Loss_f: 9.27489e-05, Loss_prev: 2.70802e-05
Iter: 4200, Loss: 1.59032e-04, Loss0: 1.37487e-05, Loss_b: 3.04389e-05, Loss_f: 9.89714e-05, Loss_prev: 1.58732e-05
Iter: 4300, Loss: 6.26100e-05, Loss0: 3.57764e-06, Loss_b: 6.24437e-06, Loss_f: 3.70595e-05, Loss_prev: 1.57285e-05
Iter: 4400, Loss: 1.24635e-04, Loss0: 6.59981e-06, Loss_b: 1.49899e-05, Loss_f: 6.57150e-05, Loss_prev: 3.73307e-05
Iter: 4500, Loss: 1.15564e-04, Loss0: 8.20159e-06, Loss_b: 1.65021e-05, Loss_f: 6.84960e-05, Loss_prev: 2.23644e-05
Iter: 4600, Loss: 2.64118e-04, Loss0: 1.41421e-05, Loss_b: 2.11015e-06, Loss_f: 1.68905e-04, Loss_prev: 7.89613e-05
Iter: 4700, Loss: 1.05810e-01, Loss0: 2.48597e-02, Loss_b: 7.28862e-03, Loss_f: 3.86970e-02, Loss_prev: 3.49646e-02
Iter: 4800, Loss: 6.30059e-02, Loss0: 8.75652e-03, Loss_b: 2.36936e-03, Loss_f: 2.29436e-02, Loss_prev: 2.89364e-02
Iter: 4900, Loss: 5.28576e-02, Loss0: 6.69103e-03, Loss_b: 1.12115e-03, Loss_f: 1.99971e-02, Loss_prev: 2.50483e-02
Iter: 5000, Loss: 4.60773e-02, Loss0: 5.73792e-03, Loss_b: 7.90097e-04, Loss_f: 1.74660e-02, Loss_prev: 2.20833e-02
Iter: 5100, Loss: 5.65208e-04, Loss0: 2.93091e-05, Loss_b: 6.11722e-07, Loss_f: 2.37703e-04, Loss_prev: 2.97584e-04
Iter: 5200, Loss: 1.52677e-04, Loss0: 3.25454e-06, Loss_b: 1.12250e-07, Loss_f: 1.05371e-04, Loss_prev: 4.39385e-05
