Start Training:
Iter: 4800, Loss: 3.01638e-03, Loss_0: 1.97701e-03, Loss_b: 2.32285e-04, Loss_f: 8.07081e-04
Iter: 4900, Loss: 2.12159e-03, Loss_0: 1.91618e-03, Loss_b: 3.28779e-05, Loss_f: 1.72532e-04
Iter: 5000, Loss: 2.02597e-03, Loss_0: 1.87766e-03, Loss_b: 9.19295e-07, Loss_f: 1.47388e-04
Iter: 5100, Loss: 2.06370e-03, Loss_0: 1.83759e-03, Loss_b: 3.73556e-06, Loss_f: 2.22370e-04
Iter: 5200, Loss: 2.03555e-03, Loss_0: 1.82740e-03, Loss_b: 5.22221e-05, Loss_f: 1.55923e-04
Iter: 5300, Loss: 1.91526e-03, Loss_0: 1.76902e-03, Loss_b: 2.82749e-06, Loss_f: 1.43407e-04
Iter: 5400, Loss: 2.19042e-03, Loss_0: 1.79939e-03, Loss_b: 2.23038e-04, Loss_f: 1.67990e-04
Iter: 5500, Loss: 3.70452e-03, Loss_0: 1.81402e-03, Loss_b: 8.14152e-04, Loss_f: 1.07635e-03
Iter: 5600, Loss: 1.79062e-03, Loss_0: 1.65437e-03, Loss_b: 8.02620e-06, Loss_f: 1.28222e-04
Iter: 5700, Loss: 1.80254e-03, Loss_0: 1.62732e-03, Loss_b: 3.27116e-05, Loss_f: 1.42504e-04
Iter: 5800, Loss: 1.67935e-03, Loss_0: 1.53259e-03, Loss_b: 6.58649e-06, Loss_f: 1.40180e-04
Iter: 5900, Loss: 1.68571e-03, Loss_0: 1.51095e-03, Loss_b: 1.23205e-05, Loss_f: 1.62441e-04
Iter: 6000, Loss: 2.45550e-03, Loss_0: 1.48850e-03, Loss_b: 1.33065e-04, Loss_f: 8.33939e-04
Iter: 6100, Loss: 1.55450e-03, Loss_0: 1.37893e-03, Loss_b: 6.13677e-06, Loss_f: 1.69429e-04
Iter: 6200, Loss: 1.45761e-03, Loss_0: 1.33561e-03, Loss_b: 1.18341e-06, Loss_f: 1.20823e-04
Iter: 6300, Loss: 1.59307e-03, Loss_0: 1.30348e-03, Loss_b: 6.06896e-05, Loss_f: 2.28904e-04
Iter: 6400, Loss: 2.88553e-03, Loss_0: 1.25937e-03, Loss_b: 1.86223e-04, Loss_f: 1.43993e-03
Iter: 6500, Loss: 1.93179e-03, Loss_0: 1.10621e-03, Loss_b: 3.62741e-04, Loss_f: 4.62833e-04
Iter: 6600, Loss: 1.12422e-03, Loss_0: 9.96231e-04, Loss_b: 4.97905e-07, Loss_f: 1.27487e-04
Iter: 6700, Loss: 1.43979e-03, Loss_0: 1.00444e-03, Loss_b: 1.57440e-04, Loss_f: 2.77907e-04
Iter: 6800, Loss: 9.28242e-04, Loss_0: 8.14482e-04, Loss_b: 1.62963e-06, Loss_f: 1.12130e-04
Iter: 6900, Loss: 5.67559e-03, Loss_0: 9.75540e-04, Loss_b: 8.39962e-05, Loss_f: 4.61605e-03
Iter: 7000, Loss: 7.38546e-04, Loss_0: 6.39213e-04, Loss_b: 3.53549e-06, Loss_f: 9.57973e-05
Iter: 7100, Loss: 8.43549e-04, Loss_0: 5.80137e-04, Loss_b: 1.51149e-05, Loss_f: 2.48297e-04
Iter: 7200, Loss: 1.07284e-03, Loss_0: 6.53522e-04, Loss_b: 1.32691e-04, Loss_f: 2.86629e-04
Iter: 7300, Loss: 5.60279e-04, Loss_0: 4.75119e-04, Loss_b: 4.45784e-06, Loss_f: 8.07023e-05
Iter: 7400, Loss: 4.73341e-04, Loss_0: 3.92100e-04, Loss_b: 5.23409e-06, Loss_f: 7.60065e-05
Iter: 7500, Loss: 4.49105e-04, Loss_0: 3.68289e-04, Loss_b: 2.59898e-06, Loss_f: 7.82172e-05
Iter: 7600, Loss: 5.94940e-04, Loss_0: 3.55991e-04, Loss_b: 5.66465e-06, Loss_f: 2.33284e-04
Iter: 7700, Loss: 4.70718e-04, Loss_0: 3.22137e-04, Loss_b: 1.44232e-05, Loss_f: 1.34157e-04
Iter: 7800, Loss: 3.65952e-04, Loss_0: 2.91317e-04, Loss_b: 2.63685e-06, Loss_f: 7.19985e-05
Iter: 7900, Loss: 3.44748e-04, Loss_0: 2.69924e-04, Loss_b: 1.78640e-06, Loss_f: 7.30384e-05
Iter: 8000, Loss: 3.27978e-04, Loss_0: 2.57866e-04, Loss_b: 9.69789e-07, Loss_f: 6.91415e-05
Iter: 8100, Loss: 3.13347e-04, Loss_0: 2.43369e-04, Loss_b: 8.79287e-07, Loss_f: 6.90981e-05
Iter: 8200, Loss: 4.96003e-04, Loss_0: 3.25450e-04, Loss_b: 5.24465e-05, Loss_f: 1.18108e-04
Iter: 8300, Loss: 4.20392e-04, Loss_0: 2.78158e-04, Loss_b: 4.46194e-05, Loss_f: 9.76141e-05
Iter: 8400, Loss: 4.72199e-04, Loss_0: 2.61535e-04, Loss_b: 6.59351e-05, Loss_f: 1.44729e-04
Iter: 8500, Loss: 7.11496e-04, Loss_0: 2.37292e-04, Loss_b: 1.37578e-04, Loss_f: 3.36625e-04
Iter: 8600, Loss: 2.85617e-04, Loss_0: 2.10381e-04, Loss_b: 5.42123e-06, Loss_f: 6.98147e-05
Iter: 8700, Loss: 2.68507e-04, Loss_0: 1.89942e-04, Loss_b: 5.80989e-06, Loss_f: 7.27552e-05
Iter: 8800, Loss: 2.29831e-04, Loss_0: 1.60183e-04, Loss_b: 9.81782e-07, Loss_f: 6.86659e-05
Iter: 8900, Loss: 2.15321e-04, Loss_0: 1.52019e-04, Loss_b: 1.93869e-06, Loss_f: 6.13636e-05
Iter: 9000, Loss: 2.12994e-04, Loss_0: 1.48049e-04, Loss_b: 4.21248e-07, Loss_f: 6.45242e-05
Iter: 9100, Loss: 1.97635e-04, Loss_0: 1.37091e-04, Loss_b: 6.28067e-07, Loss_f: 5.99166e-05
Iter: 9200, Loss: 1.90561e-04, Loss_0: 1.29915e-04, Loss_b: 1.05242e-06, Loss_f: 5.95942e-05
Iter: 9300, Loss: 1.79166e-04, Loss_0: 1.22038e-04, Loss_b: 7.80368e-07, Loss_f: 5.63480e-05
Iter: 9400, Loss: 3.23825e-04, Loss_0: 1.21418e-04, Loss_b: 1.55385e-05, Loss_f: 1.86869e-04
Iter: 9500, Loss: 1.62884e-04, Loss_0: 1.08092e-04, Loss_b: 4.20655e-07, Loss_f: 5.43711e-05
Iter: 9600, Loss: 1.60374e-04, Loss_0: 1.05991e-04, Loss_b: 7.53824e-07, Loss_f: 5.36293e-05
Iter: 9700, Loss: 1.51999e-04, Loss_0: 9.78112e-05, Loss_b: 5.13308e-07, Loss_f: 5.36747e-05
Iter: 9800, Loss: 1.44346e-04, Loss_0: 9.24575e-05, Loss_b: 1.82918e-06, Loss_f: 5.00592e-05
Iter: 9900, Loss: 1.32212e-04, Loss_0: 8.30573e-05, Loss_b: 5.10392e-07, Loss_f: 4.86444e-05
Iter: 10000, Loss: 1.54776e-04, Loss_0: 1.02994e-04, Loss_b: 6.34073e-07, Loss_f: 5.11479e-05
Iter: 10100, Loss: 1.43671e-04, Loss_0: 8.70959e-05, Loss_b: 3.80864e-07, Loss_f: 5.61948e-05
Iter: 10200, Loss: 4.59326e-04, Loss_0: 2.30411e-04, Loss_b: 5.78453e-05, Loss_f: 1.71070e-04
Iter: 10300, Loss: 1.21739e-04, Loss_0: 5.81669e-05, Loss_b: 2.95550e-06, Loss_f: 6.06165e-05
Iter: 10400, Loss: 1.08678e-03, Loss_0: 6.93280e-05, Loss_b: 1.24966e-04, Loss_f: 8.92483e-04
Iter: 10500, Loss: 8.23601e-04, Loss_0: 1.31666e-04, Loss_b: 1.53207e-04, Loss_f: 5.38727e-04
Iter: 10600, Loss: 9.53636e-05, Loss_0: 5.24222e-05, Loss_b: 6.35988e-07, Loss_f: 4.23054e-05
Iter: 10700, Loss: 1.80145e-04, Loss_0: 1.06346e-04, Loss_b: 1.41402e-05, Loss_f: 5.96590e-05
Iter: 10800, Loss: 3.11197e-04, Loss_0: 4.15210e-05, Loss_b: 1.60102e-05, Loss_f: 2.53666e-04
Iter: 10900, Loss: 6.53410e-05, Loss_0: 3.27964e-05, Loss_b: 3.52473e-07, Loss_f: 3.21921e-05
Iter: 11000, Loss: 1.11161e-03, Loss_0: 1.01201e-04, Loss_b: 6.08340e-05, Loss_f: 9.49574e-04
Iter: 11100, Loss: 8.38697e-04, Loss_0: 1.41398e-04, Loss_b: 3.95385e-04, Loss_f: 3.01913e-04
Iter: 11200, Loss: 5.48004e-05, Loss_0: 2.61492e-05, Loss_b: 3.12112e-07, Loss_f: 2.83391e-05
Iter: 11300, Loss: 5.05650e-05, Loss_0: 2.36238e-05, Loss_b: 3.29816e-07, Loss_f: 2.66114e-05
Iter: 11400, Loss: 4.84057e-05, Loss_0: 2.22687e-05, Loss_b: 6.50170e-07, Loss_f: 2.54869e-05
Iter: 11500, Loss: 4.57659e-05, Loss_0: 2.06275e-05, Loss_b: 6.94900e-07, Loss_f: 2.44436e-05
Iter: 11600, Loss: 5.78864e-05, Loss_0: 1.91905e-05, Loss_b: 4.04575e-06, Loss_f: 3.46502e-05
Iter: 11700, Loss: 7.34796e-04, Loss_0: 4.23729e-05, Loss_b: 1.01356e-04, Loss_f: 5.91067e-04
Iter: 11800, Loss: 4.06049e-05, Loss_0: 1.74986e-05, Loss_b: 3.30704e-07, Loss_f: 2.27756e-05
Iter: 11900, Loss: 6.70544e-05, Loss_0: 3.56319e-05, Loss_b: 5.83225e-07, Loss_f: 3.08393e-05
Iter: 12000, Loss: 1.13575e-04, Loss_0: 3.60629e-05, Loss_b: 3.07719e-07, Loss_f: 7.72042e-05
Iter: 12100, Loss: 3.57623e-04, Loss_0: 1.04173e-04, Loss_b: 4.08878e-05, Loss_f: 2.12562e-04
Iter: 12200, Loss: 7.66200e-05, Loss_0: 3.17392e-05, Loss_b: 1.82983e-06, Loss_f: 4.30509e-05
Iter: 12300, Loss: 5.98221e-05, Loss_0: 3.59474e-05, Loss_b: 1.34762e-06, Loss_f: 2.25271e-05
Iter: 12400, Loss: 5.88087e-04, Loss_0: 7.06492e-05, Loss_b: 5.21760e-05, Loss_f: 4.65262e-04
Iter: 12500, Loss: 2.90643e-05, Loss_0: 9.96782e-06, Loss_b: 9.85566e-07, Loss_f: 1.81109e-05
Iter: 12600, Loss: 2.61024e-05, Loss_0: 9.70137e-06, Loss_b: 1.68505e-07, Loss_f: 1.62325e-05
Iter: 12700, Loss: 5.04669e-05, Loss_0: 2.17463e-05, Loss_b: 1.83329e-06, Loss_f: 2.68874e-05
Iter: 12800, Loss: 1.34487e-03, Loss_0: 1.02656e-04, Loss_b: 1.92457e-04, Loss_f: 1.04975e-03
Iter: 12900, Loss: 2.40225e-05, Loss_0: 8.37132e-06, Loss_b: 1.21392e-07, Loss_f: 1.55298e-05
Iter: 13000, Loss: 2.62557e-05, Loss_0: 9.45369e-06, Loss_b: 1.43115e-07, Loss_f: 1.66589e-05
Iter: 13100, Loss: 2.85050e-05, Loss_0: 1.04657e-05, Loss_b: 4.93097e-07, Loss_f: 1.75462e-05
Iter: 13200, Loss: 2.51997e-05, Loss_0: 9.80630e-06, Loss_b: 5.29541e-07, Loss_f: 1.48639e-05
Iter: 13300, Loss: 2.28779e-05, Loss_0: 6.73473e-06, Loss_b: 1.12102e-07, Loss_f: 1.60311e-05
Iter: 13400, Loss: 1.78920e-04, Loss_0: 2.73838e-05, Loss_b: 3.01246e-05, Loss_f: 1.21412e-04
Iter: 13500, Loss: 4.44909e-05, Loss_0: 1.77420e-05, Loss_b: 1.64189e-07, Loss_f: 2.65847e-05
Iter: 13600, Loss: 5.29799e-05, Loss_0: 2.67018e-05, Loss_b: 4.90476e-07, Loss_f: 2.57877e-05
Iter: 13700, Loss: 2.99112e-05, Loss_0: 1.12703e-05, Loss_b: 2.45883e-07, Loss_f: 1.83950e-05
Iter: 13800, Loss: 7.78526e-05, Loss_0: 2.18292e-05, Loss_b: 8.82338e-07, Loss_f: 5.51411e-05
Iter: 13900, Loss: 6.07885e-05, Loss_0: 2.65218e-05, Loss_b: 1.44286e-07, Loss_f: 3.41223e-05
Iter: 14000, Loss: 7.29815e-05, Loss_0: 1.92369e-05, Loss_b: 1.21813e-06, Loss_f: 5.25264e-05
Iter: 14100, Loss: 2.75557e-05, Loss_0: 6.70000e-06, Loss_b: 1.69919e-06, Loss_f: 1.91565e-05
Iter: 14200, Loss: 2.30729e-05, Loss_0: 6.94192e-06, Loss_b: 3.92442e-07, Loss_f: 1.57385e-05
Iter: 14300, Loss: 7.04431e-05, Loss_0: 2.61306e-05, Loss_b: 6.09723e-06, Loss_f: 3.82153e-05
Iter: 14400, Loss: 5.66861e-05, Loss_0: 1.25293e-05, Loss_b: 2.70501e-06, Loss_f: 4.14518e-05
Iter: 14500, Loss: 1.84943e-04, Loss_0: 2.73419e-05, Loss_b: 2.56833e-08, Loss_f: 1.57575e-04
Iter: 14600, Loss: 2.47422e-04, Loss_0: 4.44689e-05, Loss_b: 3.24653e-07, Loss_f: 2.02628e-04
Iter: 14700, Loss: 6.98766e-05, Loss_0: 2.38119e-05, Loss_b: 8.19037e-06, Loss_f: 3.78744e-05
Iter: 14800, Loss: 2.35618e-05, Loss_0: 1.00307e-05, Loss_b: 2.40712e-07, Loss_f: 1.32904e-05
Iter: 14900, Loss: 1.70138e-05, Loss_0: 5.34798e-06, Loss_b: 1.29744e-06, Loss_f: 1.03684e-05
Iter: 15000, Loss: 5.45278e-04, Loss_0: 3.67938e-05, Loss_b: 7.80193e-05, Loss_f: 4.30465e-04
Iter: 15100, Loss: 5.72173e-05, Loss_0: 2.20036e-05, Loss_b: 5.48341e-07, Loss_f: 3.46653e-05
Iter: 15200, Loss: 4.76447e-04, Loss_0: 4.89524e-05, Loss_b: 1.17310e-04, Loss_f: 3.10184e-04
