Start Training:
Iter: 0, Loss: 1.88958e-02, Loss0: 1.73581e-02, Loss_b: 1.20508e-09, Loss_f: 5.38880e-07, Loss_prev: 1.53723e-03
Iter: 100, Loss: 1.97674e-04, Loss0: 1.50554e-05, Loss_b: 3.39010e-07, Loss_f: 8.69179e-05, Loss_prev: 9.53615e-05
Iter: 200, Loss: 6.14856e-05, Loss0: 6.54111e-06, Loss_b: 5.51988e-08, Loss_f: 3.26718e-05, Loss_prev: 2.22175e-05
Iter: 300, Loss: 3.22048e-05, Loss0: 3.20104e-06, Loss_b: 2.46700e-08, Loss_f: 2.09251e-05, Loss_prev: 8.05404e-06
Iter: 400, Loss: 2.05368e-05, Loss0: 1.72983e-06, Loss_b: 7.45455e-09, Loss_f: 1.52150e-05, Loss_prev: 3.58452e-06
Iter: 500, Loss: 1.46767e-05, Loss0: 1.19706e-06, Loss_b: 2.71241e-09, Loss_f: 1.15929e-05, Loss_prev: 1.88404e-06
Iter: 600, Loss: 1.13298e-05, Loss0: 9.87074e-07, Loss_b: 3.98800e-09, Loss_f: 9.18674e-06, Loss_prev: 1.15203e-06
Iter: 700, Loss: 9.21255e-06, Loss0: 8.77109e-07, Loss_b: 6.14270e-09, Loss_f: 7.54258e-06, Loss_prev: 7.86719e-07
Iter: 800, Loss: 7.73043e-06, Loss0: 7.98045e-07, Loss_b: 6.88669e-09, Loss_f: 6.35171e-06, Loss_prev: 5.73789e-07
Iter: 900, Loss: 6.60928e-06, Loss0: 7.32891e-07, Loss_b: 6.17702e-09, Loss_f: 5.43373e-06, Loss_prev: 4.36473e-07
Iter: 1000, Loss: 5.72940e-06, Loss0: 6.78183e-07, Loss_b: 4.86006e-09, Loss_f: 4.70179e-06, Loss_prev: 3.44570e-07
Iter: 1100, Loss: 1.23494e-05, Loss0: 8.61458e-07, Loss_b: 2.74018e-07, Loss_f: 9.14574e-06, Loss_prev: 2.06821e-06
Iter: 1200, Loss: 6.45116e-04, Loss0: 1.16382e-05, Loss_b: 2.07228e-05, Loss_f: 5.62976e-04, Loss_prev: 4.97789e-05
Iter: 1300, Loss: 3.07501e-04, Loss0: 6.10003e-06, Loss_b: 1.28795e-05, Loss_f: 2.59913e-04, Loss_prev: 2.86079e-05
Iter: 1400, Loss: 1.44797e-05, Loss0: 6.88210e-07, Loss_b: 4.32686e-07, Loss_f: 1.14601e-05, Loss_prev: 1.89876e-06
Iter: 1500, Loss: 1.23657e-04, Loss0: 3.60190e-06, Loss_b: 8.18761e-06, Loss_f: 1.07497e-04, Loss_prev: 4.37035e-06
Iter: 1600, Loss: 3.03395e-05, Loss0: 2.08072e-06, Loss_b: 7.64961e-06, Loss_f: 1.36749e-05, Loss_prev: 6.93433e-06
