Start Training:
Iter: 4800, Loss: 9.04983e-06, Loss_0: 8.41420e-07, Loss_b: 5.91858e-07, Loss_f: 7.61655e-06
Iter: 4900, Loss: 1.14923e-05, Loss_0: 1.56164e-06, Loss_b: 1.30135e-06, Loss_f: 8.62928e-06
Iter: 5000, Loss: 8.43972e-06, Loss_0: 8.35674e-07, Loss_b: 5.64083e-07, Loss_f: 7.03996e-06
Iter: 5100, Loss: 2.02966e-04, Loss_0: 1.84371e-05, Loss_b: 1.58093e-05, Loss_f: 1.68720e-04
Iter: 5200, Loss: 7.83467e-06, Loss_0: 7.55351e-07, Loss_b: 5.21316e-07, Loss_f: 6.55800e-06
Iter: 5300, Loss: 8.69689e-06, Loss_0: 1.04476e-06, Loss_b: 1.28498e-06, Loss_f: 6.36715e-06
Iter: 5400, Loss: 7.36579e-06, Loss_0: 7.76950e-07, Loss_b: 5.38574e-07, Loss_f: 6.05026e-06
Iter: 5500, Loss: 7.94279e-05, Loss_0: 1.13028e-05, Loss_b: 5.46033e-05, Loss_f: 1.35218e-05
Iter: 5600, Loss: 7.07408e-06, Loss_0: 8.08092e-07, Loss_b: 5.53799e-07, Loss_f: 5.71219e-06
Iter: 5700, Loss: 1.99185e-05, Loss_0: 2.09061e-06, Loss_b: 3.37027e-06, Loss_f: 1.44576e-05
Iter: 5800, Loss: 6.60727e-06, Loss_0: 6.85273e-07, Loss_b: 5.12491e-07, Loss_f: 5.40950e-06
Iter: 5900, Loss: 1.51731e-03, Loss_0: 1.62904e-04, Loss_b: 1.19152e-03, Loss_f: 1.62886e-04
Iter: 6000, Loss: 6.40822e-06, Loss_0: 7.50849e-07, Loss_b: 5.19260e-07, Loss_f: 5.13811e-06
Iter: 6100, Loss: 6.07389e-06, Loss_0: 7.11959e-07, Loss_b: 5.12196e-07, Loss_f: 4.84973e-06
Iter: 6200, Loss: 5.85851e-06, Loss_0: 7.12300e-07, Loss_b: 4.96936e-07, Loss_f: 4.64928e-06
Iter: 6300, Loss: 6.39128e-06, Loss_0: 8.71615e-07, Loss_b: 9.05521e-07, Loss_f: 4.61415e-06
Iter: 6400, Loss: 1.18762e-04, Loss_0: 2.14137e-05, Loss_b: 1.44573e-06, Loss_f: 9.59029e-05
Iter: 6500, Loss: 5.51392e-06, Loss_0: 6.61023e-07, Loss_b: 5.00079e-07, Loss_f: 4.35282e-06
Iter: 6600, Loss: 3.96423e-05, Loss_0: 6.46575e-06, Loss_b: 1.91794e-05, Loss_f: 1.39972e-05
Iter: 6700, Loss: 5.31383e-06, Loss_0: 6.95335e-07, Loss_b: 5.05129e-07, Loss_f: 4.11336e-06
