Start Training:
Iter: 0, Loss: 3.46408e-02, Loss0: 1.83464e-02, Loss_b: 5.05943e-09, Loss_f: 9.95823e-07, Loss_prev: 1.62934e-02
Iter: 100, Loss: 6.45857e-03, Loss0: 2.08247e-03, Loss_b: 5.52671e-06, Loss_f: 7.63937e-04, Loss_prev: 3.60663e-03
Iter: 200, Loss: 4.73197e-03, Loss0: 1.24269e-03, Loss_b: 7.22105e-07, Loss_f: 6.52045e-04, Loss_prev: 2.83651e-03
Iter: 300, Loss: 3.90564e-03, Loss0: 7.39455e-04, Loss_b: 1.85982e-07, Loss_f: 6.37583e-04, Loss_prev: 2.52841e-03
Iter: 400, Loss: 3.38983e-03, Loss0: 5.11092e-04, Loss_b: 2.51772e-07, Loss_f: 6.04978e-04, Loss_prev: 2.27351e-03
Iter: 500, Loss: 3.01837e-03, Loss0: 4.12811e-04, Loss_b: 4.60866e-07, Loss_f: 5.60937e-04, Loss_prev: 2.04416e-03
Iter: 600, Loss: 2.64569e-03, Loss0: 3.31654e-04, Loss_b: 8.93882e-07, Loss_f: 5.28364e-04, Loss_prev: 1.78478e-03
Iter: 700, Loss: 2.24710e-03, Loss0: 2.49256e-04, Loss_b: 1.83614e-06, Loss_f: 5.26132e-04, Loss_prev: 1.46988e-03
Iter: 800, Loss: 1.87197e-03, Loss0: 1.78763e-04, Loss_b: 1.93417e-06, Loss_f: 5.39877e-04, Loss_prev: 1.15140e-03
Iter: 900, Loss: 1.54020e-03, Loss0: 1.23687e-04, Loss_b: 1.04274e-06, Loss_f: 5.33609e-04, Loss_prev: 8.81859e-04
Iter: 1000, Loss: 1.29320e-03, Loss0: 9.61752e-05, Loss_b: 5.81068e-07, Loss_f: 5.12347e-04, Loss_prev: 6.84100e-04
Iter: 1100, Loss: 1.20570e-03, Loss0: 9.09975e-05, Loss_b: 3.89167e-06, Loss_f: 4.99042e-04, Loss_prev: 6.11766e-04
Iter: 1200, Loss: 9.71067e-04, Loss0: 7.23641e-05, Loss_b: 1.00734e-06, Loss_f: 4.46032e-04, Loss_prev: 4.51663e-04
Iter: 1300, Loss: 9.90023e-04, Loss0: 6.14215e-05, Loss_b: 7.64496e-06, Loss_f: 6.23907e-04, Loss_prev: 2.97049e-04
Iter: 1400, Loss: 7.42630e-04, Loss0: 4.34965e-05, Loss_b: 1.48500e-06, Loss_f: 4.20641e-04, Loss_prev: 2.77007e-04
Iter: 1500, Loss: 6.85531e-04, Loss0: 3.88348e-05, Loss_b: 4.45823e-06, Loss_f: 4.06717e-04, Loss_prev: 2.35522e-04
Iter: 1600, Loss: 7.48629e-04, Loss0: 3.75502e-05, Loss_b: 1.18734e-05, Loss_f: 5.17258e-04, Loss_prev: 1.81948e-04
Iter: 1700, Loss: 1.02528e-03, Loss0: 5.22720e-05, Loss_b: 8.23359e-05, Loss_f: 7.28178e-04, Loss_prev: 1.62492e-04
Iter: 1800, Loss: 8.77585e-04, Loss0: 6.17984e-05, Loss_b: 2.33736e-04, Loss_f: 3.76340e-04, Loss_prev: 2.05710e-04
Iter: 1900, Loss: 4.85223e-04, Loss0: 2.28676e-05, Loss_b: 3.61325e-06, Loss_f: 3.02150e-04, Loss_prev: 1.56592e-04
Iter: 2000, Loss: 6.22985e-04, Loss0: 3.42729e-05, Loss_b: 7.02539e-05, Loss_f: 3.40894e-04, Loss_prev: 1.77564e-04
Iter: 2100, Loss: 1.23826e-03, Loss0: 9.59258e-05, Loss_b: 4.30463e-04, Loss_f: 5.17359e-04, Loss_prev: 1.94512e-04
Iter: 2200, Loss: 5.26403e-04, Loss0: 2.14670e-05, Loss_b: 4.31080e-07, Loss_f: 3.51549e-04, Loss_prev: 1.52955e-04
Iter: 2300, Loss: 5.94418e-04, Loss0: 2.63327e-05, Loss_b: 5.08031e-05, Loss_f: 3.67781e-04, Loss_prev: 1.49501e-04
Iter: 2400, Loss: 4.78587e-04, Loss0: 1.85753e-05, Loss_b: 3.32177e-07, Loss_f: 3.65154e-04, Loss_prev: 9.45262e-05
Iter: 2500, Loss: 6.37681e-04, Loss0: 3.48095e-05, Loss_b: 1.00853e-04, Loss_f: 3.60196e-04, Loss_prev: 1.41821e-04
Iter: 2600, Loss: 6.72536e-04, Loss0: 2.74823e-05, Loss_b: 9.19079e-07, Loss_f: 5.63004e-04, Loss_prev: 8.11306e-05
Iter: 2700, Loss: 3.71413e-04, Loss0: 1.59363e-05, Loss_b: 2.49041e-05, Loss_f: 2.36876e-04, Loss_prev: 9.36967e-05
Iter: 2800, Loss: 3.18486e-04, Loss0: 1.30630e-05, Loss_b: 2.64468e-07, Loss_f: 2.12250e-04, Loss_prev: 9.29081e-05
Iter: 2900, Loss: 3.40507e-04, Loss0: 1.22393e-05, Loss_b: 9.11605e-07, Loss_f: 2.50451e-04, Loss_prev: 7.69054e-05
Iter: 3000, Loss: 3.82568e-04, Loss0: 1.46934e-05, Loss_b: 1.20011e-05, Loss_f: 2.86933e-04, Loss_prev: 6.89410e-05
Iter: 3100, Loss: 3.59021e-04, Loss0: 1.37176e-05, Loss_b: 2.12143e-06, Loss_f: 2.75774e-04, Loss_prev: 6.74080e-05
Iter: 3200, Loss: 2.59046e-04, Loss0: 1.01114e-05, Loss_b: 1.98106e-07, Loss_f: 1.77182e-04, Loss_prev: 7.15548e-05
Iter: 3300, Loss: 3.91708e-04, Loss0: 1.48000e-05, Loss_b: 2.17442e-05, Loss_f: 2.69680e-04, Loss_prev: 8.54833e-05
Iter: 3400, Loss: 2.85024e-04, Loss0: 9.98691e-06, Loss_b: 2.19427e-06, Loss_f: 1.99547e-04, Loss_prev: 7.32957e-05
Iter: 3500, Loss: 3.23635e-04, Loss0: 1.21665e-05, Loss_b: 2.65914e-06, Loss_f: 2.29948e-04, Loss_prev: 7.88610e-05
