Start Training:
Iter: 3900, Loss: 2.47922e-04, Loss_0: 8.95099e-08, Loss_1: 1.52526e-04, Loss_b: 1.19668e-06, Loss_f: 9.41096e-05
Iter: 4000, Loss: 2.22298e-04, Loss_0: 7.64706e-07, Loss_1: 1.41575e-04, Loss_b: 3.37145e-07, Loss_f: 7.96219e-05
Iter: 4100, Loss: 1.87207e-04, Loss_0: 2.21238e-07, Loss_1: 1.12605e-04, Loss_b: 1.03294e-06, Loss_f: 7.33480e-05
Iter: 4200, Loss: 1.56952e-04, Loss_0: 1.20851e-07, Loss_1: 9.23866e-05, Loss_b: 9.31390e-07, Loss_f: 6.35128e-05
Iter: 4300, Loss: 1.29690e-04, Loss_0: 1.59128e-07, Loss_1: 7.56171e-05, Loss_b: 4.79984e-07, Loss_f: 5.34343e-05
Iter: 4400, Loss: 1.11696e-04, Loss_0: 5.39549e-07, Loss_1: 6.26542e-05, Loss_b: 2.53194e-06, Loss_f: 4.59704e-05
Iter: 4500, Loss: 8.93451e-05, Loss_0: 1.83546e-07, Loss_1: 5.06719e-05, Loss_b: 5.71614e-07, Loss_f: 3.79180e-05
Iter: 4600, Loss: 7.14859e-05, Loss_0: 1.41804e-07, Loss_1: 3.99676e-05, Loss_b: 4.91689e-07, Loss_f: 3.08848e-05
Iter: 4700, Loss: 7.53425e-05, Loss_0: 2.63413e-06, Loss_1: 3.33892e-05, Loss_b: 1.20139e-05, Loss_f: 2.73052e-05
Iter: 4800, Loss: 4.91565e-05, Loss_0: 3.01832e-07, Loss_1: 2.71937e-05, Loss_b: 3.48293e-07, Loss_f: 2.13126e-05
Iter: 4900, Loss: 3.94307e-05, Loss_0: 1.56227e-07, Loss_1: 2.12750e-05, Loss_b: 3.24617e-07, Loss_f: 1.76749e-05
Iter: 5000, Loss: 3.19687e-05, Loss_0: 1.34316e-07, Loss_1: 1.68181e-05, Loss_b: 2.65593e-07, Loss_f: 1.47507e-05
Iter: 5100, Loss: 3.09008e-05, Loss_0: 7.43744e-07, Loss_1: 1.66880e-05, Loss_b: 7.25652e-07, Loss_f: 1.27434e-05
Iter: 5200, Loss: 2.36364e-05, Loss_0: 1.70612e-07, Loss_1: 1.19024e-05, Loss_b: 1.57001e-07, Loss_f: 1.14063e-05
Iter: 5300, Loss: 1.96052e-05, Loss_0: 1.16544e-07, Loss_1: 9.55530e-06, Loss_b: 1.25276e-07, Loss_f: 9.80807e-06
Iter: 5400, Loss: 1.42580e-04, Loss_0: 1.32999e-05, Loss_1: 2.57153e-05, Loss_b: 9.42219e-05, Loss_f: 9.34301e-06
Iter: 5500, Loss: 1.53802e-05, Loss_0: 1.57245e-07, Loss_1: 7.20422e-06, Loss_b: 7.24954e-08, Loss_f: 7.94627e-06
Iter: 5600, Loss: 1.29333e-05, Loss_0: 9.99645e-08, Loss_1: 5.80258e-06, Loss_b: 6.72659e-08, Loss_f: 6.96354e-06
Iter: 5700, Loss: 1.11315e-05, Loss_0: 9.44916e-08, Loss_1: 4.80681e-06, Loss_b: 5.92636e-08, Loss_f: 6.17093e-06
Iter: 5800, Loss: 1.34221e-05, Loss_0: 2.04063e-06, Loss_1: 5.14082e-06, Loss_b: 6.68582e-08, Loss_f: 6.17376e-06
Iter: 5900, Loss: 9.27640e-06, Loss_0: 8.25992e-08, Loss_1: 3.93214e-06, Loss_b: 5.19690e-08, Loss_f: 5.20969e-06
Iter: 6000, Loss: 8.06334e-06, Loss_0: 8.04832e-08, Loss_1: 3.27190e-06, Loss_b: 4.69571e-08, Loss_f: 4.66400e-06
Iter: 6100, Loss: 2.50173e-04, Loss_0: 5.66840e-05, Loss_1: 2.08220e-05, Loss_b: 1.54421e-04, Loss_f: 1.82464e-05
Iter: 6200, Loss: 7.34002e-06, Loss_0: 2.16360e-07, Loss_1: 2.86641e-06, Loss_b: 6.95799e-08, Loss_f: 4.18767e-06
Iter: 6300, Loss: 6.10417e-06, Loss_0: 7.46195e-08, Loss_1: 2.35079e-06, Loss_b: 3.71404e-08, Loss_f: 3.64162e-06
Iter: 6400, Loss: 5.35716e-06, Loss_0: 6.20847e-08, Loss_1: 1.98038e-06, Loss_b: 3.24342e-08, Loss_f: 3.28226e-06
Iter: 6500, Loss: 1.19047e-04, Loss_0: 9.90021e-05, Loss_1: 3.22432e-06, Loss_b: 3.61253e-07, Loss_f: 1.64597e-05
Iter: 6600, Loss: 4.66112e-06, Loss_0: 1.07785e-07, Loss_1: 1.74538e-06, Loss_b: 2.60237e-08, Loss_f: 2.78193e-06
Iter: 6700, Loss: 4.05014e-06, Loss_0: 7.04914e-08, Loss_1: 1.44974e-06, Loss_b: 2.08286e-08, Loss_f: 2.50909e-06
Iter: 6800, Loss: 8.28794e-05, Loss_0: 2.26085e-05, Loss_1: 7.92330e-06, Loss_b: 4.52868e-05, Loss_f: 7.06074e-06
Iter: 6900, Loss: 3.61666e-06, Loss_0: 3.05339e-08, Loss_1: 1.29949e-06, Loss_b: 2.20800e-08, Loss_f: 2.26455e-06
Iter: 7000, Loss: 3.14567e-06, Loss_0: 2.86213e-08, Loss_1: 1.08231e-06, Loss_b: 1.38377e-08, Loss_f: 2.02090e-06
Iter: 7100, Loss: 3.75813e-03, Loss_0: 2.54381e-04, Loss_1: 4.02840e-04, Loss_b: 2.94978e-03, Loss_f: 1.51123e-04
Iter: 7200, Loss: 3.05479e-06, Loss_0: 2.92506e-08, Loss_1: 1.12309e-06, Loss_b: 9.21343e-08, Loss_f: 1.81032e-06
Iter: 7300, Loss: 1.68385e-04, Loss_0: 1.43458e-04, Loss_1: 1.41671e-06, Loss_b: 3.96764e-06, Loss_f: 1.95422e-05
Iter: 7400, Loss: 2.54582e-06, Loss_0: 9.96277e-08, Loss_1: 7.13635e-07, Loss_b: 1.77128e-07, Loss_f: 1.55543e-06
Iter: 7500, Loss: 3.76055e-06, Loss_0: 2.33940e-07, Loss_1: 1.05977e-06, Loss_b: 1.02811e-06, Loss_f: 1.43874e-06
Iter: 7600, Loss: 1.99134e-06, Loss_0: 2.72652e-08, Loss_1: 6.24442e-07, Loss_b: 1.07183e-08, Loss_f: 1.32892e-06
Iter: 7700, Loss: 4.60688e-06, Loss_0: 1.10906e-07, Loss_1: 1.27164e-06, Loss_b: 1.86540e-06, Loss_f: 1.35893e-06
Iter: 7800, Loss: 1.81826e-06, Loss_0: 1.99477e-08, Loss_1: 5.69410e-07, Loss_b: 3.48075e-09, Loss_f: 1.22542e-06
Iter: 7900, Loss: 2.48805e-03, Loss_0: 2.01413e-04, Loss_1: 2.62591e-04, Loss_b: 1.93184e-03, Loss_f: 9.22090e-05
Iter: 8000, Loss: 1.81487e-06, Loss_0: 3.25394e-08, Loss_1: 5.37816e-07, Loss_b: 4.35796e-08, Loss_f: 1.20094e-06
Iter: 8100, Loss: 1.52140e-06, Loss_0: 1.99366e-08, Loss_1: 4.56534e-07, Loss_b: 1.34973e-09, Loss_f: 1.04358e-06
Iter: 8200, Loss: 6.46482e-04, Loss_0: 6.47512e-05, Loss_1: 7.49916e-05, Loss_b: 4.78753e-04, Loss_f: 2.79861e-05
Iter: 8300, Loss: 3.22156e-05, Loss_0: 2.32760e-05, Loss_1: 1.19018e-06, Loss_b: 3.30102e-06, Loss_f: 4.44836e-06
Iter: 8400, Loss: 1.37249e-06, Loss_0: 3.30680e-08, Loss_1: 4.00774e-07, Loss_b: 1.14927e-09, Loss_f: 9.37503e-07
Iter: 8500, Loss: 1.24158e-06, Loss_0: 2.40547e-08, Loss_1: 3.48134e-07, Loss_b: 8.05761e-10, Loss_f: 8.68590e-07
Iter: 8600, Loss: 5.46859e-05, Loss_0: 4.29965e-05, Loss_1: 2.37246e-06, Loss_b: 1.55158e-08, Loss_f: 9.30143e-06
Iter: 8700, Loss: 1.29559e-06, Loss_0: 3.59763e-08, Loss_1: 4.03593e-07, Loss_b: 3.85270e-10, Loss_f: 8.55639e-07
Iter: 8800, Loss: 1.11807e-06, Loss_0: 2.81405e-08, Loss_1: 3.24575e-07, Loss_b: 5.32500e-10, Loss_f: 7.64821e-07
Iter: 8900, Loss: 2.60533e-05, Loss_0: 7.77192e-06, Loss_1: 4.33837e-06, Loss_b: 1.02166e-05, Loss_f: 3.72646e-06
Iter: 9000, Loss: 1.35440e-06, Loss_0: 2.68069e-08, Loss_1: 4.37154e-07, Loss_b: 1.70726e-09, Loss_f: 8.88731e-07
Iter: 9100, Loss: 1.16230e-06, Loss_0: 2.19113e-08, Loss_1: 3.44236e-07, Loss_b: 1.39356e-09, Loss_f: 7.94754e-07
Iter: 9200, Loss: 1.06444e-06, Loss_0: 1.99065e-08, Loss_1: 3.00049e-07, Loss_b: 2.05123e-09, Loss_f: 7.42429e-07
Iter: 9300, Loss: 9.98433e-07, Loss_0: 1.94548e-08, Loss_1: 2.75053e-07, Loss_b: 2.50566e-09, Loss_f: 7.01419e-07
Iter: 9400, Loss: 6.51937e-06, Loss_0: 1.45286e-07, Loss_1: 7.88099e-07, Loss_b: 4.19238e-06, Loss_f: 1.39361e-06
Iter: 9500, Loss: 5.03432e-06, Loss_0: 2.26352e-07, Loss_1: 6.58471e-07, Loss_b: 2.67645e-06, Loss_f: 1.47305e-06
Iter: 9600, Loss: 9.29464e-07, Loss_0: 2.08500e-08, Loss_1: 2.62232e-07, Loss_b: 2.40163e-09, Loss_f: 6.43980e-07
Iter: 9700, Loss: 9.48283e-06, Loss_0: 2.69997e-06, Loss_1: 1.29063e-06, Loss_b: 2.93709e-06, Loss_f: 2.55514e-06
Iter: 9800, Loss: 9.45742e-07, Loss_0: 1.94443e-08, Loss_1: 2.80731e-07, Loss_b: 1.44983e-09, Loss_f: 6.44117e-07
Iter: 9900, Loss: 4.27412e-04, Loss_0: 8.46942e-07, Loss_1: 5.80623e-05, Loss_b: 3.48116e-04, Loss_f: 2.03875e-05
Iter: 10000, Loss: 9.84921e-07, Loss_0: 2.19594e-08, Loss_1: 2.88492e-07, Loss_b: 1.32749e-08, Loss_f: 6.61194e-07
Iter: 10100, Loss: 8.72471e-07, Loss_0: 1.96749e-08, Loss_1: 2.53411e-07, Loss_b: 2.93474e-09, Loss_f: 5.96450e-07
Iter: 10200, Loss: 5.37771e-04, Loss_0: 7.09056e-06, Loss_1: 6.07894e-05, Loss_b: 4.25507e-04, Loss_f: 4.43832e-05
Iter: 10300, Loss: 1.15869e-06, Loss_0: 2.02025e-08, Loss_1: 3.69878e-07, Loss_b: 1.82746e-08, Loss_f: 7.50332e-07
Iter: 10400, Loss: 9.43006e-07, Loss_0: 1.83862e-08, Loss_1: 2.89179e-07, Loss_b: 3.04140e-09, Loss_f: 6.32400e-07
Iter: 10500, Loss: 6.93049e-06, Loss_0: 2.84227e-06, Loss_1: 8.39894e-07, Loss_b: 2.00325e-07, Loss_f: 3.04799e-06
Iter: 10600, Loss: 2.56657e-06, Loss_0: 2.46314e-07, Loss_1: 3.85889e-07, Loss_b: 1.23908e-06, Loss_f: 6.95285e-07
Iter: 10700, Loss: 9.91420e-07, Loss_0: 2.61171e-08, Loss_1: 2.59034e-07, Loss_b: 6.97254e-08, Loss_f: 6.36543e-07
Iter: 10800, Loss: 8.33519e-07, Loss_0: 1.86387e-08, Loss_1: 2.42849e-07, Loss_b: 4.74001e-09, Loss_f: 5.67292e-07
Iter: 10900, Loss: 8.27769e-06, Loss_0: 8.20681e-07, Loss_1: 1.34075e-06, Loss_b: 4.55484e-06, Loss_f: 1.56142e-06
Iter: 11000, Loss: 8.52464e-07, Loss_0: 1.82522e-08, Loss_1: 2.57966e-07, Loss_b: 3.72312e-09, Loss_f: 5.72522e-07
