Start Training:
Iter: 3900, Loss: 8.50260e-05, Loss_0: 2.49002e-05, Loss_1: 1.52685e-05, Loss_b: 2.22846e-07, Loss_f: 4.46345e-05
Iter: 4000, Loss: 7.57261e-05, Loss_0: 2.49005e-05, Loss_1: 1.19884e-05, Loss_b: 2.72812e-07, Loss_f: 3.85643e-05
Iter: 4100, Loss: 8.32051e-05, Loss_0: 2.49499e-05, Loss_1: 1.52597e-05, Loss_b: 1.15713e-05, Loss_f: 3.14242e-05
Iter: 4200, Loss: 6.17313e-05, Loss_0: 2.49103e-05, Loss_1: 7.92424e-06, Loss_b: 4.27595e-07, Loss_f: 2.84692e-05
Iter: 4300, Loss: 5.47113e-05, Loss_0: 2.49043e-05, Loss_1: 5.77522e-06, Loss_b: 5.08335e-07, Loss_f: 2.35235e-05
Iter: 4400, Loss: 3.80871e-04, Loss_0: 1.96964e-04, Loss_1: 1.58449e-05, Loss_b: 8.62883e-05, Loss_f: 8.17740e-05
Iter: 4500, Loss: 4.56601e-05, Loss_0: 2.49412e-05, Loss_1: 4.07477e-06, Loss_b: 6.58090e-07, Loss_f: 1.59860e-05
Iter: 4600, Loss: 4.13636e-04, Loss_0: 1.83713e-04, Loss_1: 2.03219e-05, Loss_b: 1.44663e-04, Loss_f: 6.49377e-05
Iter: 4700, Loss: 4.07673e-05, Loss_0: 2.49372e-05, Loss_1: 3.31012e-06, Loss_b: 8.04393e-07, Loss_f: 1.17155e-05
Iter: 4800, Loss: 3.86814e-05, Loss_0: 2.49162e-05, Loss_1: 2.61898e-06, Loss_b: 7.97599e-07, Loss_f: 1.03486e-05
Iter: 4900, Loss: 3.84405e-05, Loss_0: 2.51968e-05, Loss_1: 2.50471e-06, Loss_b: 1.12613e-06, Loss_f: 9.61285e-06
Iter: 5000, Loss: 2.65002e-04, Loss_0: 1.55713e-04, Loss_1: 1.26870e-05, Loss_b: 6.09873e-05, Loss_f: 3.56145e-05
Iter: 5100, Loss: 3.64281e-05, Loss_0: 2.49414e-05, Loss_1: 2.46375e-06, Loss_b: 8.93699e-07, Loss_f: 8.12928e-06
Iter: 5200, Loss: 3.56672e-05, Loss_0: 2.49209e-05, Loss_1: 2.20676e-06, Loss_b: 8.67449e-07, Loss_f: 7.67211e-06
Iter: 5300, Loss: 1.40444e-04, Loss_0: 5.20192e-05, Loss_1: 7.01049e-06, Loss_b: 6.72159e-05, Loss_f: 1.41981e-05
Iter: 5400, Loss: 3.52543e-05, Loss_0: 2.49288e-05, Loss_1: 2.13721e-06, Loss_b: 8.66342e-07, Loss_f: 7.32202e-06
Iter: 5500, Loss: 3.57917e-05, Loss_0: 2.52811e-05, Loss_1: 2.17850e-06, Loss_b: 1.47523e-06, Loss_f: 6.85689e-06
Iter: 5600, Loss: 3.44194e-05, Loss_0: 2.49265e-05, Loss_1: 1.98395e-06, Loss_b: 8.97534e-07, Loss_f: 6.61136e-06
Iter: 5700, Loss: 6.48746e-05, Loss_0: 3.76789e-05, Loss_1: 5.61516e-06, Loss_b: 1.11841e-05, Loss_f: 1.03965e-05
Iter: 5800, Loss: 3.42602e-05, Loss_0: 2.49319e-05, Loss_1: 2.02491e-06, Loss_b: 8.99405e-07, Loss_f: 6.40399e-06
Iter: 5900, Loss: 1.54789e-04, Loss_0: 1.02953e-04, Loss_1: 3.58863e-06, Loss_b: 4.05346e-06, Loss_f: 4.41938e-05
Iter: 6000, Loss: 4.37280e-04, Loss_0: 9.56917e-05, Loss_1: 3.34865e-05, Loss_b: 2.61997e-04, Loss_f: 4.61053e-05
Iter: 6100, Loss: 3.36365e-05, Loss_0: 2.49611e-05, Loss_1: 1.78313e-06, Loss_b: 9.68119e-07, Loss_f: 5.92412e-06
Iter: 6200, Loss: 5.06442e-05, Loss_0: 3.29562e-05, Loss_1: 3.17221e-06, Loss_b: 6.36168e-06, Loss_f: 8.15404e-06
Iter: 6300, Loss: 3.34213e-05, Loss_0: 2.49291e-05, Loss_1: 1.78365e-06, Loss_b: 9.15801e-07, Loss_f: 5.79274e-06
Iter: 6400, Loss: 3.08413e-03, Loss_0: 3.41191e-04, Loss_1: 2.52809e-04, Loss_b: 2.15931e-03, Loss_f: 3.30812e-04
Iter: 6500, Loss: 3.35641e-05, Loss_0: 2.49155e-05, Loss_1: 1.87758e-06, Loss_b: 8.75876e-07, Loss_f: 5.89513e-06
Iter: 6600, Loss: 3.36117e-05, Loss_0: 2.51882e-05, Loss_1: 1.57862e-06, Loss_b: 1.20795e-06, Loss_f: 5.63696e-06
