Start Training:
Iter: 3900, Loss: 8.28909e-03, Loss_0: 5.12681e-03, Loss_1: 2.99726e-03, Loss_b: 1.61125e-05, Loss_f: 1.48905e-04
Iter: 4000, Loss: 7.92968e-03, Loss_0: 5.12419e-03, Loss_1: 2.63136e-03, Loss_b: 2.12209e-05, Loss_f: 1.52906e-04
Iter: 4100, Loss: 7.65887e-03, Loss_0: 5.13033e-03, Loss_1: 2.36237e-03, Loss_b: 3.60094e-05, Loss_f: 1.30156e-04
Iter: 4200, Loss: 7.27739e-03, Loss_0: 5.12207e-03, Loss_1: 1.97690e-03, Loss_b: 2.39059e-05, Loss_f: 1.54513e-04
Iter: 4300, Loss: 6.99310e-03, Loss_0: 5.11398e-03, Loss_1: 1.71382e-03, Loss_b: 1.30567e-05, Loss_f: 1.52241e-04
Iter: 4400, Loss: 6.82661e-03, Loss_0: 5.10239e-03, Loss_1: 1.55432e-03, Loss_b: 6.96770e-06, Loss_f: 1.62928e-04
Iter: 4500, Loss: 6.89142e-03, Loss_0: 5.09850e-03, Loss_1: 1.51568e-03, Loss_b: 1.24837e-04, Loss_f: 1.52414e-04
Iter: 4600, Loss: 6.64757e-03, Loss_0: 5.07097e-03, Loss_1: 1.41533e-03, Loss_b: 3.56990e-06, Loss_f: 1.57700e-04
Iter: 4700, Loss: 6.58766e-03, Loss_0: 5.06408e-03, Loss_1: 1.36719e-03, Loss_b: 2.85766e-06, Loss_f: 1.53533e-04
Iter: 4800, Loss: 6.54338e-03, Loss_0: 5.06158e-03, Loss_1: 1.33206e-03, Loss_b: 2.35192e-06, Loss_f: 1.47383e-04
Iter: 4900, Loss: 6.51344e-03, Loss_0: 5.06003e-03, Loss_1: 1.31381e-03, Loss_b: 2.13934e-06, Loss_f: 1.37465e-04
Iter: 5000, Loss: 6.48295e-03, Loss_0: 5.05783e-03, Loss_1: 1.28811e-03, Loss_b: 1.62338e-06, Loss_f: 1.35383e-04
Iter: 5100, Loss: 6.92299e-03, Loss_0: 5.06234e-03, Loss_1: 1.38612e-03, Loss_b: 3.60187e-04, Loss_f: 1.14342e-04
Iter: 5200, Loss: 6.44077e-03, Loss_0: 5.05152e-03, Loss_1: 1.26320e-03, Loss_b: 1.20651e-06, Loss_f: 1.24835e-04
Iter: 5300, Loss: 6.41315e-03, Loss_0: 5.03996e-03, Loss_1: 1.24980e-03, Loss_b: 1.01518e-06, Loss_f: 1.22386e-04
Iter: 5400, Loss: 6.38636e-03, Loss_0: 5.02640e-03, Loss_1: 1.23846e-03, Loss_b: 9.01922e-07, Loss_f: 1.20595e-04
Iter: 5500, Loss: 6.40097e-03, Loss_0: 5.02966e-03, Loss_1: 1.24714e-03, Loss_b: 1.18105e-05, Loss_f: 1.12362e-04
Iter: 5600, Loss: 6.34215e-03, Loss_0: 4.99644e-03, Loss_1: 1.22846e-03, Loss_b: 7.76177e-07, Loss_f: 1.16476e-04
Iter: 5700, Loss: 6.32123e-03, Loss_0: 4.98259e-03, Loss_1: 1.22108e-03, Loss_b: 7.13757e-07, Loss_f: 1.16844e-04
Iter: 5800, Loss: 6.30233e-03, Loss_0: 4.96996e-03, Loss_1: 1.21490e-03, Loss_b: 6.71771e-07, Loss_f: 1.16802e-04
