Start Training:
Iter: 0, Loss: 4.99677e-01, Loss_0: 1.04937e-01, Loss_1: 4.99777e-02, Loss_b: 3.32058e-01, Loss_f: 1.27050e-02
Iter: 100, Loss: 1.13289e-02, Loss_0: 3.97061e-06, Loss_1: 1.13206e-02, Loss_b: 1.43818e-06, Loss_f: 2.87172e-06
Iter: 200, Loss: 1.08847e-02, Loss_0: 2.62555e-07, Loss_1: 1.08751e-02, Loss_b: 5.16741e-06, Loss_f: 4.09227e-06
Iter: 300, Loss: 1.00055e-02, Loss_0: 8.59184e-07, Loss_1: 9.99054e-03, Loss_b: 4.33766e-06, Loss_f: 9.76264e-06
Iter: 400, Loss: 8.32159e-03, Loss_0: 2.85233e-07, Loss_1: 8.25966e-03, Loss_b: 1.67226e-06, Loss_f: 5.99738e-05
Iter: 500, Loss: 7.74158e-03, Loss_0: 1.21134e-07, Loss_1: 7.64123e-03, Loss_b: 2.49989e-06, Loss_f: 9.77265e-05
Iter: 600, Loss: 7.49605e-03, Loss_0: 1.60956e-07, Loss_1: 7.40387e-03, Loss_b: 5.42033e-06, Loss_f: 8.66068e-05
Iter: 700, Loss: 7.24277e-03, Loss_0: 2.37302e-07, Loss_1: 7.13104e-03, Loss_b: 1.02171e-05, Loss_f: 1.01278e-04
Iter: 800, Loss: 7.02734e-03, Loss_0: 2.68813e-07, Loss_1: 6.88136e-03, Loss_b: 2.04345e-05, Loss_f: 1.25277e-04
Iter: 900, Loss: 6.86401e-03, Loss_0: 2.05415e-07, Loss_1: 6.70317e-03, Loss_b: 2.51415e-05, Loss_f: 1.35496e-04
Iter: 1000, Loss: 6.72557e-03, Loss_0: 1.50006e-07, Loss_1: 6.57004e-03, Loss_b: 1.98287e-05, Loss_f: 1.35549e-04
Iter: 1100, Loss: 6.83051e-03, Loss_0: 8.56033e-05, Loss_1: 6.47237e-03, Loss_b: 1.18677e-04, Loss_f: 1.53862e-04
Iter: 1200, Loss: 6.44970e-03, Loss_0: 1.89786e-07, Loss_1: 6.31278e-03, Loss_b: 5.51422e-06, Loss_f: 1.31211e-04
Iter: 1300, Loss: 6.23718e-03, Loss_0: 4.52851e-07, Loss_1: 6.11526e-03, Loss_b: 1.81179e-07, Loss_f: 1.21287e-04
Iter: 1400, Loss: 6.25648e-03, Loss_0: 5.98779e-06, Loss_1: 5.88149e-03, Loss_b: 2.30964e-04, Loss_f: 1.38039e-04
Iter: 1500, Loss: 5.58767e-03, Loss_0: 1.63080e-06, Loss_1: 5.41565e-03, Loss_b: 2.34942e-05, Loss_f: 1.46900e-04
