Start Training:
Iter: 3900, Loss: 3.63082e-04, Loss_0: 9.17872e-05, Loss_b: 3.24533e-06, Loss_f: 2.49466e-05, Loss_s: 2.43103e-04
Iter: 4000, Loss: 3.52751e-04, Loss_0: 9.32146e-05, Loss_b: 3.35705e-08, Loss_f: 2.52387e-05, Loss_s: 2.34265e-04
Iter: 4100, Loss: 3.47337e-04, Loss_0: 9.08083e-05, Loss_b: 6.21526e-08, Loss_f: 2.49235e-05, Loss_s: 2.31543e-04
Iter: 4200, Loss: 3.91567e-04, Loss_0: 8.08032e-05, Loss_b: 3.77342e-05, Loss_f: 2.43010e-05, Loss_s: 2.48728e-04
Iter: 4300, Loss: 3.38128e-04, Loss_0: 8.69118e-05, Loss_b: 1.64839e-07, Loss_f: 2.41453e-05, Loss_s: 2.26906e-04
Iter: 4400, Loss: 3.33292e-04, Loss_0: 8.45266e-05, Loss_b: 1.86347e-07, Loss_f: 2.33398e-05, Loss_s: 2.25240e-04
Iter: 4500, Loss: 3.28676e-04, Loss_0: 8.25109e-05, Loss_b: 2.39288e-07, Loss_f: 2.26773e-05, Loss_s: 2.23248e-04
Iter: 4600, Loss: 3.77049e-04, Loss_0: 7.62370e-05, Loss_b: 3.82778e-05, Loss_f: 2.48742e-05, Loss_s: 2.37660e-04
Iter: 4700, Loss: 3.20647e-04, Loss_0: 7.89189e-05, Loss_b: 2.94779e-07, Loss_f: 2.13205e-05, Loss_s: 2.20113e-04
Iter: 4800, Loss: 3.16587e-04, Loss_0: 7.71109e-05, Loss_b: 3.23922e-07, Loss_f: 2.04001e-05, Loss_s: 2.18752e-04
Iter: 4900, Loss: 3.14665e-04, Loss_0: 7.45136e-05, Loss_b: 6.52208e-07, Loss_f: 2.14627e-05, Loss_s: 2.18036e-04
Iter: 5000, Loss: 3.40497e-04, Loss_0: 8.74227e-05, Loss_b: 1.07825e-05, Loss_f: 2.01589e-05, Loss_s: 2.22133e-04
Iter: 5100, Loss: 3.06111e-04, Loss_0: 7.24232e-05, Loss_b: 3.56428e-07, Loss_f: 1.80390e-05, Loss_s: 2.15292e-04
Iter: 5200, Loss: 3.02859e-04, Loss_0: 7.09333e-05, Loss_b: 3.63558e-07, Loss_f: 1.73928e-05, Loss_s: 2.14169e-04
Iter: 5300, Loss: 3.02832e-04, Loss_0: 7.18175e-05, Loss_b: 1.44868e-06, Loss_f: 1.79833e-05, Loss_s: 2.11582e-04
Iter: 5400, Loss: 2.97615e-04, Loss_0: 6.84888e-05, Loss_b: 3.28038e-07, Loss_f: 1.61717e-05, Loss_s: 2.12626e-04
Iter: 5500, Loss: 2.94992e-04, Loss_0: 6.72169e-05, Loss_b: 3.26127e-07, Loss_f: 1.58394e-05, Loss_s: 2.11609e-04
Iter: 5600, Loss: 3.96284e-04, Loss_0: 9.71782e-05, Loss_b: 1.84023e-05, Loss_f: 4.41980e-05, Loss_s: 2.36506e-04
Iter: 5700, Loss: 2.90656e-04, Loss_0: 6.50936e-05, Loss_b: 2.53056e-07, Loss_f: 1.49131e-05, Loss_s: 2.10396e-04
Iter: 5800, Loss: 2.88487e-04, Loss_0: 6.40165e-05, Loss_b: 2.52353e-07, Loss_f: 1.46918e-05, Loss_s: 2.09527e-04
Iter: 5900, Loss: 2.86477e-04, Loss_0: 6.29617e-05, Loss_b: 2.46706e-07, Loss_f: 1.45866e-05, Loss_s: 2.08682e-04
Iter: 6000, Loss: 4.03151e-04, Loss_0: 8.80840e-05, Loss_b: 8.90455e-05, Loss_f: 1.89803e-05, Loss_s: 2.07042e-04
Iter: 6100, Loss: 2.83061e-04, Loss_0: 6.12977e-05, Loss_b: 2.11739e-07, Loss_f: 1.43316e-05, Loss_s: 2.07220e-04
Iter: 6200, Loss: 2.81305e-04, Loss_0: 6.02550e-05, Loss_b: 1.96713e-07, Loss_f: 1.42157e-05, Loss_s: 2.06638e-04
Iter: 6300, Loss: 2.79652e-04, Loss_0: 5.93249e-05, Loss_b: 1.84205e-07, Loss_f: 1.41827e-05, Loss_s: 2.05960e-04
Iter: 6400, Loss: 2.78612e-04, Loss_0: 5.84470e-05, Loss_b: 1.92504e-07, Loss_f: 1.40226e-05, Loss_s: 2.05950e-04
Iter: 6500, Loss: 2.76914e-04, Loss_0: 5.79186e-05, Loss_b: 1.49722e-07, Loss_f: 1.39395e-05, Loss_s: 2.04906e-04
Iter: 6600, Loss: 2.75483e-04, Loss_0: 5.70867e-05, Loss_b: 1.40686e-07, Loss_f: 1.40004e-05, Loss_s: 2.04255e-04
Iter: 6700, Loss: 3.06512e-04, Loss_0: 6.45871e-05, Loss_b: 1.15567e-06, Loss_f: 2.56304e-05, Loss_s: 2.15139e-04
Iter: 6800, Loss: 2.73158e-04, Loss_0: 5.60341e-05, Loss_b: 1.00039e-07, Loss_f: 1.36671e-05, Loss_s: 2.03357e-04
Iter: 6900, Loss: 2.71884e-04, Loss_0: 5.51422e-05, Loss_b: 9.97373e-08, Loss_f: 1.38286e-05, Loss_s: 2.02814e-04
Iter: 7000, Loss: 2.70683e-04, Loss_0: 5.44714e-05, Loss_b: 9.34093e-08, Loss_f: 1.39107e-05, Loss_s: 2.02207e-04
Iter: 7100, Loss: 3.00357e-04, Loss_0: 4.95075e-05, Loss_b: 2.15823e-05, Loss_f: 1.60154e-05, Loss_s: 2.13252e-04
Iter: 7200, Loss: 2.68654e-04, Loss_0: 5.34059e-05, Loss_b: 7.42713e-08, Loss_f: 1.38587e-05, Loss_s: 2.01315e-04
Iter: 7300, Loss: 2.67522e-04, Loss_0: 5.28259e-05, Loss_b: 6.75932e-08, Loss_f: 1.39041e-05, Loss_s: 2.00724e-04
