Start Training:
Iter: 0, Loss: 7.82934e-03, Loss0: 6.49644e-03, Loss_b: 2.36186e-09, Loss_f: 8.19454e-08, Loss_prev: 1.33282e-03
Iter: 100, Loss: 1.58382e-04, Loss0: 1.74491e-05, Loss_b: 9.25510e-08, Loss_f: 4.49621e-05, Loss_prev: 9.58779e-05
Iter: 200, Loss: 1.32407e-04, Loss0: 1.00861e-05, Loss_b: 4.61015e-08, Loss_f: 3.81963e-05, Loss_prev: 8.40786e-05
Iter: 300, Loss: 1.08137e-04, Loss0: 7.51615e-06, Loss_b: 5.60773e-07, Loss_f: 3.52079e-05, Loss_prev: 6.48520e-05
Iter: 400, Loss: 9.08451e-05, Loss0: 6.09074e-06, Loss_b: 3.15780e-07, Loss_f: 2.81966e-05, Loss_prev: 5.62419e-05
Iter: 500, Loss: 8.62941e-05, Loss0: 5.84051e-06, Loss_b: 1.92672e-06, Loss_f: 2.89706e-05, Loss_prev: 4.95563e-05
Iter: 600, Loss: 8.25155e-05, Loss0: 5.18300e-06, Loss_b: 1.30677e-06, Loss_f: 3.44555e-05, Loss_prev: 4.15702e-05
Iter: 700, Loss: 6.79537e-05, Loss0: 4.69196e-06, Loss_b: 7.95808e-07, Loss_f: 2.17457e-05, Loss_prev: 4.07203e-05
Iter: 800, Loss: 6.25519e-05, Loss0: 4.46962e-06, Loss_b: 7.52425e-07, Loss_f: 2.07768e-05, Loss_prev: 3.65530e-05
Iter: 900, Loss: 6.28453e-05, Loss0: 5.30991e-06, Loss_b: 9.58744e-07, Loss_f: 1.65726e-05, Loss_prev: 4.00041e-05
Iter: 1000, Loss: 4.89127e-05, Loss0: 4.21880e-06, Loss_b: 3.84897e-07, Loss_f: 1.54826e-05, Loss_prev: 2.88264e-05
Iter: 1100, Loss: 4.50709e-05, Loss0: 4.11481e-06, Loss_b: 2.83639e-07, Loss_f: 1.38443e-05, Loss_prev: 2.68282e-05
Iter: 1200, Loss: 4.26260e-05, Loss0: 3.92133e-06, Loss_b: 7.59614e-07, Loss_f: 1.23713e-05, Loss_prev: 2.55737e-05
Iter: 1300, Loss: 5.67557e-05, Loss0: 1.78181e-05, Loss_b: 2.91299e-07, Loss_f: 1.78235e-05, Loss_prev: 2.08228e-05
Iter: 1400, Loss: 3.63393e-05, Loss0: 5.02298e-06, Loss_b: 1.91278e-07, Loss_f: 1.03592e-05, Loss_prev: 2.07658e-05
Iter: 1500, Loss: 5.55186e-05, Loss0: 6.12948e-06, Loss_b: 6.11419e-06, Loss_f: 2.55164e-05, Loss_prev: 1.77585e-05
Iter: 1600, Loss: 3.00477e-05, Loss0: 4.01240e-06, Loss_b: 8.53917e-08, Loss_f: 9.67840e-06, Loss_prev: 1.62715e-05
Iter: 1700, Loss: 2.69698e-05, Loss0: 3.64832e-06, Loss_b: 1.48239e-07, Loss_f: 9.03989e-06, Loss_prev: 1.41333e-05
