Start Training:
Iter: 0, Loss: 3.94998e-01, Loss0: 2.35197e-01, Loss_b: 4.64047e-02, Loss_f: 1.13397e-01, Loss_prev: 0.00000e+00
Iter: 100, Loss: 1.58369e-02, Loss0: 1.57073e-02, Loss_b: 4.91128e-05, Loss_f: 8.05606e-05, Loss_prev: 0.00000e+00
Iter: 200, Loss: 1.53163e-02, Loss0: 1.51300e-02, Loss_b: 8.22894e-05, Loss_f: 1.03991e-04, Loss_prev: 0.00000e+00
Iter: 300, Loss: 1.48265e-02, Loss0: 1.46052e-02, Loss_b: 7.27759e-05, Loss_f: 1.48584e-04, Loss_prev: 0.00000e+00
Iter: 400, Loss: 1.45859e-02, Loss0: 1.44582e-02, Loss_b: 3.61386e-05, Loss_f: 9.15263e-05, Loss_prev: 0.00000e+00
Iter: 500, Loss: 1.44837e-02, Loss0: 1.43801e-02, Loss_b: 2.17984e-05, Loss_f: 8.17523e-05, Loss_prev: 0.00000e+00
Iter: 600, Loss: 1.44184e-02, Loss0: 1.43119e-02, Loss_b: 1.92564e-05, Loss_f: 8.72577e-05, Loss_prev: 0.00000e+00
Iter: 700, Loss: 1.43773e-02, Loss0: 1.42482e-02, Loss_b: 3.24113e-05, Loss_f: 9.66885e-05, Loss_prev: 0.00000e+00
Iter: 800, Loss: 1.43072e-02, Loss0: 1.41824e-02, Loss_b: 2.05494e-05, Loss_f: 1.04247e-04, Loss_prev: 0.00000e+00
Iter: 900, Loss: 1.42336e-02, Loss0: 1.40983e-02, Loss_b: 2.22944e-05, Loss_f: 1.13085e-04, Loss_prev: 0.00000e+00
Iter: 1000, Loss: 1.41054e-02, Loss0: 1.39545e-02, Loss_b: 2.78803e-05, Loss_f: 1.22942e-04, Loss_prev: 0.00000e+00
Iter: 1100, Loss: 1.38539e-02, Loss0: 1.35558e-02, Loss_b: 1.33217e-04, Loss_f: 1.64911e-04, Loss_prev: 0.00000e+00
Iter: 1200, Loss: 1.24457e-02, Loss0: 1.19415e-02, Loss_b: 1.03519e-04, Loss_f: 4.00669e-04, Loss_prev: 0.00000e+00
Iter: 1300, Loss: 8.74081e-03, Loss0: 7.87981e-03, Loss_b: 7.38278e-05, Loss_f: 7.87171e-04, Loss_prev: 0.00000e+00
Iter: 1400, Loss: 6.68977e-03, Loss0: 5.72641e-03, Loss_b: 1.22785e-05, Loss_f: 9.51074e-04, Loss_prev: 0.00000e+00
Iter: 1500, Loss: 6.15031e-03, Loss0: 5.18174e-03, Loss_b: 2.23378e-05, Loss_f: 9.46235e-04, Loss_prev: 0.00000e+00
Iter: 1600, Loss: 5.44263e-03, Loss0: 4.58129e-03, Loss_b: 1.29121e-05, Loss_f: 8.48424e-04, Loss_prev: 0.00000e+00
Iter: 1700, Loss: 4.70142e-03, Loss0: 4.01561e-03, Loss_b: 5.85373e-05, Loss_f: 6.27278e-04, Loss_prev: 0.00000e+00
Iter: 1800, Loss: 3.72785e-03, Loss0: 3.15572e-03, Loss_b: 6.64880e-06, Loss_f: 5.65477e-04, Loss_prev: 0.00000e+00
Iter: 1900, Loss: 2.83835e-03, Loss0: 2.45759e-03, Loss_b: 6.15551e-06, Loss_f: 3.74604e-04, Loss_prev: 0.00000e+00
Iter: 2000, Loss: 2.53166e-03, Loss0: 2.21196e-03, Loss_b: 5.84731e-06, Loss_f: 3.13852e-04, Loss_prev: 0.00000e+00
Iter: 2100, Loss: 2.14040e-03, Loss0: 1.85522e-03, Loss_b: 2.24002e-06, Loss_f: 2.82942e-04, Loss_prev: 0.00000e+00
Iter: 2200, Loss: 2.17648e-03, Loss0: 1.75470e-03, Loss_b: 7.26271e-05, Loss_f: 3.49148e-04, Loss_prev: 0.00000e+00
Iter: 2300, Loss: 1.81569e-03, Loss0: 1.45767e-03, Loss_b: 2.74514e-05, Loss_f: 3.30560e-04, Loss_prev: 0.00000e+00
Iter: 2400, Loss: 1.90276e-03, Loss0: 1.22945e-03, Loss_b: 1.25994e-04, Loss_f: 5.47316e-04, Loss_prev: 0.00000e+00
Iter: 2500, Loss: 1.69968e-03, Loss0: 1.10752e-03, Loss_b: 1.03333e-04, Loss_f: 4.88822e-04, Loss_prev: 0.00000e+00
Iter: 2600, Loss: 1.09873e-03, Loss0: 8.45338e-04, Loss_b: 3.23754e-06, Loss_f: 2.50153e-04, Loss_prev: 0.00000e+00
Iter: 2700, Loss: 3.76241e-03, Loss0: 7.45434e-04, Loss_b: 9.51942e-04, Loss_f: 2.06503e-03, Loss_prev: 0.00000e+00
Iter: 2800, Loss: 8.66101e-04, Loss0: 5.68070e-04, Loss_b: 1.93170e-05, Loss_f: 2.78714e-04, Loss_prev: 0.00000e+00
Iter: 2900, Loss: 8.44952e-04, Loss0: 4.36725e-04, Loss_b: 4.55354e-05, Loss_f: 3.62692e-04, Loss_prev: 0.00000e+00
Iter: 3000, Loss: 6.48871e-04, Loss0: 3.77530e-04, Loss_b: 2.25079e-05, Loss_f: 2.48834e-04, Loss_prev: 0.00000e+00
Iter: 3100, Loss: 5.32109e-04, Loss0: 3.09634e-04, Loss_b: 6.95549e-06, Loss_f: 2.15519e-04, Loss_prev: 0.00000e+00
Iter: 3200, Loss: 4.73021e-04, Loss0: 2.76427e-04, Loss_b: 2.10386e-06, Loss_f: 1.94490e-04, Loss_prev: 0.00000e+00
