Start Training:
Iter: 0, Loss: 4.64697e-03, Loss0: 3.63911e-03, Loss_b: 1.35317e-09, Loss_f: 6.46834e-07, Loss_prev: 1.00722e-03
Iter: 100, Loss: 3.73840e-05, Loss0: 7.01852e-06, Loss_b: 9.27143e-08, Loss_f: 1.64099e-05, Loss_prev: 1.38629e-05
Iter: 200, Loss: 1.42545e-05, Loss0: 1.45737e-06, Loss_b: 1.09736e-08, Loss_f: 8.74198e-06, Loss_prev: 4.04413e-06
Iter: 300, Loss: 1.91518e-04, Loss0: 1.44090e-05, Loss_b: 4.56069e-05, Loss_f: 1.18681e-04, Loss_prev: 1.28215e-05
Iter: 400, Loss: 6.15024e-06, Loss0: 4.44533e-07, Loss_b: 2.07817e-08, Loss_f: 4.46803e-06, Loss_prev: 1.21690e-06
Iter: 500, Loss: 4.49084e-05, Loss0: 4.44429e-06, Loss_b: 1.12292e-05, Loss_f: 2.48371e-05, Loss_prev: 4.39778e-06
Iter: 600, Loss: 3.84218e-06, Loss0: 2.87883e-07, Loss_b: 2.81623e-08, Loss_f: 2.84797e-06, Loss_prev: 6.78171e-07
Iter: 700, Loss: 4.66692e-06, Loss0: 4.26242e-07, Loss_b: 1.86185e-07, Loss_f: 3.00482e-06, Loss_prev: 1.04967e-06
Iter: 800, Loss: 3.37823e-06, Loss0: 2.78057e-07, Loss_b: 1.45075e-07, Loss_f: 2.52675e-06, Loss_prev: 4.28345e-07
Iter: 900, Loss: 2.49384e-06, Loss0: 2.18333e-07, Loss_b: 2.14581e-08, Loss_f: 1.85892e-06, Loss_prev: 3.95135e-07
Iter: 1000, Loss: 2.61068e-06, Loss0: 2.35417e-07, Loss_b: 8.98100e-08, Loss_f: 1.86557e-06, Loss_prev: 4.19880e-07
Iter: 1100, Loss: 5.32404e-05, Loss0: 4.78883e-06, Loss_b: 1.31963e-05, Loss_f: 3.04155e-05, Loss_prev: 4.83979e-06
Iter: 1200, Loss: 9.44000e-06, Loss0: 7.84973e-07, Loss_b: 1.20884e-06, Loss_f: 6.75590e-06, Loss_prev: 6.90290e-07
Iter: 1300, Loss: 3.55106e-06, Loss0: 3.07540e-07, Loss_b: 5.93738e-08, Loss_f: 2.77651e-06, Loss_prev: 4.07637e-07
