Start Training:
Iter: 3900, Loss: 4.51014e-03, Loss_0: 1.96121e-06, Loss_1: 4.35654e-03, Loss_b: 6.21374e-06, Loss_f: 1.45429e-04
Iter: 4000, Loss: 4.75852e-03, Loss_0: 8.00188e-05, Loss_1: 4.37910e-03, Loss_b: 1.49636e-04, Loss_f: 1.49770e-04
Iter: 4100, Loss: 4.45944e-03, Loss_0: 1.97908e-06, Loss_1: 4.31502e-03, Loss_b: 5.65684e-06, Loss_f: 1.36784e-04
Iter: 4200, Loss: 4.42999e-03, Loss_0: 1.96072e-06, Loss_1: 4.29122e-03, Loss_b: 5.06097e-06, Loss_f: 1.31749e-04
Iter: 4300, Loss: 4.41121e-03, Loss_0: 4.98461e-06, Loss_1: 4.26525e-03, Loss_b: 1.36483e-05, Loss_f: 1.27327e-04
Iter: 4400, Loss: 4.37103e-03, Loss_0: 2.03344e-06, Loss_1: 4.23966e-03, Loss_b: 4.51847e-06, Loss_f: 1.24819e-04
Iter: 4500, Loss: 4.33247e-03, Loss_0: 1.95230e-06, Loss_1: 4.20622e-03, Loss_b: 3.46435e-06, Loss_f: 1.20831e-04
Iter: 4600, Loss: 4.28320e-03, Loss_0: 1.93295e-06, Loss_1: 4.16048e-03, Loss_b: 2.74753e-06, Loss_f: 1.18037e-04
Iter: 4700, Loss: 4.22616e-03, Loss_0: 1.97643e-06, Loss_1: 4.10257e-03, Loss_b: 3.40405e-06, Loss_f: 1.18206e-04
Iter: 4800, Loss: 4.12313e-03, Loss_0: 1.63717e-06, Loss_1: 4.00038e-03, Loss_b: 1.66170e-06, Loss_f: 1.19457e-04
Iter: 4900, Loss: 3.95896e-03, Loss_0: 1.62847e-06, Loss_1: 3.83140e-03, Loss_b: 1.38608e-06, Loss_f: 1.24541e-04
Iter: 5000, Loss: 3.72442e-03, Loss_0: 2.34197e-06, Loss_1: 3.59077e-03, Loss_b: 2.67841e-06, Loss_f: 1.28634e-04
Iter: 5100, Loss: 3.30908e-03, Loss_0: 1.82240e-06, Loss_1: 3.19089e-03, Loss_b: 1.22275e-06, Loss_f: 1.15136e-04
Iter: 5200, Loss: 2.98346e-03, Loss_0: 1.30003e-05, Loss_1: 2.71688e-03, Loss_b: 1.21600e-04, Loss_f: 1.31977e-04
Iter: 5300, Loss: 2.24492e-03, Loss_0: 1.96050e-06, Loss_1: 2.09257e-03, Loss_b: 3.95133e-06, Loss_f: 1.46442e-04
Iter: 5400, Loss: 1.88157e-03, Loss_0: 4.98517e-06, Loss_1: 1.65184e-03, Loss_b: 4.91066e-05, Loss_f: 1.75639e-04
Iter: 5500, Loss: 1.63430e-03, Loss_0: 3.81070e-06, Loss_1: 1.28582e-03, Loss_b: 8.54859e-05, Loss_f: 2.59175e-04
Iter: 5600, Loss: 1.43905e-03, Loss_0: 2.20606e-06, Loss_1: 1.04082e-03, Loss_b: 1.03918e-04, Loss_f: 2.92106e-04
Iter: 5700, Loss: 1.01705e-03, Loss_0: 4.38627e-06, Loss_1: 8.37086e-04, Loss_b: 1.83853e-06, Loss_f: 1.73740e-04
