Start Training:
Iter: 3900, Loss: 3.18335e-03, Loss0: 2.95768e-03, Loss_b: 2.49234e-06, Loss_f: 2.23179e-04, Loss_prev: 0.00000e+00
Iter: 4000, Loss: 3.13704e-03, Loss0: 2.91745e-03, Loss_b: 2.26489e-06, Loss_f: 2.17327e-04, Loss_prev: 0.00000e+00
Iter: 4100, Loss: 3.89826e-03, Loss0: 3.01851e-03, Loss_b: 5.50583e-04, Loss_f: 3.29163e-04, Loss_prev: 0.00000e+00
Iter: 4200, Loss: 3.04955e-03, Loss0: 2.84013e-03, Loss_b: 2.20619e-06, Loss_f: 2.07214e-04, Loss_prev: 0.00000e+00
Iter: 4300, Loss: 2.99951e-03, Loss0: 2.79317e-03, Loss_b: 2.29748e-06, Loss_f: 2.04042e-04, Loss_prev: 0.00000e+00
Iter: 4400, Loss: 2.96420e-03, Loss0: 2.73988e-03, Loss_b: 2.80827e-05, Loss_f: 1.96240e-04, Loss_prev: 0.00000e+00
Iter: 4500, Loss: 2.90122e-03, Loss0: 2.70317e-03, Loss_b: 1.67431e-06, Loss_f: 1.96381e-04, Loss_prev: 0.00000e+00
Iter: 4600, Loss: 2.83859e-03, Loss0: 2.64296e-03, Loss_b: 2.85831e-06, Loss_f: 1.92767e-04, Loss_prev: 0.00000e+00
Iter: 4700, Loss: 2.76516e-03, Loss0: 2.57468e-03, Loss_b: 3.07940e-06, Loss_f: 1.87407e-04, Loss_prev: 0.00000e+00
Iter: 4800, Loss: 2.69952e-03, Loss0: 2.51688e-03, Loss_b: 9.13204e-06, Loss_f: 1.73511e-04, Loss_prev: 0.00000e+00
Iter: 4900, Loss: 2.59790e-03, Loss0: 2.42328e-03, Loss_b: 3.55499e-06, Loss_f: 1.71061e-04, Loss_prev: 0.00000e+00
Iter: 5000, Loss: 2.47338e-03, Loss0: 2.30998e-03, Loss_b: 3.77838e-06, Loss_f: 1.59612e-04, Loss_prev: 0.00000e+00
Iter: 5100, Loss: 2.36505e-03, Loss0: 2.20577e-03, Loss_b: 1.30277e-05, Loss_f: 1.46254e-04, Loss_prev: 0.00000e+00
Iter: 5200, Loss: 2.21009e-03, Loss0: 2.06279e-03, Loss_b: 4.94913e-06, Loss_f: 1.42351e-04, Loss_prev: 0.00000e+00
Iter: 5300, Loss: 3.25002e-03, Loss0: 2.01164e-03, Loss_b: 1.01197e-03, Loss_f: 2.26410e-04, Loss_prev: 0.00000e+00
Iter: 5400, Loss: 1.93898e-03, Loss0: 1.78793e-03, Loss_b: 4.02163e-06, Loss_f: 1.47022e-04, Loss_prev: 0.00000e+00
Iter: 5500, Loss: 1.80162e-03, Loss0: 1.63995e-03, Loss_b: 4.23582e-06, Loss_f: 1.57428e-04, Loss_prev: 0.00000e+00
Iter: 5600, Loss: 2.05576e-03, Loss0: 1.62890e-03, Loss_b: 2.01555e-04, Loss_f: 2.25311e-04, Loss_prev: 0.00000e+00
Iter: 5700, Loss: 1.59696e-03, Loss0: 1.41372e-03, Loss_b: 2.64768e-06, Loss_f: 1.80597e-04, Loss_prev: 0.00000e+00
Iter: 5800, Loss: 1.51028e-03, Loss0: 1.31225e-03, Loss_b: 2.36157e-06, Loss_f: 1.95669e-04, Loss_prev: 0.00000e+00
Iter: 5900, Loss: 4.00406e-03, Loss0: 1.62682e-03, Loss_b: 1.93015e-03, Loss_f: 4.47083e-04, Loss_prev: 0.00000e+00
Iter: 6000, Loss: 1.38157e-03, Loss0: 1.17570e-03, Loss_b: 2.28703e-06, Loss_f: 2.03585e-04, Loss_prev: 0.00000e+00
Iter: 6100, Loss: 1.34008e-03, Loss0: 1.11325e-03, Loss_b: 1.14975e-06, Loss_f: 2.25680e-04, Loss_prev: 0.00000e+00
Iter: 6200, Loss: 1.73369e-03, Loss0: 1.08906e-03, Loss_b: 6.71386e-06, Loss_f: 6.37914e-04, Loss_prev: 0.00000e+00
