Start Training:
Iter: 0, Loss: 1.43400e-01, Loss_0: 4.96622e-02, Loss_1: 5.60181e-02, Loss_b: 1.77356e-02, Loss_f: 1.99841e-02
Iter: 100, Loss: 1.19105e-02, Loss_0: 7.47346e-07, Loss_1: 1.18208e-02, Loss_b: 6.04378e-06, Loss_f: 8.29282e-05
Iter: 200, Loss: 9.38557e-03, Loss_0: 1.20782e-06, Loss_1: 9.14847e-03, Loss_b: 3.01360e-05, Loss_f: 2.05754e-04
Iter: 300, Loss: 8.84051e-03, Loss_0: 1.82926e-06, Loss_1: 8.60890e-03, Loss_b: 1.18292e-05, Loss_f: 2.17946e-04
Iter: 400, Loss: 8.62033e-03, Loss_0: 9.56063e-06, Loss_1: 8.40428e-03, Loss_b: 3.92041e-06, Loss_f: 2.02566e-04
Iter: 500, Loss: 8.49779e-03, Loss_0: 2.85141e-05, Loss_1: 8.18193e-03, Loss_b: 5.09503e-05, Loss_f: 2.36395e-04
Iter: 600, Loss: 8.13414e-03, Loss_0: 3.18085e-06, Loss_1: 7.84243e-03, Loss_b: 2.61221e-05, Loss_f: 2.62407e-04
Iter: 700, Loss: 7.63002e-03, Loss_0: 1.00981e-05, Loss_1: 7.25379e-03, Loss_b: 1.13977e-04, Loss_f: 2.52156e-04
Iter: 800, Loss: 6.47122e-03, Loss_0: 5.79752e-06, Loss_1: 6.16254e-03, Loss_b: 3.79746e-05, Loss_f: 2.64904e-04
Iter: 900, Loss: 5.19093e-03, Loss_0: 4.94421e-06, Loss_1: 4.80663e-03, Loss_b: 1.39538e-05, Loss_f: 3.65401e-04
Iter: 1000, Loss: 3.98766e-03, Loss_0: 5.46774e-06, Loss_1: 3.60976e-03, Loss_b: 1.34806e-05, Loss_f: 3.58955e-04
Iter: 1100, Loss: 1.53500e-02, Loss_0: 1.51130e-05, Loss_1: 4.17737e-03, Loss_b: 8.76987e-03, Loss_f: 2.38761e-03
Iter: 1200, Loss: 2.44677e-03, Loss_0: 3.55533e-06, Loss_1: 2.12461e-03, Loss_b: 1.31826e-05, Loss_f: 3.05427e-04
Iter: 1300, Loss: 2.26022e-03, Loss_0: 3.04296e-05, Loss_1: 1.81945e-03, Loss_b: 7.85318e-05, Loss_f: 3.31809e-04
Iter: 1400, Loss: 1.86008e-03, Loss_0: 5.44338e-07, Loss_1: 1.60616e-03, Loss_b: 7.88224e-06, Loss_f: 2.45496e-04
Iter: 1500, Loss: 1.67533e-03, Loss_0: 4.16447e-07, Loss_1: 1.41708e-03, Loss_b: 2.94632e-06, Loss_f: 2.54891e-04
Iter: 1600, Loss: 1.55050e-03, Loss_0: 4.54847e-06, Loss_1: 1.26423e-03, Loss_b: 3.22939e-05, Loss_f: 2.49432e-04
Iter: 1700, Loss: 1.35156e-03, Loss_0: 1.27289e-07, Loss_1: 1.06981e-03, Loss_b: 1.62503e-06, Loss_f: 2.79998e-04
Iter: 1800, Loss: 1.20542e-03, Loss_0: 7.83830e-07, Loss_1: 9.22990e-04, Loss_b: 1.85965e-06, Loss_f: 2.79789e-04
Iter: 1900, Loss: 1.04464e-03, Loss_0: 5.18236e-08, Loss_1: 7.62305e-04, Loss_b: 6.71806e-07, Loss_f: 2.81613e-04
Iter: 2000, Loss: 9.06893e-04, Loss_0: 1.96279e-05, Loss_1: 6.49221e-04, Loss_b: 3.25819e-07, Loss_f: 2.37718e-04
Iter: 2100, Loss: 7.13066e-04, Loss_0: 9.21100e-07, Loss_1: 4.94498e-04, Loss_b: 9.76772e-07, Loss_f: 2.16671e-04
Iter: 2200, Loss: 5.97332e-04, Loss_0: 8.13226e-07, Loss_1: 3.96852e-04, Loss_b: 1.98685e-06, Loss_f: 1.97680e-04
Iter: 2300, Loss: 5.33900e-04, Loss_0: 4.52178e-07, Loss_1: 3.49031e-04, Loss_b: 3.28832e-06, Loss_f: 1.81128e-04
Iter: 2400, Loss: 4.60363e-04, Loss_0: 2.10219e-07, Loss_1: 2.85326e-04, Loss_b: 4.70856e-06, Loss_f: 1.70119e-04
Iter: 2500, Loss: 4.00078e-04, Loss_0: 1.20046e-07, Loss_1: 2.37222e-04, Loss_b: 5.15176e-06, Loss_f: 1.57585e-04
Iter: 2600, Loss: 3.58305e-04, Loss_0: 3.47201e-07, Loss_1: 2.06713e-04, Loss_b: 7.32038e-06, Loss_f: 1.43924e-04
Iter: 2700, Loss: 3.27945e-04, Loss_0: 1.02623e-06, Loss_1: 1.80357e-04, Loss_b: 7.14787e-06, Loss_f: 1.39414e-04
Iter: 2800, Loss: 4.25637e-04, Loss_0: 2.37096e-05, Loss_1: 1.79760e-04, Loss_b: 9.60473e-05, Loss_f: 1.26120e-04
Iter: 2900, Loss: 2.69387e-04, Loss_0: 7.06597e-06, Loss_1: 1.37459e-04, Loss_b: 3.01806e-06, Loss_f: 1.21843e-04
Iter: 3000, Loss: 3.74227e-04, Loss_0: 1.56681e-05, Loss_1: 1.46266e-04, Loss_b: 9.61189e-05, Loss_f: 1.16174e-04
Iter: 3100, Loss: 2.38619e-04, Loss_0: 1.14139e-05, Loss_1: 1.16226e-04, Loss_b: 2.56622e-06, Loss_f: 1.08413e-04
Iter: 3200, Loss: 3.28301e-04, Loss_0: 4.39043e-05, Loss_1: 1.06494e-04, Loss_b: 5.48770e-05, Loss_f: 1.23026e-04
Iter: 3300, Loss: 2.73470e-04, Loss_0: 8.06205e-06, Loss_1: 1.10339e-04, Loss_b: 5.80350e-05, Loss_f: 9.70342e-05
Iter: 3400, Loss: 1.93410e-04, Loss_0: 6.60739e-07, Loss_1: 9.71252e-05, Loss_b: 7.04332e-07, Loss_f: 9.49198e-05
Iter: 3500, Loss: 1.66684e-04, Loss_0: 2.40343e-07, Loss_1: 8.42383e-05, Loss_b: 7.36865e-07, Loss_f: 8.14687e-05
Iter: 3600, Loss: 1.78106e-04, Loss_0: 1.63548e-05, Loss_1: 7.98279e-05, Loss_b: 9.17970e-07, Loss_f: 8.10056e-05
Iter: 3700, Loss: 3.24071e-04, Loss_0: 2.21928e-05, Loss_1: 8.63201e-05, Loss_b: 9.23653e-05, Loss_f: 1.23193e-04
Iter: 3800, Loss: 1.54936e-04, Loss_0: 1.18902e-05, Loss_1: 6.44276e-05, Loss_b: 2.36335e-06, Loss_f: 7.62546e-05
Iter: 3900, Loss: 7.17841e-04, Loss_0: 9.78274e-05, Loss_1: 9.55124e-05, Loss_b: 3.16743e-04, Loss_f: 2.07758e-04
Iter: 4000, Loss: 1.74654e-04, Loss_0: 1.67410e-06, Loss_1: 7.40886e-05, Loss_b: 3.17485e-05, Loss_f: 6.71429e-05
